seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k121_462001	1237	No terminal repeats	2	11	0.9991	0.0009	2	3.2373	MOBQ	NA
k121_580615	1537	No terminal repeats	2	11	0.9991	0.0009	2	2.8799	MOBP1	NA
k121_369730	1295	No terminal repeats	2	11	0.9991	0.0009	2	2.6524	MOBP1	NA
k121_1318114	2485	No terminal repeats	3	11	0.9991	0.0009	1	2.6962	MOBV	NA
k121_1496796	3846	DTR	5	11	0.9991	0.0009	2	3.9048	MOBP1	NA
k121_1298615	3009	No terminal repeats	5	11	0.9991	0.0009	1	2.4941	MOBV	NA
k121_636106	2339	No terminal repeats	4	11	0.9991	0.0009	2	3.6714	NA	NA
k121_1494974	3450	DTR	4	11	0.9991	0.0009	1	2.3458	NA	NA
k121_464715	7611	No terminal repeats	9	11	0.9991	0.0009	2	3.3546	MOBQ	NA
k121_1212705	4288	No terminal repeats	7	11	0.9991	0.0009	1	3.3156	MOBQ	NA
k121_587600	3708	No terminal repeats	6	11	0.9991	0.0009	2	2.9205	NA	NA
k121_1321852	3332	No terminal repeats	5	11	0.9991	0.0009	2	2.7569	MOBP1	NA
k121_240047	2815	DTR	5	11	0.9991	0.0009	1	2.1738	MOBC	NA
k121_616166	2458	No terminal repeats	5	11	0.9991	0.0009	1	2.8850	T_virB1	NA
k121_991758	12132	No terminal repeats	13	11	0.9990	0.0009	1	3.5578	NA	NA
k121_1372324	2727	No terminal repeats	3	11	0.9990	0.0009	2	4.0882	F_trbC;F_traF	NA
k121_799265	2979	No terminal repeats	7	11	0.9990	0.0009	1	2.5349	NA	NA
k121_580344	1431	No terminal repeats	2	11	0.9990	0.0009	1	2.3890	NA	NA
k121_1492485	2093	No terminal repeats	3	11	0.9990	0.0009	1	1.6597	NA	NA
k121_611501	2511	No terminal repeats	3	11	0.9990	0.0009	1	1.6920	MOBQ	NA
k121_1258849	4991	No terminal repeats	8	11	0.9990	0.0009	2	1.7309	NA	NA
k121_578898	3222	No terminal repeats	6	11	0.9989	0.0009	1	1.7183	MOBC	NA
k121_885002	1781	No terminal repeats	2	11	0.9989	0.0010	2	2.4862	F_traB;F_traK	NA
k121_515599	2187	No terminal repeats	2	11	0.9988	0.0010	1	1.5453	NA	NA
k121_1435678	1045	No terminal repeats	3	11	0.9988	0.0010	2	3.2105	F_traL	NA
k121_1030243	3585	No terminal repeats	6	11	0.9987	0.0010	3	4.1723	F_traU;F_traW	NA
k121_976491	2019	No terminal repeats	3	11	0.9987	0.0010	1	1.7183	NA	NA
k121_427118	2736	No terminal repeats	5	11	0.9986	0.0010	1	2.9037	T_virB6	NA
k121_579180	3004	No terminal repeats	5	11	0.9986	0.0010	3	4.2284	F_traL;F_traE;F_traK	NA
k121_1064533	3448	No terminal repeats	4	11	0.9985	0.0010	2	2.9941	F_traV;virb4	NA
k121_801727	1544	No terminal repeats	4	11	0.9985	0.0010	2	2.9420	F_traL;F_traE	NA
k121_1273247	4290	No terminal repeats	3	11	0.9985	0.0011	1	2.8588	NA	NA
k121_97082	1341	No terminal repeats	3	11	0.9984	0.0011	1	2.8615	F_trbC	NA
k121_822312	1258	No terminal repeats	3	11	0.9983	0.0011	2	3.1823	MOBP1	NA
k121_1328357	1310	No terminal repeats	3	11	0.9983	0.0011	1	3.1564	T_virB5	NA
k121_1432127	18053	No terminal repeats	17	11	0.9983	0.0011	1	6.2560	NA	NA
k121_918497	3248	No terminal repeats	3	11	0.9983	0.0011	1	2.7049	NA	NA
k121_689555	1027	No terminal repeats	4	11	0.9983	0.0012	1	5.1024	NA	NA
k121_1226081	19375	No terminal repeats	17	11	0.9981	0.0012	5	12.3378	t4cp1;C_alr7212;C_alr7211;C_alr7210;C_alr7209;C_alr7208;C_alr7207;virb4	NA
k121_349097	1584	No terminal repeats	2	11	0.9976	0.0012	2	2.4284	F_traH;F_traF	NA
k121_505849	1302	No terminal repeats	2	11	0.9974	0.0012	2	2.7853	t4cp1	NA
k121_1239911	1403	No terminal repeats	2	11	0.9973	0.0013	2	2.1791	virb4;T_virB5	NA
k121_255531	3194	No terminal repeats	2	11	0.9972	0.0013	2	2.4668	F_traH;F_traG	NA
k121_443103	1493	No terminal repeats	4	11	0.9968	0.0014	1	2.9354	F_traF	NA
k121_214153	1676	No terminal repeats	4	11	0.9934	0.0015	1	2.3538	NA	NA
k121_365829	1299	No terminal repeats	3	11	0.9887	0.0017	2	2.6197	T_virB5	NA
k121_264865	5923	No terminal repeats	6	11	0.9868	0.0019	1	3.4077	NA	NA
k121_584234	1002	No terminal repeats	2	11	0.9856	0.0022	1	1.5477	T_virB5	NA
k121_1329031	1895	No terminal repeats	3	11	0.9844	0.0025	2	2.1795	T_virB8;T_virB9	NA
k121_25327	1065	No terminal repeats	3	11	0.9772	0.0029	2	2.4829	T_virB3;T_virB1	NA
k121_324564	1875	No terminal repeats	3	11	0.9769	0.0033	2	2.3083	T_virB9;T_virB8	NA
k121_1444084	1014	No terminal repeats	2	11	0.9709	0.0038	1	1.5465	T_virB5	NA
k121_383815	1421	No terminal repeats	4	11	0.9680	0.0043	1	1.7183	B_traI	NA
k121_1370239	1082	No terminal repeats	3	11	0.9645	0.0049	2	2.2953	T_virB2;T_virB2	NA
k121_117503	1235	No terminal repeats	2	11	0.9622	0.0055	2	2.4284	F_traF;F_traH	NA
k121_660334	4612	No terminal repeats	5	11	0.9516	0.0062	1	2.6557	C_alr7209;C_alr7211	NA
k121_593170	1389	No terminal repeats	2	11	0.9513	0.0070	2	2.3303	F_traU;F_traW	NA
k121_106712	1595	No terminal repeats	3	11	0.9490	0.0077	1	1.8807	F_traV	NA
k121_692028	1395	No terminal repeats	2	11	0.9364	0.0087	2	2.1047	G_tfc5;t4cp1	NA
k121_1310199	1224	No terminal repeats	2	11	0.9283	0.0097	1	1.5023	NA	NA
k121_1302195	1118	No terminal repeats	2	11	0.9222	0.0109	1	1.5023	NA	NA
k121_129554	1080	No terminal repeats	2	11	0.9116	0.0121	1	1.5023	NA	NA
k121_425848	9658	No terminal repeats	10	11	0.9062	0.0134	1	3.5057	NA	NA
k121_1265946	1411	No terminal repeats	3	11	0.9011	0.0147	2	2.0261	T_virB8;T_virB9	NA
k121_38195	1470	No terminal repeats	2	11	0.8600	0.0167	1	1.7418	NA	NA
k121_783157	5958	No terminal repeats	6	11	0.8368	0.0189	1	2.1892	virb4;C_alr7204	NA
k121_1366915	1760	No terminal repeats	2	11	0.8283	0.0212	2	2.4668	F_traH;F_traG	NA
