seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k121_458441	4123	No terminal repeats	5	11	0.9988	0.0012	1	3.2683	NA	NA
k121_1090029	3497	No terminal repeats	4	11	0.9987	0.0012	4	5.1642	T_virB5;T_virB10;T_virB9	NA
k121_1070086	4864	No terminal repeats	4	11	0.9986	0.0013	3	5.4022	F_traG;F_traH;F_traF	NA
k121_2164813	7018	No terminal repeats	5	11	0.9986	0.0013	2	2.5550	MOBP1	NA
k121_273136	4599	No terminal repeats	5	11	0.9986	0.0013	4	5.6044	F_traE;F_traK;F_traB;F_traV	NA
k121_401032	3203	No terminal repeats	4	11	0.9986	0.0013	1	2.5517	NA	NA
k121_924933	5940	No terminal repeats	16	11	0.9986	0.0014	1	4.2434	NA	NA
k121_1052389	1085	No terminal repeats	2	11	0.9986	0.0014	2	2.8234	T_virB5;T_virB8	NA
k121_1370560	1753	No terminal repeats	2	11	0.9984	0.0014	1	2.3598	NA	NA
k121_1282677	8656	No terminal repeats	8	11	0.9980	0.0015	1	3.5429	NA	NA
k121_2070997	1228	No terminal repeats	2	11	0.9970	0.0016	1	2.2753	NA	NA
k121_1635735	1546	No terminal repeats	2	11	0.9967	0.0017	1	3.4326	NA	NA
k121_831883	2137	No terminal repeats	4	11	0.9967	0.0018	1	2.2848	NA	NA
k121_1116363	2387	No terminal repeats	3	11	0.9942	0.0021	2	1.9911	T_virB8;virb4	NA
k121_878853	1329	No terminal repeats	2	11	0.9933	0.0024	1	1.6987	NA	NA
k121_667009	2326	No terminal repeats	2	11	0.9930	0.0027	2	2.4284	F_traF;F_traH	NA
k121_1298322	1094	No terminal repeats	3	11	0.9922	0.0030	3	3.9624	F_traE;F_traL	NA
k121_277965	2898	No terminal repeats	4	11	0.9880	0.0035	1	1.5023	NA	NA
k121_1399084	1218	No terminal repeats	2	11	0.9868	0.0040	2	2.4862	F_traK;F_traB	NA
k121_1165205	1813	No terminal repeats	2	11	0.9687	0.0054	1	1.5722	NA	NA
k121_1856373	3351	No terminal repeats	4	11	0.9676	0.0067	1	1.7183	NA	NA
k121_1064376	3250	No terminal repeats	4	11	0.9646	0.0080	1	2.4669	G_tfc7	NA
k121_921666	1628	No terminal repeats	2	11	0.9610	0.0093	2	2.4862	F_traK;F_traB	NA
k121_938568	1085	No terminal repeats	2	11	0.9605	0.0106	2	2.4245	virb4;F_traV	NA
k121_255314	2928	No terminal repeats	5	11	0.9577	0.0119	1	2.7416	NA	NA
k121_187849	1852	No terminal repeats	5	11	0.9542	0.0132	3	3.9624	F_traL;F_traE	NA
k121_1223645	1033	No terminal repeats	2	11	0.9505	0.0145	2	2.5240	F_traK;F_traE	NA
k121_2122278	1074	No terminal repeats	2	11	0.9480	0.0158	1	1.6987	NA	NA
k121_892021	1626	No terminal repeats	2	11	0.9345	0.0176	2	2.4284	F_traH;F_traF	NA
k121_1915736	2632	No terminal repeats	4	11	0.9334	0.0192	1	1.5023	NA	NA
k121_1098139	4072	No terminal repeats	4	11	0.9274	0.0209	2	2.5603	F_traV;F_traB	NA
k121_1028975	1273	No terminal repeats	3	11	0.9270	0.0225	1	2.4001	G_tfc7	NA
k121_2134733	1057	No terminal repeats	3	11	0.9246	0.0241	2	2.9423	NA	NA
k121_833168	1239	No terminal repeats	4	11	0.9231	0.0257	3	3.8968	F_traL	NA
k121_894262	1252	No terminal repeats	3	11	0.9198	0.0273	1	2.7416	NA	NA
k121_995223	2204	No terminal repeats	3	11	0.9154	0.0288	1	1.7576	NA	NA
k121_1033281	3589	No terminal repeats	8	11	0.9030	0.0307	3	5.1306	F_traE;F_traL	NA
k121_1166590	1207	No terminal repeats	2	11	0.8900	0.0328	2	2.3303	F_traU;F_traW	NA
k121_1159462	1000	No terminal repeats	2	11	0.8872	0.0348	1	1.5996	T_virB3	NA
k121_1455404	1098	No terminal repeats	2	11	0.8797	0.0370	1	1.5023	NA	NA
k121_958771	1621	No terminal repeats	3	11	0.8578	0.0395	1	1.5223	NA	NA
k121_820876	1562	No terminal repeats	3	11	0.8477	0.0422	2	2.5400	NA	NA
k121_968048	1270	No terminal repeats	3	11	0.8073	0.0457	1	1.7894	NA	NA
k121_981255	1026	No terminal repeats	2	11	0.8033	0.0491	1	1.7071	NA	NA
