,ID,Length,Coverage,# ORFs,RDS,Circular,Inc Type(s),# Replication,# Mobilization,# OriT,# Conjugation,# AMRs,# rRNAs,# Plasmid Hits
6,k121_3558693,34686,,40,0.0,no,0,1,0,0,0,0,0,0
7,k121_3011237,31657,,30,0.0,no,0,0,1,0,0,0,0,0
8,k121_2886237,20425,,28,-0.1,no,0,0,1,0,3,0,0,0
9,k121_460635,18318,,18,0.0,no,0,1,0,0,3,0,0,0
13,k121_2868953,10967,,7,0.0,no,0,0,1,0,0,0,0,0
19,k121_3032120,7792,,6,0.0,no,0,1,0,0,0,0,0,0
24,k121_16398,6753,,4,0.0,no,0,1,0,0,0,0,0,0
33,k121_4308989,6005,,8,0.0,yes,0,0,1,0,0,0,0,0
34,k121_1203349,5923,,6,0.2,no,0,0,0,0,0,0,0,1
35,k121_4307482,5836,,4,0.0,yes,0,0,1,0,0,0,0,0
36,k121_2614941,5442,,4,0.2,no,0,1,0,0,0,0,0,0
40,k121_825545,5124,,3,0.0,no,0,0,1,0,1,0,0,0
41,k121_2614235,4816,,5,0.0,no,0,0,1,0,0,0,0,0
42,k121_428831,4758,,5,0.0,no,0,0,1,0,0,0,0,0
43,k121_2491362,4665,,7,0.0,no,0,0,1,0,0,0,0,0
49,k121_3003565,4357,,2,0.0,no,0,0,1,0,0,0,0,0
54,k121_3073730,4191,,2,0.1,no,0,0,0,0,0,0,0,1
59,k121_2143213,3963,,2,0.1,no,0,0,0,0,0,0,0,1
63,k121_480199,3732,,3,0.8,no,0,0,0,0,0,0,0,0
68,k121_1451032,3626,,3,0.0,no,0,1,0,0,0,0,0,0
70,k121_2551766,3582,,3,0.2,no,0,0,0,0,0,0,0,1
75,k121_1714837,3358,,5,0.0,yes,0,0,1,0,0,0,0,0
78,k121_3734471,3274,,3,0.1,no,0,0,0,0,0,0,0,1
86,k121_2739185,3093,,5,1.1,no,0,0,0,0,0,0,0,1
87,k121_1254994,3086,,3,0.1,no,0,0,0,0,0,0,0,1
88,k121_1145532,3006,,3,0.8,no,0,2,0,0,0,0,0,1
89,k121_4309770,3005,,3,0.0,yes,0,1,0,0,0,0,0,0
90,k121_60376,2946,,2,0.0,no,0,0,1,0,0,0,0,0
91,k121_2290434,2928,,1,0.1,no,0,0,0,0,0,0,0,1
95,k121_854661,2850,,4,0.6,no,0,0,0,0,0,0,0,1
100,k121_2591705,2753,,7,0.0,no,0,0,1,0,0,0,0,0
102,k121_1122036,2724,,3,0.7,no,0,0,0,0,0,0,0,0
105,k121_2600810,2647,,2,0.8,no,0,1,0,0,0,0,0,1
106,k121_902286,2645,,1,0.1,no,0,0,0,0,0,0,0,1
111,k121_2676741,2602,,2,0.7,no,0,1,0,0,0,0,0,1
115,k121_1753284,2548,,2,0.1,no,0,0,0,0,0,0,0,1
116,k121_1179347,2536,,3,0.0,no,0,0,1,0,1,0,0,0
118,k121_3041013,2528,,3,0.0,no,0,1,0,0,0,0,0,0
119,k121_2550601,2509,,2,0.0,no,0,0,1,0,0,0,0,0
120,k121_1050016,2503,,2,0.0,no,0,1,0,0,0,0,0,0
125,k121_4307798,2450,,2,0.3,yes,0,0,0,0,0,0,0,0
126,k121_4309019,2426,,2,0.0,yes,0,0,1,0,0,0,0,0
127,k121_2609327,2416,,5,2.7,no,0,0,0,0,0,0,0,1
129,k121_1859384,2396,,2,0.7,no,0,0,0,0,0,0,0,1
132,k121_2094416,2351,,1,0.1,no,0,0,0,0,0,0,0,1
135,k121_941995,2328,,3,0.2,no,0,0,0,0,0,0,0,1
136,k121_3526874,2308,,1,0.1,no,0,0,0,0,0,0,0,1
137,k121_3354342,2295,,2,0.0,no,0,0,1,0,0,0,0,0
141,k121_78155,2261,,3,2.0,no,0,0,0,0,0,0,0,0
147,k121_376955,2207,,1,0.4,no,0,0,0,0,0,0,0,1
149,k121_2702161,2152,,1,0.4,no,0,0,0,0,0,0,0,1
150,k121_2062254,2144,,3,0.2,no,0,0,0,0,0,0,0,1
151,k121_2060851,2127,,1,0.1,no,0,0,0,0,0,0,0,1
152,k121_3749684,2115,,2,0.2,no,0,0,0,0,0,0,0,1
155,k121_730124,2095,,1,0.9,no,0,0,0,0,0,0,0,1
156,k121_2053807,2079,,1,0.0,no,0,0,1,0,0,0,0,0
157,k121_669566,2076,,2,0.2,no,0,0,0,0,0,0,0,1
159,k121_3582422,2065,,1,0.1,no,0,0,0,0,0,0,0,1
160,k121_4101522,2062,,3,0.0,no,0,0,1,0,1,0,0,0
163,k121_4290656,2036,,1,0.1,no,0,0,0,0,0,0,0,1
164,k121_2076121,2031,,1,0.1,no,0,0,0,0,0,0,0,1
166,k121_2941993,2007,,2,0.0,no,0,1,0,0,0,0,0,0
167,k121_3203933,2006,,2,0.2,no,0,0,0,0,0,0,0,1
169,k121_1341928,1991,,2,0.2,no,0,0,0,0,0,0,0,1
171,k121_778097,1988,,1,0.4,no,0,0,0,0,0,0,0,1
175,k121_567564,1953,,1,0.1,no,0,0,0,0,0,0,0,1
176,k121_2012628,1946,,3,0.2,no,0,0,0,0,0,0,0,1
179,k121_3455381,1933,,2,0.1,no,0,0,0,0,0,0,0,1
182,k121_72771,1918,,1,0.0,no,0,0,1,0,0,0,0,0
186,k121_3279686,1904,,3,4.9,no,0,0,0,0,1,0,0,1
194,k121_3735271,1831,,1,0.4,no,0,0,0,0,0,0,0,1
199,k121_2471693,1803,,3,0.2,no,0,0,0,0,0,0,0,1
200,k121_726956,1795,,2,0.6,no,0,0,0,0,0,0,0,1
201,k121_2816436,1791,,3,0.4,no,0,0,1,0,0,0,0,1
206,k121_130386,1771,,2,0.2,no,0,0,0,0,0,0,0,1
209,k121_2639062,1763,,2,0.0,no,0,0,1,0,0,0,0,0
214,k121_2556263,1740,,1,0.4,no,0,0,0,0,0,0,0,1
221,k121_1109600,1689,,1,0.1,no,0,0,0,0,0,0,0,1
225,k121_2258439,1673,,1,0.1,no,0,0,0,0,0,0,0,1
227,k121_1307024,1661,,1,0.1,no,0,0,0,0,0,0,0,1
235,k121_859986,1619,,1,0.9,no,0,0,0,0,0,0,0,1
236,k121_1302943,1615,,1,0.1,no,0,0,0,0,0,0,0,1
242,k121_1427958,1593,,2,0.2,no,0,0,0,0,0,0,0,1
243,k121_619661,1592,,1,0.4,no,0,0,0,0,0,0,0,1
244,k121_455068,1581,,3,0.2,no,0,0,0,0,0,0,0,1
247,k121_1989267,1574,,3,1.0,no,0,0,0,0,0,0,0,0
248,k121_377022,1568,,2,0.2,no,0,0,0,0,0,0,0,1
