gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
k121_285944_1	1	744	744	-1	0.574	11	GGA/GAG/AGG	GENOMAD.059518.PP	1.053e-139	439	0	1	0	1	NA	NA	NA	PF06970;COG2188;TIGR03337	NA
k121_285944_2	962	1606	645	-1	0.636	11	AGGA	GENOMAD.012992.PP	1.203e-87	287	0	0	0	1	NA	NA	NA	NA	NA
k121_285944_3	1667	1969	303	-1	0.653	11	AGGA	GENOMAD.024207.PP	4.753e-12	63	0	0	0	1	NA	NA	NA	NA	NA
k121_285944_4	2139	2492	354	1	0.602	11	GGA/GAG/AGG	GENOMAD.015392.PP	8.441e-13	66	0	0	0	1	NA	NA	NA	NA	NA
k121_285944_5	2431	2763	333	1	0.667	11	AGxAGG/AGGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_619721_1	2	625	624	1	0.558	11	None	GENOMAD.059518.PP	3.618e-106	340	0	1	0	1	NA	NA	NA	PF06970;COG2188;TIGR03337	NA
k121_619721_2	755	1015	261	-1	0.648	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_548338_1	342	665	324	1	0.515	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_548338_2	675	998	324	1	0.500	11	None	GENOMAD.061290.PP	1.271e-12	65	0	1	0	1	NA	T_virB3	NA	PF05101;K03198;COG3702	Type IV secretory pathway, VirB3 components
k121_548338_3	995	1576	582	1	0.527	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_548338_4	1563	2264	702	1	0.507	11	None	GENOMAD.100169.PC	4.596e-11	65	0	1	0	1	NA	NA	NA	PF07328;COG4877	T-DNA border endonuclease VirD1
k121_667408_1	3	437	435	1	0.589	11	None	GENOMAD.059105.PP	4.449e-73	241	0	1	0	1	NA	T_virB8	NA	PF04335;COG3736;K12081;TIGR03781	Type IV secretory pathway, component VirB8
k121_667408_2	439	1125	687	1	0.600	11	GGAGG	GENOMAD.109592.PC	2.223e-51	183	0	1	0	1	NA	T_virB9	NA	PF03524;K03204;TIGR02781;COG3504	P-type conjugative transfer protein VirB9
k121_501442_1	3	1070	1068	-1	0.570	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_501442_2	1351	1644	294	-1	0.639	11	None	GENOMAD.059518.PP	9.695e-27	105	0	1	0	1	NA	NA	NA	PF06970;COG2188;TIGR03337	NA
k121_215790_1	3	644	642	1	0.586	11	None	GENOMAD.059518.PP	2.986e-111	355	0	1	0	1	NA	NA	NA	PF06970;COG2188;TIGR03337	NA
k121_215790_2	641	1105	465	1	0.572	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_215790_3	1269	1778	510	-1	0.608	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_168543_1	1	471	471	1	0.635	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_168543_2	497	901	405	1	0.654	11	GGAG/GAGG	GENOMAD.081562.PP	2.511e-33	126	0	0	0	1	NA	NA	NA	NA	NA
k121_168543_3	898	1146	249	1	0.651	11	AGGA	GENOMAD.034319.PP	6.155e-10	56	0	1	0	1	NA	NA	NA	PF09677;TIGR02744	Type-F conjugative transfer system protein (TrbI_Ftype)
k121_574581_1	109	471	363	1	0.625	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_574581_2	468	1706	1239	-1	0.649	11	AGxAGG/AGGxGG	GENOMAD.107266.PC	2.63e-63	226	0	1	0	1	NA	T_virB10	NA	PF03743	Bacterial conjugation TrbI-like protein
k121_574581_3	1703	1876	174	-1	0.649	11	None	GENOMAD.109592.PC	4.86e-09	52	0	1	0	1	NA	T_virB9	NA	PF03524;K03204;TIGR02781;COG3504	P-type conjugative transfer protein VirB9
k121_241619_1	2	319	318	-1	0.623	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_241619_2	321	1070	750	-1	0.647	11	GGAG/GAGG	GENOMAD.110207.PC	8.599e-126	399	0	1	0	1	NA	T_virB9	NA	PF03524;K03204;TIGR02781;COG3504	P-type conjugative transfer protein VirB9
k121_241619_3	1067	1726	660	-1	0.635	11	GGAGG	GENOMAD.059105.PP	3.369e-31	124	0	1	0	1	NA	T_virB8	NA	PF04335;COG3736;K12081;TIGR03781	Type IV secretory pathway, component VirB8
k121_241619_4	1760	1831	72	-1	0.681	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
