ID	Length	Coverage	# ORFs	RDS	Circular	Inc Type(s)	# Replication	# Mobilization	# OriT	# Conjugation	# AMRs	# rRNAs	# Plasmid Hits
k121_2031754	62252	NA	91	0.0	yes	0	0	0	0	0	0	0	0
k121_751044	58574	NA	80	0.0	yes	0	0	0	0	0	0	0	0
k121_2031770	37057	NA	54	0.0	yes	0	0	0	0	0	0	0	0
k121_1406966	12517	NA	12	0.0	no	0	0	1	0	0	0	0	0
k121_1189383	8492	NA	9	0.0	yes	0	0	0	0	0	0	0	0
k121_1434630	6730	NA	7	-0.1	no	0	1	0	0	0	0	0	0
k121_140083	6142	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1457356	5650	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_21324	5576	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1520758	5546	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_424204	5545	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_669837	5521	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_608840	5512	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1530181	5280	NA	8	0.0	yes	0	0	0	0	0	0	0	0
k121_2031895	5279	NA	9	0.0	yes	0	0	0	0	0	0	0	0
k121_16599	5033	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1110247	5026	NA	5	-0.1	no	0	1	0	0	0	0	0	0
k121_1511191	4953	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_2032396	4786	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_7310	4676	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_104864	4553	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_2010387	4551	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_2031827	4499	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1234363	4444	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_2032252	4221	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_267636	4214	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_974832	4205	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_110063	4138	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_54514	4121	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1348152	3904	NA	4	0.3	no	0	1	0	0	0	0	0	0
k121_2032003	3794	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1041275	3742	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_975762	3722	NA	4	0.0	no	0	0	1	0	0	0	0	0
k121_2032167	3719	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_630542	3706	NA	3	-0.1	no	0	1	0	0	0	0	0	0
k121_2032008	3653	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_2035319	3591	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_502503	3492	NA	3	0.0	no	0	1	0	0	0	0	0	0
k121_2032173	3487	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_81483	3451	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_664148	3445	NA	4	0.0	no	0	1	0	0	0	0	0	0
k121_497841	3443	NA	4	0.0	no	0	0	1	0	0	0	0	0
k121_1828319	3412	NA	7	1.4	no	0	0	0	0	0	0	0	1
k121_233947	3402	NA	4	0.0	no	0	0	1	0	0	0	0	0
k121_2008600	3395	NA	1	0.1	no	0	0	0	0	0	0	0	1
k121_374914	3359	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_2024280	3351	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_2032349	3349	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1034308	3264	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_2033203	3214	NA	7	0.0	yes	0	0	0	0	0	0	0	0
k121_2032072	3183	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_2032656	3164	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_1308883	3115	NA	7	0.0	yes	0	0	0	0	0	0	0	0
k121_2031805	3108	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_544674	3080	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_772690	2964	NA	1	0.0	yes	0	0	0	0	0	0	0	0
