ID	Length	Coverage	# ORFs	RDS	Circular	Inc Type(s)	# Replication	# Mobilization	# OriT	# Conjugation	# AMRs	# rRNAs	# Plasmid Hits
k121_190883	62124	NA	105	0.0	yes	0	0	0	0	0	0	0	0
k121_1813611	59144	NA	81	0.0	yes	0	0	0	0	0	0	0	0
k121_671183	57075	NA	52	0.0	no	0	0	1	0	3	0	0	0
k121_763032	43013	NA	63	0.0	yes	0	0	0	0	0	0	0	0
k121_853443	42754	NA	60	0.0	yes	0	0	0	0	0	0	0	0
k121_1813677	37426	NA	45	0.0	yes	0	0	0	0	0	0	0	0
k121_1815060	35727	NA	61	0.0	yes	0	0	0	0	0	0	0	0
k121_1236568	35514	NA	28	0.0	no	0	1	0	0	0	0	0	0
k121_1280452	31818	NA	27	0.0	no	0	1	0	0	0	0	0	0
k121_569937	30791	NA	31	0.0	no	0	0	1	0	0	0	0	0
k121_630465	26407	NA	32	0.0	yes	0	0	0	0	0	0	0	0
k121_1814044	24502	NA	40	0.0	yes	0	0	0	0	0	0	0	0
k121_1240520	22023	NA	21	0.1	no	0	0	0	0	0	0	0	1
k121_446367	17893	NA	14	0.0	no	0	1	0	0	0	0	0	0
k121_1813778	17697	NA	29	0.0	yes	0	0	0	0	0	0	0	0
k121_978605	14083	NA	12	0.0	no	0	1	0	0	0	0	0	0
k121_1523596	13862	NA	14	0.0	no	0	1	0	0	0	0	0	0
k121_1609901	12734	NA	14	0.1	no	0	0	0	0	5	0	0	1
k121_1813991	12129	NA	18	0.0	yes	0	0	0	0	0	0	0	0
k121_1814171	9582	NA	11	0.0	yes	0	0	0	0	0	0	0	0
k121_1222176	9554	NA	8	0.0	no	0	1	0	0	0	0	0	0
k121_399823	8807	NA	9	0.0	yes	0	0	0	0	0	0	0	0
k121_1813671	8800	NA	12	0.0	yes	0	0	0	0	0	0	0	0
k121_1192471	7945	NA	5	0.0	no	0	0	1	0	1	0	0	0
k121_806008	7765	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1813899	6766	NA	12	0.0	yes	0	0	0	0	0	0	0	0
k121_1590877	6603	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1437625	6591	NA	7	0.0	no	0	1	0	0	0	0	0	0
k121_1813684	6510	NA	10	0.0	yes	0	0	0	0	0	0	0	0
k121_1725973	6391	NA	8	0.0	no	0	1	0	0	0	0	0	0
k121_464638	5969	NA	7	0.0	no	0	0	1	0	0	0	0	0
k121_567229	5487	NA	3	0.1	no	0	0	0	0	0	0	0	1
k121_147058	5381	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_592412	5339	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_145334	5265	NA	7	0.0	no	0	0	1	0	0	0	0	0
k121_1813628	5261	NA	7	0.0	yes	0	0	0	0	0	0	0	0
k121_1521894	5260	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_732881	5247	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1248766	4928	NA	6	0.1	no	0	0	0	0	0	0	0	1
k121_1813927	4713	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_789586	4450	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_1815745	4431	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_1815221	4376	NA	7	0.0	yes	0	0	0	0	0	0	0	0
k121_1220902	4365	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1012742	4283	NA	6	0.1	no	0	0	0	0	0	0	0	1
k121_309118	4142	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1814732	4109	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1348875	4072	NA	2	0.0	no	0	0	1	0	0	0	0	0
k121_38407	4035	NA	7	0.0	yes	0	0	0	0	0	0	0	0
k121_1813923	3992	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_532723	3933	NA	2	0.2	no	0	0	0	0	2	0	0	1
k121_1814150	3918	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_610763	3787	NA	2	0.2	no	0	0	0	0	0	0	0	1
k121_1609595	3752	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1351083	3477	NA	3	0.0	no	0	1	0	0	0	0	0	0
k121_669395	3464	NA	4	0.0	no	0	0	1	0	0	0	0	0
k121_108920	3423	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1049883	3406	NA	5	0.0	yes	0	0	1	0	0	0	0	0
k121_1813666	3377	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_1814446	3361	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1235588	3308	NA	2	0.1	no	0	0	0	0	0	0	0	1
k121_1813811	3263	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_1814143	3174	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1710823	3136	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1817456	3118	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1814215	3011	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_1814440	2964	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_1368569	2962	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_129271	2956	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1814104	2926	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_723430	2925	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_1813983	2918	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1814300	2893	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_1814366	2883	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_38236	2853	NA	4	0.2	no	0	0	0	0	0	0	0	1
k121_1814214	2853	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1410923	2851	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_806339	2837	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_1813763	2832	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_1815470	2816	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_1814422	2788	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_1815521	2768	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_938168	2760	NA	1	0.1	no	0	0	0	0	0	0	0	1
k121_1814287	2751	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1814265	2740	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1360814	2706	NA	3	0.3	no	0	0	0	0	0	0	0	1
k121_1731341	2680	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_1813893	2632	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1601485	2624	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1493109	2624	NA	3	0.0	no	0	0	1	0	0	0	0	0
k121_1816144	2595	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_631347	2594	NA	2	0.0	no	0	1	0	0	0	0	0	0
k121_1815769	2560	NA	1	0.0	yes	0	0	0	0	0	0	1	0
k121_582661	2553	NA	3	0.0	no	0	1	0	0	0	0	0	0
k121_1813967	2543	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1814613	2539	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_110802	2490	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_322807	2489	NA	3	0.1	no	0	0	0	0	0	0	0	1
k121_1361740	2479	NA	3	0.0	no	0	1	0	0	0	0	0	0
