seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k121_806947	6448	No terminal repeats	11	11	0.9988	0.0012	5	9.3152	MOBP1	NA
k121_1022818	1800	No terminal repeats	3	11	0.9988	0.0012	1	3.0740	NA	NA
k121_785959	2443	No terminal repeats	4	11	0.9988	0.0012	1	3.7071	NA	NA
k121_1831504	2102	No terminal repeats	2	11	0.9988	0.0012	1	1.9777	NA	NA
k121_290504	3919	No terminal repeats	6	11	0.9988	0.0012	3	5.1230	MOBP1	NA
k121_1873073	2738	DTR	3	11	0.9988	0.0012	2	2.3412	NA	NA
k121_63996	2227	No terminal repeats	4	11	0.9987	0.0012	1	1.7019	NA	NA
k121_169404	2432	No terminal repeats	4	11	0.9987	0.0012	1	1.6913	NA	NA
k121_921173	1285	No terminal repeats	2	11	0.9987	0.0012	1	1.7183	NA	NA
k121_421129	1677	No terminal repeats	3	11	0.9985	0.0013	1	1.7183	NA	NA
k121_674837	1252	No terminal repeats	3	11	0.9985	0.0013	3	4.4089	virb4;T_virB3;T_virB2	NA
k121_960686	3652	DTR	6	11	0.9984	0.0013	1	2.7821	NA	NA
k121_177834	1234	No terminal repeats	2	11	0.9983	0.0014	2	2.7021	T_virB5;T_virB8	NA
k121_1840488	1186	No terminal repeats	2	11	0.9982	0.0014	2	2.8738	MOBP1	NA
k121_1435673	1866	No terminal repeats	2	11	0.9975	0.0015	1	1.5453	NA	NA
k121_37358	1056	No terminal repeats	2	11	0.9964	0.0016	2	2.3221	T_virB9;T_virB8	NA
k121_93277	1501	No terminal repeats	2	11	0.9961	0.0017	2	2.7581	T_virB5;T_virB6	NA
k121_777468	1241	No terminal repeats	2	11	0.9951	0.0019	2	2.7581	T_virB6;T_virB5	NA
k121_251800	1635	No terminal repeats	3	11	0.9946	0.0021	1	2.7146	NA	NA
k121_1796223	3999	No terminal repeats	3	11	0.9936	0.0023	1	1.5023	NA	NA
k121_641249	1257	No terminal repeats	2	11	0.9929	0.0025	1	2.0804	MOBP1	NA
k121_966034	1187	No terminal repeats	1	11	0.9884	0.0029	1	1.6920	MOBQ	NA
k121_1432582	5698	No terminal repeats	5	11	0.9877	0.0034	1	3.4696	NA	NA
k121_1226186	1125	No terminal repeats	3	11	0.9799	0.0040	2	2.8738	MOBP1	NA
k121_1433379	1058	No terminal repeats	3	11	0.9767	0.0048	1	2.2992	NA	NA
k121_272691	1447	No terminal repeats	2	11	0.9717	0.0057	2	2.1795	T_virB9;T_virB8	NA
k121_60330	2856	No terminal repeats	4	11	0.9607	0.0070	1	1.5314	NA	NA
k121_1189250	1850	No terminal repeats	5	11	0.9578	0.0082	1	1.8767	NA	NA
k121_1034018	1214	No terminal repeats	3	11	0.9573	0.0094	2	2.4943	F_traW	NA
k121_1670111	2119	No terminal repeats	5	11	0.9569	0.0105	1	2.1825	NA	NA
k121_1014929	1500	No terminal repeats	3	11	0.9483	0.0119	2	2.1382	T_virB8;T_virB9	NA
k121_11086	1654	No terminal repeats	2	11	0.9425	0.0133	1	1.7786	NA	NA
k121_1455623	1505	No terminal repeats	3	11	0.9383	0.0148	1	1.7016	NA	NA
k121_445704	1231	No terminal repeats	3	11	0.9242	0.0166	1	1.5029	NA	NA
k121_1440372	1170	No terminal repeats	4	11	0.9202	0.0184	2	2.2801	T_virB2;T_virB3	NA
k121_511451	1268	No terminal repeats	3	11	0.9162	0.0202	1	3.1322	MOBP1	NA
k121_191412	1896	No terminal repeats	3	11	0.9160	0.0219	3	3.1123	T_virB9;T_virB8	NA
k121_1385725	2109	No terminal repeats	1	11	0.8920	0.0242	1	1.6000	NA	NA
k121_895915	3026	No terminal repeats	4	11	0.8878	0.0264	1	2.6101	NA	NA
k121_844325	1700	No terminal repeats	3	11	0.8521	0.0295	1	1.5023	NA	NA
