gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
k121_1755910_1	3	536	534	-1	0.682	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1755910_2	615	2279	1665	1	0.729	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1755910_3	2371	2796	426	-1	0.700	11	GGA/GAG/AGG	GENOMAD.208004.PC	2.907e-06	48	0	0	0	1	NA	NA	NA	PF11578	NA
k121_1755910_4	2885	3085	201	-1	0.751	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_283304_1	1	237	237	1	0.768	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_283304_2	289	1284	996	1	0.671	11	AGGAG	GENOMAD.166736.CP	8.488e-32	130	0	0	0	1	NA	NA	NA	PF13407;K10559;TIGR02637;COG4213	rhamnose ABC transporter, rhamnose-binding protein
k121_283304_3	1306	2913	1608	1	0.727	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_283304_4	2910	3896	987	1	0.721	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_283304_5	3893	4888	996	1	0.712	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_283304_6	4885	5235	351	1	0.687	11	GGA/GAG/AGG	GENOMAD.179102.CP	5.732e-08	52	0	0	0	1	NA	NA	NA	PF05336;COG3254;TIGR02625	L-rhamnose mutarotase
k121_283304_7	5271	6743	1473	1	0.765	11	GGA/GAG/AGG	GENOMAD.189924.PC	3.079e-44	172	0	0	0	1	NA	NA	NA	NA	NA
k121_283304_8	6901	7467	567	1	0.765	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2039189_1	1	399	399	1	0.644	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2039189_2	500	736	237	1	0.629	11	GGA/GAG/AGG	GENOMAD.160466.PC	8.199e-13	64	0	0	0	1	NA	NA	NA	PF03693;TIGR02606;COG3609;K07722	putative addiction module antidote protein, CC2985 family
k121_2039189_3	733	1059	327	1	0.651	11	GGA/GAG/AGG	GENOMAD.195436.PC	5.201e-54	184	0	0	0	1	NA	NA	NA	PF05016;COG3668;K19093;TIGR02385	Plasmid stabilization system protein ParE
k121_2039189_4	1066	1263	198	-1	0.616	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2039189_5	1309	2274	966	-1	0.630	11	None	GENOMAD.209749.PC	0.0005769	44	0	0	0	1	NA	NA	NA	PF03466;K21757;TIGR03298;COG2998	LysR substrate binding domain
k121_2039189_6	2381	2794	414	1	0.618	11	AGGA	GENOMAD.161210.PC	2.174e-09	57	0	0	0	1	NA	NA	NA	PF06339;COG3123;TIGR04366;K05913	Ectoine synthase
k121_2039189_7	3078	3965	888	-1	0.687	11	AGGAG	GENOMAD.183307.PC	1.738e-07	55	0	0	0	1	NA	NA	NA	PF12833;TIGR02297;K02854;COG2207	4-hydroxyphenylacetate catabolism regulatory protein HpaA
k121_2039189_8	4255	4386	132	1	0.689	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_623234_1	1	825	825	1	0.704	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
