,ID,Length,Coverage,# ORFs,RDS,Circular,Inc Type(s),# Replication,# Mobilization,# OriT,# Conjugation,# AMRs,# rRNAs,# Plasmid Hits
86,k121_928186,4760,,6,0.1,no,0,0,0,0,0,0,0,1
87,k121_2453520,4743,,4,0.2,no,0,0,0,0,0,0,0,1
89,k121_2094206,4708,,7,0.0,no,0,0,1,0,0,0,0,0
116,k121_1310888,3701,,1,1.7,no,0,0,0,0,0,0,0,1
120,k121_2028527,3579,,3,0.2,no,0,0,0,0,0,0,0,1
127,k121_1081908,3102,,3,0.5,no,0,0,0,0,0,0,0,1
135,k121_1950111,2926,,4,0.2,no,0,0,0,0,0,0,0,1
152,k121_83602,2521,,3,0.0,no,0,0,1,0,0,0,0,0
157,k121_1450314,2432,,3,0.0,no,0,0,1,0,0,0,0,0
165,k121_123389,2312,,3,0.2,no,0,0,0,0,0,0,0,1
203,k121_2458212,1930,,3,0.1,no,0,0,0,0,0,0,0,1
259,k121_906244,1443,,3,0.2,no,0,0,0,0,0,0,0,1
264,k121_112979,1424,,2,0.2,no,0,0,0,0,0,0,0,1
294,k121_1100900,1161,,1,0.4,no,0,0,0,0,0,0,0,1
313,k121_568991,1060,,2,0.0,no,0,0,1,0,0,0,0,0
315,k121_1716750,1057,,1,1.9,no,0,0,0,0,0,0,0,0
