seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k121_1558342	1233	No terminal repeats	2	11	0.9991	0.0009	2	2.7569	MOBP1	NA
k121_2443806	1840	No terminal repeats	2	11	0.9991	0.0009	2	3.2077	MOBQ	NA
k121_2627591	3114	No terminal repeats	2	11	0.9991	0.0009	2	3.2133	MOBP1	NA
k121_2127358	1120	No terminal repeats	3	11	0.9991	0.0009	1	3.9894	NA	NA
k121_2518218	1143	No terminal repeats	3	11	0.9990	0.0009	3	4.9288	F_traL;F_traE	NA
k121_1692490	3753	No terminal repeats	5	11	0.9990	0.0009	1	3.6611	NA	NA
k121_2184317	1867	No terminal repeats	3	11	0.9990	0.0009	2	3.3668	MOBP1	NA
k121_1259298	9074	No terminal repeats	15	11	0.9990	0.0009	1	2.9187	NA	NA
k121_219451	1933	No terminal repeats	4	11	0.9990	0.0009	3	5.3220	F_traW;F_traU	NA
k121_369400	1516	No terminal repeats	3	11	0.9990	0.0009	2	2.9047	MOBP1	NA
k121_2013014	35380	No terminal repeats	44	11	0.9990	0.0010	10	22.8216	T_virB11;T_virB9;T_virB8;T_virB6;virb4;T_virB3;T_virB1	NA
k121_770795	1267	No terminal repeats	1	11	0.9990	0.0010	1	1.7183	MOBC	NA
k121_2265475	2945	DTR	5	11	0.9990	0.0010	1	1.7283	MOBV	NA
k121_2770620	5430	DTR	6	11	0.9990	0.0010	1	2.5721	MOBQ	NA
k121_1570583	1515	No terminal repeats	2	11	0.9989	0.0010	1	1.5432	NA	NA
k121_2361151	1495	No terminal repeats	4	11	0.9989	0.0010	4	6.4097	F_traK;F_traE;F_traL	NA
k121_1181214	1052	No terminal repeats	4	11	0.9989	0.0010	3	4.6447	MOBQ	NA
k121_1759280	3270	No terminal repeats	6	11	0.9989	0.0010	3	4.1723	F_traU;F_traW	NA
k121_249832	4557	No terminal repeats	5	11	0.9989	0.0010	1	1.7134	NA	NA
k121_827340	2355	No terminal repeats	3	11	0.9989	0.0010	2	2.6198	NA	NA
k121_1781782	1602	No terminal repeats	3	11	0.9989	0.0010	1	1.5453	NA	NA
k121_2575328	1439	No terminal repeats	2	11	0.9989	0.0010	1	1.5233	MOBP1	NA
k121_962027	1223	No terminal repeats	2	11	0.9989	0.0010	2	3.1823	MOBP1	NA
k121_2335421	1531	No terminal repeats	3	11	0.9988	0.0010	2	3.0972	NA	NA
k121_179813	1732	No terminal repeats	4	11	0.9988	0.0010	3	4.7049	F_traL;F_traE;F_traK	NA
k121_2371486	9543	No terminal repeats	14	11	0.9988	0.0010	1	3.3253	NA	NA
k121_2494365	2177	No terminal repeats	3	11	0.9988	0.0010	1	2.6825	NA	NA
k121_961589	1419	No terminal repeats	4	11	0.9988	0.0010	2	3.2105	F_traL	NA
k121_2088802	7585	No terminal repeats	7	11	0.9988	0.0010	3	8.8996	t4cp1;C_alr7212;C_alr7211;C_alr7210;C_alr7209;C_alr7208;C_alr7207	NA
k121_1124834	1958	No terminal repeats	3	11	0.9988	0.0011	1	1.5650	NA	NA
k121_2565505	1169	No terminal repeats	3	11	0.9987	0.0011	1	3.5157	NA	NA
k121_1976001	2212	No terminal repeats	4	11	0.9987	0.0011	2	2.2801	T_virB3;T_virB2	NA
k121_345925	1729	No terminal repeats	3	11	0.9987	0.0011	1	1.7183	NA	NA
k121_227591	3102	No terminal repeats	5	11	0.9987	0.0011	1	2.8588	NA	NA
k121_2189732	1195	No terminal repeats	3	11	0.9986	0.0011	1	2.0738	NA	NA
k121_1546483	1005	No terminal repeats	1	11	0.9986	0.0011	1	1.6920	MOBQ	NA
k121_392712	1702	No terminal repeats	3	11	0.9986	0.0011	1	2.9354	F_traF	NA
k121_1670960	2043	No terminal repeats	3	11	0.9986	0.0011	1	1.7134	NA	NA
k121_1020124	3696	No terminal repeats	4	11	0.9985	0.0011	1	2.6476	NA	NA
k121_2726827	1036	No terminal repeats	2	11	0.9985	0.0011	1	1.7183	F_traV	NA
k121_1875343	3290	No terminal repeats	4	11	0.9984	0.0011	1	3.9141	C_alr7207;C_alr7208;C_alr7209	NA
k121_2117403	7370	No terminal repeats	5	11	0.9984	0.0012	1	2.3060	t4cp1;C_alr7212	NA
k121_859765	5035	No terminal repeats	8	11	0.9984	0.0012	1	4.0916	NA	NA
k121_177311	1215	No terminal repeats	3	11	0.9982	0.0012	1	2.2459	F_traV	NA
k121_236121	5134	No terminal repeats	9	11	0.9982	0.0012	1	1.5555	NA	NA
k121_340917	4154	No terminal repeats	6	11	0.9981	0.0012	1	1.7183	MOBC	NA
k121_1266851	2285	No terminal repeats	3	11	0.9981	0.0012	1	2.3700	NA	NA
k121_2677592	12890	No terminal repeats	13	11	0.9980	0.0012	1	1.7183	NA	NA
k121_360665	1170	No terminal repeats	4	11	0.9973	0.0013	2	5.1352	T_virB2;T_virB3	NA
k121_110091	2565	No terminal repeats	5	11	0.9973	0.0013	1	1.9765	NA	NA
k121_576563	1682	No terminal repeats	2	11	0.9972	0.0013	2	2.7021	T_virB5;T_virB8	NA
k121_1892890	1890	No terminal repeats	2	11	0.9969	0.0014	2	2.4862	F_traK;F_traB	NA
k121_350342	1652	No terminal repeats	4	11	0.9967	0.0014	2	2.8371	T_virB3	NA
k121_319105	1117	No terminal repeats	2	11	0.9964	0.0014	2	2.7797	T_virB5;T_virB6	NA
k121_1016350	1661	No terminal repeats	3	11	0.9963	0.0015	2	2.9420	F_traL;F_traE	NA
k121_2369222	1254	No terminal repeats	2	11	0.9956	0.0015	1	1.7134	NA	NA
k121_2453314	1495	No terminal repeats	1	11	0.9955	0.0016	1	1.7183	MOBP1	NA
k121_1390648	2329	No terminal repeats	3	11	0.9950	0.0016	2	2.5723	T_virB8;T_virB6	NA
k121_280734	2972	No terminal repeats	3	11	0.9946	0.0017	2	2.0753	T_virB9	NA
k121_804594	1004	No terminal repeats	2	11	0.9942	0.0018	1	2.5538	NA	NA
k121_617542	1049	No terminal repeats	2	11	0.9940	0.0018	1	1.5477	T_virB5	NA
