gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
k121_679730_1	849	2015	1167	-1	0.327	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_679730_2	2439	2663	225	-1	0.458	11	AAAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_793038_1	13	1104	1092	-1	0.425	11	GGAG/GAGG	GENOMAD.143014.CP	6.408e-94	313	0	0	0	1	NA	NA	NA	PF03929;COG3182;K03863	PepSY-associated TM region
k121_793038_2	1467	4121	2655	-1	0.428	11	GGAGG	GENOMAD.133821.CP	5.639e-94	333	0	0	0	1	NA	NA	NA	PF18480;PF14905;COG4634	Predicted nuclease, contains PIN domain, potential toxin-antitoxin system component
k121_793038_3	5094	7001	1908	1	0.428	11	AGxAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_397175_1	2	139	138	-1	0.601	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_397175_2	136	1842	1707	-1	0.593	11	GGAG/GAGG	GENOMAD.183868.PC	3.776e-30	130	0	0	0	1	NA	NA	NA	PF06505	Activator of aromatic catabolism
k121_397175_3	2077	2349	273	1	0.623	11	None	GENOMAD.197909.PC	5.617e-14	68	0	0	0	1	NA	NA	NA	PF06099	Phenol hydroxylase subunit
k121_397175_4	2380	2772	393	1	0.583	11	AGGAG	GENOMAD.181048.PC	3.731e-68	226	0	0	0	1	NA	NA	NA	PF02332;K16243;COG3396;TIGR04059	Methane/Phenol/Toluene Hydroxylase
k121_793685_1	1	243	243	1	0.346	11	None	GENOMAD.171200.PC	5.525e-40	142	0	0	0	1	NA	C_alr7209	NA	NA	NA
k121_793685_2	360	1946	1587	1	0.425	11	GGA/GAG/AGG	GENOMAD.154394.PC	5.004e-217	678	0	1	0	1	NA	C_alr7210	NA	PF03743	Bacterial conjugation TrbI-like protein
