gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
k121_188032_1	3	1736	1734	-1	0.566	11	AGxAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_188032_2	1747	2415	669	1	0.553	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_188032_3	3013	3114	102	1	0.402	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_188032_4	3194	3364	171	1	0.357	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_188032_5	3443	3829	387	1	0.390	11	AGGAG	GENOMAD.178101.PC	2.987e-53	183	0	0	0	1	NA	NA	NF000496	PF12681;COG3565;TIGR00068;K21265	Predicted dioxygenase of extradiol dioxygenase family
k121_188032_6	3910	4863	954	-1	0.506	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_188032_7	4957	5346	390	-1	0.585	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_188032_8	5357	6892	1536	-1	0.549	11	GGA/GAG/AGG	GENOMAD.193759.CP	5.08e-161	515	0	0	0	1	NA	NA	NA	PF10119;PF00891;COG4797;TIGR02021	Predicted methyltransferase regulatory domain; O-methyltransferase domain
k121_188032_9	7187	7336	150	1	0.487	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_188032_10	7320	7379	60	1	0.467	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_376176_1	3	1205	1203	1	0.622	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
