seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k121_2776028	1214	No terminal repeats	1	11	0.9990	0.0010	1	1.7183	NA	NA
k121_247730	8175	No terminal repeats	10	11	0.9990	0.0010	9	13.2504	F_traG;F_traH;F_traF;F_trbC;F_traU;F_traW	NA
k121_3371843	2867	DTR	5	11	0.9990	0.0010	1	2.5831	NA	NA
k121_3261218	1919	No terminal repeats	2	11	0.9990	0.0010	2	3.2373	MOBQ	NA
k121_460294	24173	No terminal repeats	28	11	0.9990	0.0010	6	26.2276	T_virB11;T_virB9;T_virB8;T_virB6;virb4	NA
k121_1541056	1776	No terminal repeats	3	11	0.9990	0.0010	1	2.4972	NA	NA
k121_2837503	1693	No terminal repeats	3	11	0.9990	0.0010	1	2.8064	NA	NA
k121_3326144	2363	DTR	3	11	0.9990	0.0010	1	1.7183	NA	NA
k121_432626	4566	DTR	7	11	0.9990	0.0010	2	4.7174	MOBQ	NA
k121_3370564	3797	DTR	4	11	0.9990	0.0010	1	1.7183	NA	NA
k121_1963112	2031	No terminal repeats	3	11	0.9990	0.0010	2	2.8523	NA	NA
k121_65721	3146	No terminal repeats	6	11	0.9989	0.0010	1	1.7283	MOBV	NA
k121_3172491	2011	No terminal repeats	3	11	0.9989	0.0010	2	3.0347	MOBQ	NA
k121_2548791	1425	No terminal repeats	3	11	0.9989	0.0010	3	4.9288	F_traE;F_traL	NA
k121_2400896	9193	No terminal repeats	12	11	0.9989	0.0010	6	12.7676	F_traL;F_traE;F_traK;F_traV	NA
k121_712509	2471	No terminal repeats	3	11	0.9989	0.0010	2	3.2077	MOBQ	NA
k121_1631542	2998	No terminal repeats	5	11	0.9989	0.0011	1	3.0726	NA	NA
k121_148168	3093	No terminal repeats	3	11	0.9988	0.0011	2	2.9639	NA	NA
k121_435594	2295	No terminal repeats	4	11	0.9988	0.0011	2	3.4366	NA	NA
k121_1205503	1054	No terminal repeats	2	11	0.9988	0.0011	2	3.1823	MOBP1	NA
k121_1363605	3473	No terminal repeats	5	11	0.9988	0.0011	1	1.6659	NA	NA
k121_435455	5474	No terminal repeats	9	11	0.9987	0.0011	4	6.1272	T_virB2;virb4	NA
k121_1366175	3422	No terminal repeats	6	11	0.9987	0.0011	1	1.6920	MOBQ	NA
k121_2076542	1261	No terminal repeats	2	11	0.9986	0.0011	2	2.8738	MOBP1	NA
k121_2127623	1665	No terminal repeats	3	11	0.9986	0.0011	3	3.7668	T_virB5;T_virB6	NA
k121_3370473	2078	DTR	4	11	0.9986	0.0011	1	2.1806	NA	NA
k121_818762	2371	No terminal repeats	4	11	0.9985	0.0011	1	2.3037	NA	NA
k121_3221022	1122	No terminal repeats	1	11	0.9985	0.0012	1	1.7137	NA	NA
k121_285182	1680	No terminal repeats	2	11	0.9985	0.0012	1	2.6855	NA	NA
k121_1913022	1494	No terminal repeats	3	11	0.9983	0.0012	3	3.7668	T_virB6;T_virB5	NA
k121_1095738	2429	No terminal repeats	4	11	0.9983	0.0012	3	3.5486	virb4;T_virB3;T_virB2	NA
k121_2227710	1707	No terminal repeats	3	11	0.9982	0.0012	2	2.9639	NA	NA
k121_2689208	1725	No terminal repeats	2	11	0.9981	0.0012	2	2.4592	virb4;T_virB5	NA
k121_885913	1524	No terminal repeats	3	11	0.9981	0.0013	1	3.4169	T_virB2	NA
k121_1726628	2664	No terminal repeats	3	11	0.9981	0.0013	1	1.9591	NA	NA
k121_1197182	1785	No terminal repeats	3	11	0.9979	0.0013	2	2.7797	T_virB5;T_virB6	NA
k121_2844273	2305	No terminal repeats	3	11	0.9975	0.0013	2	2.5200	T_virB5;virb4	NA
k121_689094	1082	No terminal repeats	3	11	0.9975	0.0014	1	3.1407	T_virB10	NA
k121_1697606	1574	No terminal repeats	3	11	0.9974	0.0014	3	3.8095	T_virB3;virb4	NA
k121_1062807	1020	No terminal repeats	3	11	0.9970	0.0014	2	3.4366	T_virB2;T_virB3	NA
k121_83598	1508	No terminal repeats	2	11	0.9969	0.0015	2	2.6928	T_virB10	NA
k121_1852976	1368	No terminal repeats	3	11	0.9966	0.0015	1	2.9250	T_virB5	NA
k121_2758513	1478	No terminal repeats	3	11	0.9966	0.0016	1	2.5717	NA	NA
k121_3367992	1645	No terminal repeats	4	11	0.9961	0.0016	3	4.1227	T_virB1;T_virB2;T_virB3	NA
k121_3021659	1237	No terminal repeats	4	11	0.9955	0.0017	1	3.8231	NA	NA
k121_428367	1467	No terminal repeats	4	11	0.9951	0.0018	1	4.1215	T_virB1	NA
k121_2086457	2455	No terminal repeats	2	11	0.9941	0.0018	2	2.1742	T_virB6;virb4	NA
k121_2450177	2152	No terminal repeats	3	11	0.9916	0.0020	2	2.4250	F_traF;F_traH	NA
k121_1314837	1139	No terminal repeats	2	11	0.9907	0.0021	1	2.3932	NA	NA
k121_2119955	1263	No terminal repeats	1	11	0.9886	0.0023	1	1.7183	NA	NA
k121_2798282	1519	No terminal repeats	3	11	0.9845	0.0026	2	1.9813	T_virB8;T_virB9	NA
k121_1643002	1033	No terminal repeats	1	11	0.9839	0.0028	1	1.6645	MOBP1	NA
k121_3365435	2077	No terminal repeats	3	11	0.9817	0.0031	2	2.1659	T_virB8;T_virB6	NA
k121_1201553	1701	No terminal repeats	4	11	0.9816	0.0034	2	2.2801	T_virB3;T_virB2	NA
k121_613718	1020	No terminal repeats	2	11	0.9816	0.0037	2	2.3303	F_traU;F_traW	NA
k121_406415	1478	No terminal repeats	3	11	0.9742	0.0041	1	2.8939	T_virB8	NA
k121_1790842	2186	No terminal repeats	5	11	0.9699	0.0045	2	5.1352	T_virB2;T_virB3	NA
k121_14008	1088	No terminal repeats	2	11	0.9693	0.0050	1	1.7120	NA	NA
k121_3272539	2251	No terminal repeats	3	11	0.9645	0.0055	2	3.4013	G_tfc24;G_tfc23;G_tfc22	NA
k121_2943724	1197	No terminal repeats	3	11	0.9640	0.0060	1	2.5686	NA	NA
k121_3233147	2860	No terminal repeats	4	11	0.9639	0.0065	3	4.7839	T_virB5;T_virB8;T_virB9	NA
k121_2611021	5526	No terminal repeats	8	11	0.9620	0.0070	1	2.7592	NA	NA
k121_1541609	1028	No terminal repeats	3	11	0.9616	0.0075	2	2.4943	F_traW	NA
k121_443676	1212	No terminal repeats	4	11	0.9571	0.0081	2	2.2801	T_virB2;T_virB3	NA
k121_2729803	1126	No terminal repeats	2	11	0.9554	0.0086	1	2.5644	NA	NA
k121_3077336	1089	No terminal repeats	1	11	0.9543	0.0092	1	1.5023	NA	NA
k121_1076909	1856	No terminal repeats	5	11	0.9526	0.0098	1	1.9979	NA	NA
k121_3165874	2161	No terminal repeats	4	11	0.9514	0.0103	3	4.4613	F_traL;F_traE;F_traK	NA
