seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k121_431218	6123	No terminal repeats	13	11	0.9989	0.0011	5	9.6210	T_virB6;MOBQ	NA
k121_461515	4152	No terminal repeats	5	11	0.9989	0.0011	3	4.5731	NA	NA
k121_1143534	1709	No terminal repeats	3	11	0.9988	0.0012	2	2.6173	MOBP1	NA
k121_1168845	4175	DTR	5	11	0.9987	0.0012	1	1.5169	MOBV	NA
k121_797621	3820	No terminal repeats	5	11	0.9987	0.0012	2	3.2077	MOBQ	NA
k121_594333	2067	DTR	2	11	0.9987	0.0012	1	2.1071	NA	NA
k121_599369	5011	No terminal repeats	7	11	0.9987	0.0012	2	3.5551	MOBQ;T_virB6	NA
k121_23941	1244	No terminal repeats	2	11	0.9987	0.0012	1	3.1033	B_traN	NA
k121_917421	2625	No terminal repeats	2	11	0.9985	0.0013	2	2.4668	F_traH;F_traG	NA
k121_457833	1924	No terminal repeats	4	11	0.9980	0.0013	1	1.7183	NA	NA
k121_109878	2961	No terminal repeats	3	11	0.9979	0.0014	1	2.0215	NA	NA
k121_439649	1530	No terminal repeats	2	11	0.9969	0.0016	1	2.1401	NA	NA
k121_1070356	1049	No terminal repeats	3	11	0.9968	0.0017	1	1.7057	NA	NA
k121_476424	11519	No terminal repeats	11	11	0.9951	0.0019	5	6.3144	F_traU;F_traW;F_traN;F_traF;F_traH	NA
k121_502790	1412	No terminal repeats	2	11	0.9941	0.0022	2	2.5240	F_traK;F_traE	NA
k121_59270	1219	No terminal repeats	3	11	0.9937	0.0024	1	2.8347	F_traU	NA
k121_530895	6075	No terminal repeats	8	11	0.9929	0.0027	4	4.9780	F_traU;F_traN;F_traF	NA
k121_544075	12653	No terminal repeats	18	11	0.9914	0.0030	3	6.4741	F_traW;F_traB;F_traE	NA
k121_1161662	1277	No terminal repeats	3	11	0.9849	0.0037	2	2.8371	T_virB3	NA
k121_1132796	1252	No terminal repeats	5	11	0.9775	0.0046	1	1.5585	NA	NA
k121_531598	9261	No terminal repeats	14	11	0.9755	0.0056	2	2.4587	F_traW;F_traB	NA
k121_994848	1871	No terminal repeats	3	11	0.9631	0.0070	3	3.1911	T_virB8;T_virB9;T_virB10	NA
k121_521616	10349	No terminal repeats	10	11	0.9180	0.0102	1	4.0847	T_virB11	NA
k121_438819	1152	No terminal repeats	2	11	0.8628	0.0155	2	2.4653	F_traU;F_traW	NA
