seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k121_2111789	1258	No terminal repeats	2	11	0.9988	0.0012	1	3.2077	MOBQ	NA
k121_2082607	5338	No terminal repeats	12	11	0.9988	0.0012	2	7.9611	NA	NA
k121_1830665	2434	No terminal repeats	1	11	0.9988	0.0012	1	1.7183	NA	NA
k121_1497131	1050	No terminal repeats	2	11	0.9988	0.0012	1	2.0710	NA	NA
k121_2369196	5348	DTR	7	11	0.9988	0.0012	1	3.4366	NA	NA
k121_1939561	1383	No terminal repeats	3	11	0.9988	0.0012	2	3.2373	MOBQ	NA
k121_2361774	2312	No terminal repeats	4	11	0.9988	0.0012	1	3.3991	MOBQ	NA
k121_1085195	2414	No terminal repeats	3	11	0.9988	0.0012	1	2.2847	NA	NA
k121_79266	1042	No terminal repeats	3	11	0.9987	0.0012	1	3.2636	NA	NA
k121_1473027	1247	No terminal repeats	4	11	0.9987	0.0012	4	6.4097	F_traL;F_traE;F_traK	NA
k121_1613685	1045	No terminal repeats	2	11	0.9987	0.0013	1	2.6481	NA	NA
k121_1687072	3271	No terminal repeats	5	11	0.9987	0.0013	2	2.4187	MOBQ	NA
k121_487948	3491	DTR	5	11	0.9986	0.0013	2	3.2259	MOBV	NA
k121_685396	2960	No terminal repeats	5	11	0.9986	0.0013	1	2.1860	NA	NA
k121_1681268	1876	No terminal repeats	3	11	0.9986	0.0013	1	2.7146	NA	NA
k121_1213453	3425	No terminal repeats	5	11	0.9986	0.0013	3	4.3937	G_tfc10;G_tfc11;G_tfc12;G_tfc13	NA
k121_2369232	2871	DTR	5	11	0.9985	0.0013	1	1.5418	MOBV	NA
k121_2369141	2879	DTR	5	11	0.9985	0.0013	1	1.5418	MOBV	NA
k121_1226521	2343	No terminal repeats	6	11	0.9985	0.0013	2	2.9699	MOBP1	NA
k121_1405478	2843	No terminal repeats	3	11	0.9982	0.0013	1	2.6481	NA	NA
k121_1995375	1922	No terminal repeats	2	11	0.9982	0.0014	1	1.6894	NA	NA
k121_2139169	3457	DTR	5	11	0.9982	0.0014	1	2.0838	NA	NA
k121_513448	9174	No terminal repeats	11	11	0.9982	0.0014	2	5.5464	I_traM;I_traN	NA
k121_1144648	2024	No terminal repeats	3	11	0.9981	0.0014	1	2.0838	NA	NA
k121_412328	1023	No terminal repeats	2	11	0.9981	0.0014	1	1.7183	MOBC	NA
k121_1310919	1449	No terminal repeats	2	11	0.9978	0.0015	1	1.5622	NA	NA
k121_74843	8288	No terminal repeats	7	11	0.9978	0.0015	1	1.7183	MOBC	NA
k121_2245731	2937	No terminal repeats	2	11	0.9978	0.0015	1	1.7183	NA	NA
k121_1537597	4016	No terminal repeats	4	11	0.9974	0.0016	3	3.3258	virb4;G_tfc24;G_tfc23	NA
k121_480938	2657	No terminal repeats	3	11	0.9973	0.0016	2	2.2372	G_tfc7;t4cp1	NA
k121_186443	1111	No terminal repeats	2	11	0.9972	0.0016	1	2.8619	F_trbC	NA
k121_232124	3052	No terminal repeats	3	11	0.9971	0.0017	1	1.6987	NA	NA
k121_1532584	3026	No terminal repeats	4	11	0.9969	0.0017	2	2.2053	MOBH;G_tfc2	NA
k121_1993556	7851	No terminal repeats	8	11	0.9966	0.0018	1	5.1548	I_traW	NA
k121_1404587	2618	No terminal repeats	5	11	0.9962	0.0018	2	2.1707	G_tfc8;G_tfc7	NA
k121_2328639	3888	No terminal repeats	5	11	0.9959	0.0019	1	1.6385	NA	NA
k121_1703648	3862	No terminal repeats	3	11	0.9953	0.0020	1	1.7183	NA	NA
k121_2222972	2748	No terminal repeats	3	11	0.9944	0.0021	2	3.2408	G_tfc14;G_tfc15;virb4	NA
k121_1847094	14727	No terminal repeats	12	11	0.9944	0.0022	1	6.4119	NA	NA
k121_807938	1932	No terminal repeats	3	11	0.9915	0.0023	1	1.6987	NA	NA
k121_200568	1116	No terminal repeats	2	11	0.9881	0.0025	1	2.2260	G_tfc12;G_tfc11	NA
k121_1800016	6466	No terminal repeats	8	11	0.9870	0.0028	1	2.7553	I_traI;I_traK	NA
k121_1501252	3040	No terminal repeats	5	11	0.9860	0.0031	3	3.4325	F_traW;F_traU	NA
k121_551712	1316	No terminal repeats	2	11	0.9846	0.0033	2	2.2717	G_tfc24;G_tfc23	NA
k121_1495027	2188	No terminal repeats	4	11	0.9772	0.0038	1	2.2753	NA	NA
k121_2033339	1961	No terminal repeats	2	11	0.9762	0.0042	2	2.4284	F_traH;F_traF	NA
k121_2245953	10642	No terminal repeats	11	11	0.9738	0.0047	1	2.8788	traU	NA
k121_1843984	2027	No terminal repeats	3	11	0.9678	0.0052	2	2.3132	virb4;F_traB	NA
k121_503543	3580	No terminal repeats	3	11	0.9648	0.0059	1	1.6903	NA	NA
k121_1947565	1029	No terminal repeats	2	11	0.9639	0.0065	1	1.6987	NA	NA
k121_1209592	1688	No terminal repeats	3	11	0.9606	0.0071	1	2.1676	NA	NA
k121_1318540	2174	No terminal repeats	4	11	0.9593	0.0078	1	2.7923	G_tfc7	NA
k121_483335	1409	No terminal repeats	3	11	0.9333	0.0089	2	2.0557	T_virB1;G_tfc3	NA
k121_157601	2027	No terminal repeats	2	11	0.9333	0.0099	1	1.7134	NA	NA
k121_397948	1237	No terminal repeats	2	11	0.9163	0.0113	2	2.1047	t4cp1;G_tfc5	NA
k121_2068750	1815	No terminal repeats	3	11	0.9046	0.0128	1	2.6958	NA	NA
k121_1308946	4502	No terminal repeats	7	11	0.8848	0.0146	1	2.5107	NA	NA
k121_738970	2288	No terminal repeats	4	11	0.8781	0.0164	1	1.5466	NA	NA
k121_1849124	1696	No terminal repeats	2	11	0.8628	0.0185	1	1.5023	NA	NA
