gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
k121_349694_1	2	133	132	1	0.333	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_349694_2	199	1365	1167	-1	0.386	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_349694_3	1452	1604	153	1	0.392	11	TAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_349694_4	1934	2908	975	1	0.321	11	TAAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_349694_5	3168	3356	189	-1	0.360	11	AAAAAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_349694_6	3402	4526	1125	-1	0.418	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_349694_7	4789	6276	1488	-1	0.399	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_699343_1	3	209	207	1	0.604	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_699343_2	225	1199	975	-1	0.587	11	GGAG/GAGG	GENOMAD.129311.CP	4.754e-14	76	0	0	0	1	NA	NA	NA	PF03401;K07795;COG3181;TIGR02122	Tripartite tricarboxylate transporter family receptor
k121_699343_3	1230	2048	819	-1	0.569	11	GGAG/GAGG	GENOMAD.101065.PP	0.0002047	45	0	0	0	1	NA	NA	NA	PF04909;K10221;COG3618	Predicted metal-dependent hydrolase, TIM-barrel fold
k121_699343_4	2077	2607	531	1	0.567	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_134969_1	1	438	438	1	0.413	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_134969_2	453	1319	867	1	0.407	11	AATAA	GENOMAD.205327.PC	5.43e-05	47	0	0	0	1	NA	NA	NA	PF02089;K05714;TIGR03611;COG2267	pyrimidine utilization protein D
k121_134969_3	1393	1896	504	1	0.359	11	TAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_134969_4	1974	2513	540	-1	0.335	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_755441_1	132	1058	927	1	0.540	11	None	GENOMAD.002761.PP	8.699e-15	78	0	1	0	1	NA	MOBQ	NA	PF03389;TIGR02768;K18434	MobA/MobL family
k121_621518_1	1	705	705	-1	0.474	11	AGGAG	GENOMAD.179296.PC	1.006e-17	85	0	0	0	1	NA	NA	NA	K15725;COG1538	Outer membrane protein TolC
k121_621518_2	1275	3503	2229	-1	0.510	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_621518_3	3601	4050	450	1	0.480	11	GGA/GAG/AGG	GENOMAD.141168.PC	7.214e-08	53	0	0	0	1	NA	NA	NA	PF13171;K21744;TIGR02044;COG0789	Cu(I)-responsive transcriptional regulator
k121_647871_1	3	656	654	1	0.645	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_647871_2	686	1639	954	1	0.654	11	AGxAGG/AGGxGG	GENOMAD.121868.CP	7.669e-12	69	0	0	0	1	NA	NA	NA	PF00528;K15581;TIGR02789;COG0601	nickel ABC transporter, permease subunit NikB
k121_647871_3	1639	2517	879	1	0.666	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_647871_4	2517	4136	1620	1	0.693	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_647871_5	4133	4630	498	1	0.673	11	GGA/GAG/AGG	GENOMAD.160871.PC	5.852e-38	141	0	0	0	1	NA	NA	NA	PF07364;PF07171;COG5476;K19048	Microcystin degradation protein MlrC, contains DUF1485 domain
k121_971027_1	2	130	129	1	0.574	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
