ID	Length	Coverage	# ORFs	RDS	Circular	Inc Type(s)	# Replication	# Mobilization	# OriT	# Conjugation	# AMRs	# rRNAs	# Plasmid Hits
k121_694907	20542	NA	12	0.1	no	0	0	1	0	0	0	0	0
k121_98900	17705	NA	12	0.1	no	0	0	1	0	0	0	0	0
k121_630175	17238	NA	22	0.0	yes	0	0	0	0	0	0	0	0
k121_263478	14451	NA	13	0.0	no	0	0	1	0	0	0	0	0
k121_204382	13290	NA	11	0.0	no	0	0	1	0	0	0	0	0
k121_318765	12232	NA	15	0.0	no	0	1	0	0	0	0	0	0
k121_443940	10237	NA	10	0.0	no	0	1	0	0	0	0	0	0
k121_847132	6555	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_847171	5099	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_847318	4708	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_847180	4475	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_401697	4358	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_847220	3690	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_847135	3361	NA	5	0.0	yes	0	0	1	0	0	0	0	0
k121_648999	3358	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_600880	3303	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_327689	3279	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_68866	3261	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_847232	3129	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_847224	3085	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_847221	3036	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_847421	2856	NA	4	0.0	yes	0	0	1	0	0	0	0	0
k121_847243	2637	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_620681	2633	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_831759	2527	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_847298	2447	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_663599	2437	NA	2	0.0	no	0	0	1	0	0	0	0	0
