gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
k121_2030195_1	359	757	399	1	0.624	11	None	GENOMAD.116259.PC	4.678e-07	50	0	0	0	1	NA	NA	NA	COG5569	Periplasmic Cu and Ag efflux protein CusF
k121_2030195_2	754	1089	336	1	0.637	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2030195_3	1172	2566	1395	1	0.602	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_977846_1	290	433	144	1	0.465	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_977846_2	579	983	405	1	0.531	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_977846_3	1190	2050	861	-1	0.480	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_977846_4	2150	2584	435	1	0.490	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_376297_1	3	1055	1053	-1	0.540	11	None	GENOMAD.145324.PC	4.502e-11	67	0	1	0	1	NA	NA	NA	PF06406;TIGR03739;K18640;COG1077	PRTRC system protein D
k121_2255970_1	1	1365	1365	1	0.626	11	None	GENOMAD.133821.CP	8.644e-21	99	0	0	0	1	NA	NA	NA	PF18480;PF14905;COG4634	Predicted nuclease, contains PIN domain, potential toxin-antitoxin system component
k121_2255970_2	1400	2206	807	1	0.679	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2255970_3	2203	3855	1653	1	0.679	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2255970_4	3848	4639	792	1	0.648	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2105713_1	3	3146	3144	1	0.592	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1128288_1	3	413	411	-1	0.560	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1128288_2	430	1071	642	-1	0.623	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1128288_3	1086	1475	390	-1	0.574	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1128288_4	1527	1742	216	-1	0.653	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1128288_5	1732	2328	597	-1	0.647	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1128288_6	2603	2773	171	1	0.526	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_556_1	62	676	615	-1	0.584	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_556_2	761	2998	2238	-1	0.606	11	None	GENOMAD.148417.CP	1.06e-29	130	0	0	0	2561	Caudoviricetes	NA	NA	PF14905;PF07715;K16090;TIGR01783;COG4774	TonB-dependent siderophore receptor
k121_1429127_1	1	75	75	1	0.480	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1429127_2	41	595	555	-1	0.470	11	AAAAA	GENOMAD.091239.PP	7.645e-06	48	0	0	0	1	NA	NA	NA	COG3447	Integral membrane sensor domain MASE1
k121_1429127_3	580	765	186	-1	0.484	11	AAAAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1429127_4	982	1866	885	1	0.515	11	TAAAAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1429127_5	1884	2840	957	-1	0.474	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1128429_1	2	457	456	1	0.362	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1128429_2	468	1367	900	1	0.427	11	None	GENOMAD.138275.PV	2.853e-05	48	0	1	0	1	NA	NA	NA	PF07506;PF02195;TIGR03454;COG1475;K03497	plasmid partitioning protein RepB
k121_2632241_1	1	579	579	1	0.504	11	None	GENOMAD.118724.PC	1.743e-14	74	0	1	0	1	NA	T_virB9	NA	PF03524;K20532;TIGR02781;COG3504	P-type conjugative transfer protein VirB9
k121_2632241_2	598	1476	879	1	0.530	11	GGA/GAG/AGG	GENOMAD.111807.PC	2.995e-32	130	0	1	0	1	NA	T_virB10	NA	PF03743;COG2948	Type IV secretory pathway, VirB10 components
k121_1880491_1	3	563	561	-1	0.335	11	TAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1880491_2	575	1093	519	-1	0.364	11	TAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1880491_3	1221	2156	936	1	0.355	11	TAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1880491_4	2164	2766	603	-1	0.386	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2406644_1	124	360	237	-1	0.506	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2406644_2	825	1331	507	-1	0.655	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2406644_3	1328	1777	450	-1	0.700	11	GGAGG	GENOMAD.197290.PC	4.624e-15	74	0	0	0	1	NA	NA	NA	PF13801;K24078;COG5612	Heavy-metal resistance
