ID	Length	Coverage	# ORFs	RDS	Circular	Inc Type(s)	# Replication	# Mobilization	# OriT	# Conjugation	# AMRs	# rRNAs	# Plasmid Hits
k121_51137	68978	NA	116	0.0	yes	0	0	0	0	0	0	0	0
k121_704177	68321	NA	105	0.0	yes	0	0	0	0	0	0	0	0
k121_1099927	60899	NA	97	0.0	yes	0	0	0	0	0	0	0	0
k121_366651	60756	NA	77	0.0	yes	0	0	0	0	0	0	0	0
k121_1145504	59563	NA	83	0.0	yes	0	0	0	0	0	0	0	0
k121_112442	51143	NA	86	0.0	yes	0	0	0	0	0	0	0	0
k121_1753101	44133	NA	75	0.0	yes	0	0	0	0	0	0	0	0
k121_1753197	43541	NA	61	0.0	yes	0	0	0	0	0	0	0	0
k121_1017322	41975	NA	57	0.0	yes	0	0	0	0	0	0	0	0
k121_1753107	41866	NA	59	0.0	yes	0	0	0	0	0	0	0	0
k121_1675563	41351	NA	69	0.0	yes	0	0	0	0	0	0	0	0
k121_340782	38773	NA	56	0.0	yes	0	0	0	0	0	0	0	0
k121_1753075	38481	NA	60	0.0	yes	0	0	0	0	0	0	0	0
k121_132752	38425	NA	57	0.0	yes	0	0	0	0	0	0	0	0
k121_1753106	38200	NA	50	0.0	yes	0	0	0	0	0	0	0	0
k121_1519394	38128	NA	50	0.0	yes	0	0	0	0	0	0	0	0
k121_1753166	37821	NA	58	0.0	yes	0	0	0	0	0	0	0	0
k121_1150986	36538	NA	50	0.0	yes	0	0	0	0	0	0	0	0
k121_1753093	36400	NA	59	0.0	yes	0	0	0	0	0	0	0	0
k121_1004080	34464	NA	51	0.0	yes	0	0	0	0	0	0	0	0
k121_1753186	34024	NA	37	0.0	yes	0	0	0	0	0	0	0	0
k121_612539	31569	NA	44	0.0	yes	0	0	0	0	0	0	0	0
k121_1332424	29774	NA	57	0.0	yes	0	0	0	0	0	0	0	0
k121_208649	17642	NA	29	0.0	yes	0	0	0	0	0	0	0	0
k121_1557258	16250	NA	28	0.0	yes	0	0	0	0	0	0	0	0
k121_1753112	16150	NA	25	0.0	yes	0	0	0	0	0	0	0	0
k121_1626463	15969	NA	27	0.0	yes	0	0	0	0	0	0	0	0
k121_1753072	15773	NA	26	0.0	yes	0	0	0	0	0	0	0	0
k121_1753253	15688	NA	25	0.0	yes	0	0	0	0	0	0	0	0
k121_1287900	15245	NA	22	0.0	yes	0	0	0	0	0	0	0	0
k121_112731	13801	NA	16	0.0	yes	0	0	0	0	0	0	0	0
k121_1753157	13007	NA	21	0.0	yes	0	0	0	0	0	0	0	0
k121_1753297	12540	NA	14	0.0	yes	0	0	0	0	0	0	0	0
k121_1075446	12437	NA	17	0.0	no	0	0	1	0	1	0	0	0
k121_1147140	11789	NA	21	0.0	no	0	0	1	0	0	0	0	0
k121_1676251	11360	NA	16	0.0	no	0	0	1	0	1	0	0	0
k121_1147365	10819	NA	13	0.0	no	0	0	1	0	2	0	0	0
k121_1753156	10419	NA	14	0.0	yes	0	0	0	0	0	0	0	0
k121_926310	9662	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1753181	8678	NA	9	0.0	yes	0	0	0	0	0	0	0	0
k121_226119	7827	NA	6	1.1	no	0	0	0	0	0	0	0	0
k121_960662	7765	NA	17	0.0	yes	0	0	0	0	0	0	0	0
k121_1179366	6877	NA	8	0.0	yes	0	0	0	0	0	0	0	0
k121_536076	6375	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_205021	5611	NA	8	0.0	yes	0	0	0	0	0	0	0	0
k121_796240	5382	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_480869	5362	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_196424	5341	NA	4	0.0	no	0	0	1	0	0	0	0	0
k121_1025281	5332	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_485546	5313	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_1453397	5256	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_760615	5171	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1753661	5110	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1270262	4978	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_535666	4637	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1550488	4623	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1753244	4508	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_1753080	4496	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_114087	4480	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1753100	4444	NA	7	0.0	yes	0	0	0	0	0	0	0	0
k121_1753739	4418	NA	7	0.0	yes	0	0	0	0	0	0	0	0
k121_866897	4399	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1753648	4362	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_1033685	4233	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_1753286	4103	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_492272	3896	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_1753546	3797	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_635165	3739	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_145044	3657	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_407437	3592	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1753129	3376	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_389642	3167	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1753224	3040	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1753506	3038	NA	7	0.0	yes	0	0	0	0	0	0	0	0
k121_927826	2906	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_1380742	2887	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1214812	2857	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1000805	2857	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_89566	2807	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_822682	2728	NA	0	0.0	yes	0	0	0	0	0	0	0	0
k121_1232996	2706	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_2649	2695	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_1753279	2563	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_897914	2532	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1753081	2503	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1753183	2472	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_1753108	2452	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_278835	2316	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_673959	2299	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_1753146	2285	NA	2	0.0	yes	0	0	0	0	0	0	0	0
