ID	Length	Coverage	# ORFs	RDS	Circular	Inc Type(s)	# Replication	# Mobilization	# OriT	# Conjugation	# AMRs	# rRNAs	# Plasmid Hits
k121_989877	91924	NA	88	-0.0	no	0	0	1	0	7	0	0	0
k121_2144812	68365	NA	81	0.0	yes	0	0	0	0	0	0	0	0
k121_1162860	58551	NA	73	0.0	yes	0	0	0	0	0	0	0	0
k121_503827	58424	NA	86	0.0	yes	0	0	0	0	0	0	0	0
k121_2144794	57048	NA	76	0.0	yes	0	0	0	0	0	0	0	0
k121_300351	54332	NA	83	0.0	yes	0	0	0	0	0	0	0	0
k121_1478721	46541	NA	60	0.0	yes	0	0	0	0	0	0	0	0
k121_1493793	42480	NA	57	0.0	yes	0	0	0	0	0	0	0	0
k121_147003	40660	NA	65	0.0	yes	0	0	0	0	0	0	0	0
k121_396891	38200	NA	60	0.0	yes	0	0	0	0	0	0	0	0
k121_84006	34910	NA	53	0.0	yes	0	0	0	0	0	0	0	0
k121_455513	34010	NA	49	0.0	yes	0	0	0	0	0	0	0	0
k121_2144799	33234	NA	54	0.0	yes	0	0	0	0	0	0	0	0
k121_1440214	30957	NA	50	0.0	yes	0	0	0	0	0	0	0	0
k121_1079929	26096	NA	31	0.0	no	0	0	1	0	1	0	0	0
k121_119105	16076	NA	26	0.0	yes	0	0	0	0	0	0	0	0
k121_1319641	15152	NA	23	0.0	yes	0	0	0	0	0	0	0	0
k121_2144919	14292	NA	21	0.0	yes	0	0	0	0	0	0	0	0
k121_2144995	9283	NA	15	0.0	yes	0	0	0	0	0	0	0	0
k121_1675650	6390	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_2145114	6230	NA	9	0.0	yes	0	0	0	0	0	0	0	0
k121_2144996	5377	NA	8	0.0	yes	0	0	0	0	0	0	0	0
k121_1285813	5160	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_1279745	5155	NA	5	0.8	no	0	0	0	0	0	0	0	0
k121_1029487	4589	NA	1	0.4	no	0	0	0	0	0	0	0	1
k121_1551077	4555	NA	7	2.9	no	0	0	0	0	0	0	0	0
k121_1147109	4490	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_1654270	4386	NA	4	0.0	no	0	0	1	0	0	0	0	0
k121_2145154	4359	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_982518	4304	NA	5	0.0	no	0	0	1	0	0	0	0	0
k121_2144906	3807	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_1526934	3698	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_1189593	3634	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_1505481	3535	NA	7	1.1	no	0	0	0	0	0	0	0	1
k121_2144841	3405	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_2145238	3396	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_2144793	3205	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_2092350	3082	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_27666	2978	NA	2	0.1	no	0	0	1	0	0	0	0	1
k121_929632	2887	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_2145054	2840	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_2145072	2563	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_2147294	2560	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1512713	2551	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1495459	2551	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1549128	2521	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1985750	2478	NA	4	0.5	no	0	0	0	0	0	0	0	1
k121_1453748	2473	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_2145078	2443	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_561233	2440	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_2145041	2408	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_2145846	2386	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_685380	2381	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_2145239	2379	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_587475	2340	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_2145074	2246	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_884305	2237	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_151914	2209	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_2145674	2147	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_510634	2123	NA	3	0.1	no	0	0	0	0	0	0	0	1
k121_2144861	2065	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_779411	2047	NA	0	0.0	yes	0	0	0	0	0	0	0	0
k121_829365	2045	NA	1	1.1	no	0	0	0	0	0	0	0	0
k121_2144972	1961	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_2145264	1950	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1938906	1949	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_2145637	1935	NA	7	0.0	yes	0	0	0	0	0	0	0	0
k121_904212	1911	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_2144992	1904	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_178134	1879	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_2145631	1825	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_672883	1811	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_367810	1771	NA	1	0.0	yes	0	0	0	0	0	0	0	0
