gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
k121_381075_1	950	1114	165	-1	0.418	4	TTA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_381075_2	1262	1714	453	-1	0.450	4	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_381075_3	1749	1883	135	1	0.637	4	TTA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_381075_4	2074	2244	171	1	0.386	4	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_381075_5	2661	3209	549	1	0.501	4	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_381075_6	3161	3979	819	1	0.433	4	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_381075_7	4695	5276	582	-1	0.517	4	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_698615_1	1	669	669	1	0.547	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_698615_2	635	1219	585	1	0.518	11	4Base/6BMM	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_698615_3	1260	1955	696	1	0.557	11	AGGAG	GENOMAD.197527.PV	3.227e-05	47	0	0	0	1	NA	NA	NA	PF02586;COG2135	Putative SOS response-associated peptidase YedK
k121_698615_4	2040	2843	804	1	0.531	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_698615_5	2851	3702	852	-1	0.541	11	None	GENOMAD.154715.CP	1.366e-24	107	0	0	0	1	NA	NA	NA	COG2966	Uncharacterized membrane protein YjjP, DUF1212 family
k121_1333630_1	1	1191	1191	-1	0.591	11	None	GENOMAD.181330.PC	5.662e-06	51	0	0	0	1	NA	NA	NA	PF05834;K09461;TIGR02032;COG0644	geranylgeranyl reductase family
k121_1333630_2	1188	1310	123	-1	0.577	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1333630_3	1344	1994	651	-1	0.590	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1333630_4	2177	2863	687	-1	0.652	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1333630_5	3152	3211	60	1	0.583	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_825630_1	2	346	345	1	0.641	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_825630_2	351	986	636	1	0.604	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_825630_3	1112	1873	762	1	0.570	11	GGA/GAG/AGG	GENOMAD.148067.PC	0.0003624	44	0	0	0	1	NA	NA	NA	PF07840;K22293;TIGR03338;COG1802	phosphonate utilization associated transcriptional regulator
k121_825630_4	1925	2740	816	1	0.542	11	AGGAG	GENOMAD.154540.CP	2.88e-07	54	0	0	0	1	NA	NA	NA	PF05721;TIGR02408;K10674;COG5285	ectoine hydroxylase
k121_825630_5	2740	3540	801	1	0.538	11	AGGAGG	GENOMAD.212046.CP	4.567e-05	47	0	0	0	1	NA	NA	NA	PF05721;TIGR04436;COG5285;K00477	putative 2OG-Fe(II) oxygenase
k121_762501_1	3	1283	1281	-1	0.639	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_762501_2	1280	2002	723	-1	0.615	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_762501_3	2187	2690	504	1	0.601	11	AGGAG	GENOMAD.191236.PC	5.386e-07	51	0	0	0	1	NA	NA	NA	PF00036	NA
k121_762501_4	2769	2882	114	1	0.570	11	AGGAG	GENOMAD.102932.PP	1.655e-16	72	0	0	0	1	NA	NA	NA	NA	NA
k121_762501_5	2898	3284	387	1	0.566	11	AGGA	GENOMAD.148484.CP	5.762e-30	116	0	0	0	1	NA	NA	NA	PF03625;COG3439	Uncharacterized conserved protein, DUF302 family
k121_762501_6	3399	5771	2373	1	0.624	11	AGGAG	GENOMAD.145721.CP	6.983e-09	62	0	0	0	1	NA	NA	NA	PF19335	NA
k121_762501_7	5995	7470	1476	1	0.631	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_762501_8	7583	7909	327	1	0.621	11	3Base/5BMM	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_762501_9	8149	8883	735	1	0.597	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_762501_10	8880	10238	1359	1	0.637	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_762501_11	10323	12014	1692	1	0.619	11	GGAG/GAGG	GENOMAD.180629.PC	1.339e-46	181	0	0	0	1	NA	NA	NA	PF12700;K15727;TIGR00999;COG0845	Membrane Fusion Protein cluster 2 (function with RND porters)
k121_762501_12	12024	15173	3150	1	0.604	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_762501_13	15189	15284	96	1	0.625	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_635569_1	154	798	645	-1	0.567	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_635569_2	820	2097	1278	-1	0.520	11	GGA/GAG/AGG	GENOMAD.171245.PP	1.406e-32	135	0	0	0	1	NA	NA	NA	PF13365;K18546	Trypsin-like peptidase domain
k121_635569_3	2235	2450	216	1	0.625	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_635569_4	2450	2908	459	1	0.678	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1397638_1	3	545	543	1	0.702	11	None	GENOMAD.094143.PC	1.079e-37	141	0	1	0	1	NA	F_traB	NA	K12065	NA
k121_1397638_2	526	1488	963	1	0.707	11	GGAG/GAGG	GENOMAD.142039.PC	2.001e-67	234	0	0	0	1	NA	NA	NA	PF13462;PF10411;K03981;COG1651;TIGR00411	Protein-disulfide isomerase
k121_1397638_3	1485	2012	528	1	0.744	11	GGAG/GAGG	GENOMAD.113435.PC	7.26e-21	92	0	1	0	1	NA	F_traV	NA	K12064;TIGR02747	type IV conjugative transfer system lipoprotein TraV
k121_889831_1	1	429	429	-1	0.601	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_889831_2	1154	1450	297	-1	0.586	11	3Base/5BMM	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_889831_3	2364	2789	426	-1	0.481	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_889831_4	3071	3373	303	-1	0.403	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_889831_5	5574	5783	210	-1	0.414	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_889831_6	6684	7181	498	-1	0.530	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_889831_7	7512	7697	186	-1	0.565	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1778572_1	736	1701	966	1	0.504	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1778572_2	2113	2472	360	1	0.469	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1778572_3	2298	2714	417	-1	0.444	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1778572_4	2869	3048	180	1	0.294	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_64279_1	3	278	276	1	0.587	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_64279_2	333	737	405	1	0.578	11	GGAG/GAGG	GENOMAD.189775.PC	2.718e-65	218	0	0	0	1	NA	NA	NA	PF02962;K01826;COG3232	5-carboxymethyl-2-hydroxymuconate isomerase
k121_64279_3	740	1561	822	1	0.540	11	GGA/GAG/AGG	GENOMAD.151339.PC	2.443e-20	94	0	0	0	1	NA	NA	NA	PF01557;K01617;TIGR03218;COG3971	4-oxalocrotonate decarboxylase
k121_64279_4	1572	2333	762	1	0.542	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_64279_5	2338	3357	1020	1	0.561	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_64279_6	3354	4172	819	1	0.559	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_64279_7	4173	5174	1002	-1	0.557	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_64279_8	5180	6136	957	-1	0.530	11	GGAG/GAGG	GENOMAD.198092.PC	2.745e-92	306	0	0	0	1	NA	NA	NA	PF19858	Bacterial oxidoreductases, C-terminal
k121_64279_9	6188	7069	882	-1	0.552	11	AGGA/GGAG/GAGG	GENOMAD.172148.PC	2.355e-91	302	0	0	0	1	NA	NA	NA	PF02900;K04101;TIGR02298;COG3384	Catalytic LigB subunit of aromatic ring-opening dioxygenase
