,ID,Length,Coverage,# ORFs,RDS,Circular,Inc Type(s),# Replication,# Mobilization,# OriT,# Conjugation,# AMRs,# rRNAs,# Plasmid Hits
33,k121_1075446,12437,,17,0.0,no,0,0,1,0,1,0,0,0
34,k121_1147140,11789,,21,0.0,no,0,0,1,0,0,0,0,0
35,k121_1676251,11360,,16,0.0,no,0,0,1,0,1,0,0,0
36,k121_1147365,10819,,13,0.0,no,0,0,1,0,2,0,0,0
40,k121_226119,7827,,6,1.1,no,0,0,0,0,0,0,0,0
47,k121_196424,5341,,4,0.0,no,0,0,1,0,0,0,0,0
155,k121_76826,1557,,1,0.4,no,0,0,0,0,0,0,0,1
173,k121_244445,1502,,2,0.0,no,0,1,0,0,0,0,0,0
176,k121_1499360,1490,,3,0.0,no,0,1,0,0,0,0,0,0
185,k121_255639,1459,,2,0.0,no,0,0,1,0,0,0,0,0
206,k121_1494407,1385,,2,0.0,no,0,1,0,0,0,0,0,0
245,k121_344724,1262,,1,0.4,no,0,0,0,0,0,0,0,1
317,k121_1550212,1065,,1,0.0,no,0,0,1,0,0,0,0,0
320,k121_330985,1058,,1,0.1,no,0,0,0,0,0,0,0,1
