gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
k121_310950_1	3	422	420	1	0.529	11	None	GENOMAD.002490.PP	4.126e-12	65	0	1	0	1	NA	NA	NA	PF19514;COG4453	MobC-like protein
k121_310950_2	427	1203	777	1	0.493	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_345842_1	273	680	408	1	0.407	11	None	GENOMAD.192193.PP	3.598e-38	140	0	1	0	1	NA	NA	NA	PF19514;K18433;COG4453;TIGR04563	MobC-like protein
k121_345842_2	770	1189	420	1	0.426	11	TAAAA	GENOMAD.213689.CP	2.753e-06	48	0	0	0	1	NA	NA	NA	PF17206;COG4877;TIGR04563	Predicted DNA-binding protein with an HTH domain
k121_328801_1	206	886	681	1	0.606	11	GGAG/GAGG	GENOMAD.113489.PC	0.0002788	44	0	1	0	1	NA	T_virB1	NA	PF06871;K03194;COG4764	TraH_2
k121_328801_2	883	1248	366	1	0.596	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_328801_3	1253	1423	171	1	0.620	11	None	GENOMAD.101926.PC	2.005e-16	73	0	1	0	1	NA	T_virB3	NA	PF05101;K03198;COG3702	Type IV secretory pathway, VirB3 components
k121_484429_1	3	866	864	1	0.457	11	None	GENOMAD.136538.PC	2.27e-35	139	0	1	0	1	NA	NA	NA	PF05621;COG2842;TIGR02928;K02450	Bacterial TniB protein
k121_484429_2	869	1414	546	1	0.482	11	TAA	GENOMAD.177185.PC	4.143e-31	122	0	0	0	1	NA	NA	NA	PF06527;PF14803;COG1645;TIGR01206	TniQ; Nudix N-terminal
k121_382496_1	2	601	600	-1	0.557	11	GGA/GAG/AGG	GENOMAD.065209.PP	2.185e-06	50	0	1	0	1	NA	NA	NA	PF06406;TIGR03739;K18640;COG1077	PRTRC system protein D
k121_382496_2	822	2465	1644	-1	0.557	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_382496_3	2462	3175	714	-1	0.527	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_382496_4	3217	3348	132	-1	0.500	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_297452_1	2	397	396	1	0.518	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_297452_2	394	582	189	1	0.418	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_297452_3	1152	1367	216	1	0.579	11	GGAG/GAGG	GENOMAD.128941.PC	7.762e-25	98	0	0	0	1	NA	NA	NA	PF11455	Antitoxin MazE-like
k121_297452_4	1364	1690	327	1	0.474	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_297452_5	1764	2699	936	1	0.498	11	GGA/GAG/AGG	GENOMAD.034566.PP	2.531e-09	61	0	1	0	1	NA	NA	NA	PF07042;COG5534	TrfA protein
k121_297452_6	2690	2938	249	1	0.446	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_160224_1	3	497	495	-1	0.376	11	TAA	GENOMAD.060735.PP	2.359e-06	49	0	1	0	1	NA	NA	NA	PF01446	NA
k121_384707_1	2	184	183	-1	0.486	11	GGA/GAG/AGG	GENOMAD.147673.PC	0.000476	38	0	0	0	1	NA	NA	NA	PF19807;K18918;COG3609;TIGR04563	Transcriptional regulator, contains Arc/MetJ-type RHH (ribbon-helix-helix) DNA-binding domain
k121_384707_2	247	840	594	-1	0.434	11	None	GENOMAD.169594.PV	2.37e-45	164	0	1	0	1	NA	NA	NA	PF05732	Firmicute plasmid replication protein (RepL)
k121_384707_3	1482	2450	969	1	0.522	11	GGA/GAG/AGG	GENOMAD.170842.PV	1.613e-05	49	0	1	0	1	NA	MOBV	NA	PF01076	Plasmid recombination enzyme
k121_384707_4	2480	2734	255	-1	0.494	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_143536_1	3	482	480	1	0.550	11	None	GENOMAD.123484.PC	5.795e-44	158	0	1	0	2561	Caudoviricetes	T_virB8	NA	PF04335;K20531;COG3701;TIGR03781	Type IV secretory pathway, TrbF components
k121_143536_2	461	1486	1026	1	0.570	11	GGAG/GAGG	GENOMAD.109592.PC	3.031e-15	80	0	1	0	1	NA	T_virB9	NA	PF03524;K03204;TIGR02781;COG3504	P-type conjugative transfer protein VirB9
k121_143536_3	1483	1560	78	1	0.487	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_678879_1	1	363	363	-1	0.603	11	AGGAG	GENOMAD.168394.PV	7.64e-06	46	0	1	0	2561	Caudoviricetes	MOBQ	NA	PF03389;TIGR02768	Ti-type conjugative transfer relaxase TraA
k121_678879_2	826	1236	411	1	0.426	11	GGAG/GAGG	GENOMAD.152703.PV	2.456e-17	80	0	0	0	1	NA	NA	NA	PF04645;K11686;TIGR01481;COG2452	catabolite control protein A
k121_678879_3	1292	1540	249	1	0.434	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_678879_4	1543	1845	303	1	0.383	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_678879_5	2180	2740	561	1	0.419	11	AGGA	GENOMAD.179882.VP	1.12e-19	89	0	0	0	1	NA	NA	NA	PF05732	Firmicute plasmid replication protein (RepL)
k121_678879_6	2744	3262	519	1	0.524	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_678879_7	3351	3596	246	-1	0.488	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_678879_8	3640	3996	357	1	0.563	11	AGGAG	GENOMAD.075433.PP	6.651e-07	49	0	0	0	1	NA	NA	NA	NA	NA
k121_420813_1	3	284	282	-1	0.500	11	None	GENOMAD.031102.PP	1.212e-07	50	0	1	0	1	NA	MOBQ	NA	PF03389;TIGR02768	Ti-type conjugative transfer relaxase TraA
k121_420813_2	359	505	147	1	0.490	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_420813_3	526	789	264	1	0.455	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_420813_4	937	1212	276	-1	0.518	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_144720_1	1	225	225	-1	0.556	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_144720_2	289	558	270	-1	0.578	11	GGA/GAG/AGG	GENOMAD.092984.PC	7.946e-33	122	0	1	0	1	NA	NA	NA	PF06412	Conjugal transfer protein TraD
k121_144720_3	542	847	306	-1	0.556	11	GGAG/GAGG	GENOMAD.078663.PP	3.836e-30	115	0	1	0	1	NA	NA	NA	PF06412	Conjugal transfer protein TraD
k121_144720_4	1019	1240	222	1	0.572	11	GGA/GAG/AGG	GENOMAD.168394.PV	2.62e-07	48	0	1	0	2561	Caudoviricetes	MOBQ	NA	PF03389;TIGR02768	Ti-type conjugative transfer relaxase TraA
k121_93181_1	2	238	237	1	0.570	11	None	GENOMAD.116477.PC	1.428e-29	112	0	1	0	1	NA	T_virB2	NA	PF04956;K20528;COG3838	Type IV secretory pathway, VirB2 components (pilins)
k121_93181_2	282	557	276	1	0.533	11	AGGA	GENOMAD.127310.PC	1.818e-25	101	0	1	0	1	NA	T_virB3	NA	PF05101;COG5268;K03198	Type IV secretory pathway, TrbD component
k121_93181_3	682	1272	591	1	0.552	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_508679_1	1	183	183	1	0.454	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_508679_2	161	703	543	1	0.424	11	AGGAG	GENOMAD.166288.PC	6.222e-13	69	0	1	0	1	NA	G_tfc15	NA	PF04202;TIGR03751;COG3017;K07337	conjugative transfer region lipoprotein, TIGR03751 family
