gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
k121_369460_1	3	692	690	1	0.633	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_369460_2	1430	2527	1098	-1	0.718	11	AGGAG	GENOMAD.138275.PV	1.706e-14	78	0	1	0	1	NA	NA	NA	PF07506;PF02195;TIGR03454;COG1475;K03497	plasmid partitioning protein RepB
k121_369460_3	2601	3845	1245	-1	0.671	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_369460_4	4675	6213	1539	1	0.684	11	None	GENOMAD.152191.PV	3.386e-195	614	0	1	0	1	NA	NA	NA	PF01051;COG5527	Initiator Replication protein
k121_369460_5	6278	8707	2430	-1	0.763	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_369460_6	8963	9604	642	1	0.738	11	GGA/GAG/AGG	GENOMAD.130081.PC	1.417e-09	60	0	0	0	1	NA	NA	NA	PF13171;K21744;TIGR02043;COG0789	Zn(II)-responsive transcriptional regulator
k121_369460_7	9632	11677	2046	-1	0.711	11	AGGAG	GENOMAD.027576.PP	0.0008514	45	0	0	0	1	NA	NA	NA	NA	NA
k121_369460_8	11864	12400	537	1	0.704	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_506976_1	201	1112	912	-1	0.605	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_506976_2	1219	2598	1380	-1	0.621	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_506976_3	2694	3575	882	-1	0.773	11	AGGAGG	GENOMAD.101048.PP	2.963e-33	133	0	1	0	1	NA	NA	NA	PF11740	Plasmid replication region DNA-binding N-term
k121_506976_4	3669	4100	432	1	0.715	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_279610_1	1	624	624	-1	0.566	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_279610_2	830	1168	339	1	0.549	11	GGAG/GAGG	GENOMAD.101048.PP	5.912e-06	46	0	1	0	1	NA	NA	NA	PF11740	Plasmid replication region DNA-binding N-term
k121_1150606_1	1	180	180	-1	0.339	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1150606_2	177	449	273	-1	0.443	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1150606_3	523	732	210	-1	0.462	11	AGGA/GGAG/GAGG	GENOMAD.097219.PP	1.718e-09	54	0	1	0	1	NA	NA	NA	PF02402;COG3895;K20489;TIGR01004	Lysis protein
k121_1150606_4	739	1020	282	-1	0.337	11	AGxAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1150606_5	1010	1129	120	-1	0.358	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_143514_1	2	400	399	-1	0.586	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_143514_2	449	1312	864	-1	0.560	11	None	GENOMAD.065847.PP	4.969e-35	138	0	1	0	1	NA	MOBP1	NA	PF03432;COG3843	Relaxase/Mobilisation nuclease domain
k121_648540_1	1	1761	1761	-1	0.495	11	None	GENOMAD.085592.PP	9.14e-09	61	0	1	0	1	NA	NA	NA	PF05872;TIGR03754;COG3505;K12217	Helicase HerA-like C-terminal
k121_420077_1	108	1286	1179	-1	0.598	11	None	GENOMAD.107250.PP	3.888e-72	251	0	1	0	1	NA	NA	NA	PF14516;TIGR02928;COG1474;K06921	orc1/cdc6 family replication initiation protein
k121_467566_1	2	169	168	-1	0.524	11	AGGAG(G)/GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_467566_2	331	795	465	1	0.497	11	AGGAG	GENOMAD.004909.PP	9.436e-45	160	0	1	0	1	NA	NA	NA	PF06412	Conjugal transfer protein TraD
k121_467566_3	912	1175	264	-1	0.473	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_927554_1	3	284	282	1	0.642	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_927554_2	281	796	516	1	0.651	11	None	GENOMAD.081562.PP	1.724e-17	82	0	0	0	1	NA	NA	NA	NA	NA
k121_927554_3	793	1113	321	1	0.695	11	AGGA	GENOMAD.034319.PP	2.697e-20	87	0	1	0	1	NA	NA	NA	PF09677;TIGR02744	Type-F conjugative transfer system protein (TrbI_Ftype)
k121_515406_1	2	1660	1659	1	0.679	11	None	GENOMAD.070175.PP	0.0006474	45	0	1	0	1	NA	NA	NA	PF19357;TIGR03923;COG3451	type VII secretion protein EccE
k121_973807_1	94	681	588	1	0.636	11	None	GENOMAD.093714.PC	2.094e-10	62	0	1	0	1	NA	NA	NA	PF19514;PF16777;COG4453	MobC-like protein; Transcriptional regulator, RHH-like, CopG
k121_973807_2	662	1144	483	1	0.613	11	GGAGG	GENOMAD.076695.PP	3.631e-23	98	0	1	0	1	NA	MOBP1	NA	PF03432;K18434;COG3843	Type IV secretory pathway, VirD2 components (relaxase)
k121_653291_1	3	170	168	-1	0.702	11	AGGAG	GENOMAD.094453.PP	6.067e-13	63	0	1	0	1	NA	F_traK	NA	PF06586;TIGR02756;K12066	type-F conjugative transfer system secretin TraK
k121_653291_2	170	742	573	-1	0.639	11	GGA/GAG/AGG	GENOMAD.030647.PP	1.605e-37	141	0	1	0	1	NA	F_traE	NA	PF05309;K12067;TIGR02761	type IV conjugative transfer system protein TraE
