,ID,Length,Coverage,# ORFs,RDS,Circular,Inc Type(s),# Replication,# Mobilization,# OriT,# Conjugation,# AMRs,# rRNAs,# Plasmid Hits
8,k121_78627,21127,,22,0.0,no,0,0,1,0,1,0,0,0
10,k121_616581,15695,,18,0.0,no,0,0,1,0,0,0,0,0
13,k121_1329371,11771,,10,0.0,no,0,1,0,0,0,0,0,0
16,k121_1942677,9996,,12,0.0,no,0,0,1,0,0,0,0,0
240,k121_1810428,2757,,4,0.3,no,0,0,0,0,0,1,0,1
263,k121_518760,2593,,1,0.0,no,0,0,1,0,0,0,0,0
283,k121_455273,2430,,3,0.1,no,0,0,0,0,0,0,0,1
338,k121_1983367,2144,,2,0.0,no,0,0,1,0,0,0,0,0
383,k121_180434,1893,,2,26.6,no,0,0,0,0,0,0,0,0
385,k121_1913532,1892,,1,0.0,no,0,0,1,0,0,0,0,0
493,k121_1178874,1594,,1,0.2,no,0,0,0,0,0,0,0,1
662,k121_2428954,1237,,2,0.2,no,0,0,0,0,0,0,0,1
702,k121_1284250,1183,,1,3.3,no,0,0,0,0,0,0,0,0
786,k121_1906788,1071,,2,0.6,no,0,0,0,0,0,0,0,1
803,k121_1056295,1054,,2,0.9,no,0,0,0,0,0,0,0,1
806,k121_312723,1052,,1,0.1,no,0,0,0,0,0,0,0,1
