seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k121_1724483	2353	No terminal repeats	6	11	0.9990	0.0010	1	7.0555	NA	NA
k121_473942	3125	No terminal repeats	4	11	0.9990	0.0010	3	5.4221	T_virB10;T_virB5	NA
k121_870842	1440	No terminal repeats	2	11	0.9990	0.0010	1	3.4366	NA	NA
k121_63463	2012	No terminal repeats	2	11	0.9990	0.0010	2	3.0037	MOBP1	NA
k121_267895	3937	No terminal repeats	5	11	0.9990	0.0010	1	4.3739	NA	NA
k121_353503	2591	No terminal repeats	4	11	0.9990	0.0010	1	4.5490	NA	NA
k121_1197252	1041	No terminal repeats	2	11	0.9990	0.0010	2	2.8392	MOBQ	NA
k121_466833	5508	No terminal repeats	8	11	0.9990	0.0010	1	5.1286	MOBQ	NA
k121_1544176	2286	No terminal repeats	2	11	0.9990	0.0010	2	3.2146	MOBP1	NA
k121_986659	3247	No terminal repeats	5	11	0.9990	0.0010	3	5.1664	T_virB2;T_virB3;virb4	NA
k121_744037	1160	No terminal repeats	2	11	0.9990	0.0010	2	3.2146	MOBP1	NA
k121_292479	2045	No terminal repeats	3	11	0.9990	0.0010	2	4.0721	T_virB5;T_virB6	NA
k121_1839539	8449	DTR	11	11	0.9990	0.0010	2	6.5923	NA	NA
k121_484545	1483	No terminal repeats	3	11	0.9989	0.0010	2	4.4834	T_virB6	NA
k121_1009104	20699	No terminal repeats	24	11	0.9989	0.0010	3	6.7813	T_virB1	NA
k121_1411317	3829	No terminal repeats	5	11	0.9989	0.0010	1	3.4366	NA	NA
k121_484673	2192	No terminal repeats	3	11	0.9989	0.0010	2	4.4834	T_virB6	NA
k121_1049462	2613	No terminal repeats	4	11	0.9989	0.0010	1	2.2560	NA	NA
k121_841771	5253	No terminal repeats	6	11	0.9989	0.0010	3	3.0607	virb4;T_virB3;T_virB2;T_virB11	NA
k121_1632520	1185	No terminal repeats	2	11	0.9989	0.0010	1	2.9530	NA	NA
k121_1483566	11797	No terminal repeats	14	11	0.9989	0.0010	1	4.9294	NA	NA
k121_63917	1437	No terminal repeats	3	11	0.9989	0.0010	1	3.2390	NA	NA
k121_1725059	1821	No terminal repeats	3	11	0.9989	0.0011	1	2.6247	NA	NA
k121_921604	5457	No terminal repeats	5	11	0.9989	0.0011	1	1.8681	NA	NA
k121_1373939	2034	No terminal repeats	4	11	0.9989	0.0011	1	4.1364	MOBH	NA
k121_581409	2049	No terminal repeats	4	11	0.9989	0.0011	2	4.4834	T_virB6	NA
k121_264413	1878	No terminal repeats	3	11	0.9989	0.0011	1	1.7183	T_virB3	NA
k121_554216	1966	No terminal repeats	3	11	0.9988	0.0011	1	2.6481	NA	NA
k121_771189	6146	No terminal repeats	8	11	0.9988	0.0011	2	3.8474	T_virB11;T_virB2;T_virB3	NA
k121_1080941	1083	No terminal repeats	2	11	0.9988	0.0011	1	2.6796	G_tfc3	NA
k121_578475	2690	No terminal repeats	3	11	0.9988	0.0011	3	3.2679	T_virB5;virb4;T_virB3	NA
k121_231045	5496	No terminal repeats	4	11	0.9988	0.0011	2	2.7198	MOBP1;T_virB11;T_virB10	NA
k121_1042073	4965	No terminal repeats	9	11	0.9988	0.0011	1	2.6928	T_virB10	NA
k121_333308	5070	No terminal repeats	6	11	0.9988	0.0011	4	4.3859	T_virB5;T_virB6;T_virB8;T_virB9	NA
k121_64630	1655	No terminal repeats	4	11	0.9988	0.0011	3	4.2284	F_traL;F_traE;F_traK	NA
k121_13908	3179	No terminal repeats	5	11	0.9988	0.0011	1	3.4300	NA	NA
k121_745512	1008	No terminal repeats	2	11	0.9988	0.0011	1	2.3037	NA	NA
k121_33113	1167	No terminal repeats	2	11	0.9988	0.0011	1	2.9354	F_traF	NA
k121_660158	3037	No terminal repeats	6	11	0.9988	0.0011	1	2.3037	NA	NA
k121_470365	2708	No terminal repeats	4	11	0.9988	0.0011	3	5.0909	T_virB8;T_virB6;T_virB5	NA
k121_1566951	1594	No terminal repeats	3	11	0.9988	0.0011	2	2.7118	T_virB9	NA
k121_1283439	3283	No terminal repeats	5	11	0.9987	0.0011	2	2.8640	MOBP1	NA
k121_796250	4867	No terminal repeats	4	11	0.9987	0.0011	1	3.4260	NA	NA
k121_1476521	2148	No terminal repeats	2	11	0.9987	0.0011	2	2.2864	virb4;T_virB3	NA
k121_326197	6830	No terminal repeats	9	11	0.9987	0.0011	1	4.4251	NA	NA
k121_109457	8539	No terminal repeats	11	11	0.9987	0.0011	1	4.4730	NA	NA
k121_1501849	1634	No terminal repeats	3	11	0.9986	0.0011	2	3.3593	virb4	NA
k121_766065	1324	No terminal repeats	2	11	0.9986	0.0011	2	2.4200	T_virB6;T_virB8	NA
k121_107613	1555	No terminal repeats	4	11	0.9986	0.0012	1	2.9250	T_virB5	NA
k121_939288	1234	No terminal repeats	3	11	0.9986	0.0012	2	2.5626	T_virB9;T_virB8	NA
k121_1290136	1215	No terminal repeats	3	11	0.9985	0.0012	2	2.9489	MOBP1	NA
k121_1534693	1092	No terminal repeats	3	11	0.9985	0.0012	2	3.4366	T_virB3;T_virB2	NA
k121_1800698	2089	No terminal repeats	4	11	0.9984	0.0012	2	1.9957	T_virB9;T_virB8	NA
k121_1809352	2184	No terminal repeats	3	11	0.9984	0.0012	3	2.9702	T_virB10;T_virB9;T_virB8	NA
k121_76701	2214	No terminal repeats	3	11	0.9984	0.0012	3	4.3174	T_virB2;T_virB3;virb4	NA
k121_372773	2027	No terminal repeats	4	11	0.9983	0.0012	1	2.4030	NA	NA
k121_1460800	36515	No terminal repeats	36	11	0.9981	0.0012	1	3.5930	MOBH	NA
k121_810574	1513	No terminal repeats	2	11	0.9981	0.0012	2	2.7797	T_virB5;T_virB6	NA
k121_458824	2425	No terminal repeats	4	11	0.9980	0.0012	3	4.0788	MOBP1;T_virB1	NA
k121_920714	2419	No terminal repeats	2	11	0.9979	0.0013	2	2.1791	virb4;T_virB5	NA
k121_68304	2884	No terminal repeats	3	11	0.9979	0.0013	1	2.0144	T_virB10	NA
k121_491296	1414	No terminal repeats	3	11	0.9979	0.0013	1	1.7145	NA	NA
k121_494438	1231	No terminal repeats	3	11	0.9977	0.0013	1	2.3538	NA	NA
k121_579912	2117	No terminal repeats	4	11	0.9975	0.0013	3	3.6113	virb4;T_virB5;T_virB6	NA
k121_925424	1808	No terminal repeats	4	11	0.9975	0.0013	2	1.6313	T_virB3;T_virB2;T_virB11	NA
k121_678590	1067	No terminal repeats	2	11	0.9974	0.0014	2	2.4653	F_traU;F_traW	NA
k121_1799971	9082	No terminal repeats	10	11	0.9974	0.0014	7	6.6544	T_virB3;virb4;T_virB6;T_virB8;T_virB9;T_virB11	NA
k121_1774890	1716	No terminal repeats	3	11	0.9974	0.0014	1	2.5932	MOBP1	NA
k121_971448	1535	No terminal repeats	2	11	0.9973	0.0014	1	1.5023	NA	NA
k121_365693	1363	No terminal repeats	2	11	0.9964	0.0014	1	2.7146	NA	NA
k121_138772	2230	No terminal repeats	4	11	0.9963	0.0015	2	3.5505	G_tfc22;G_tfc23;G_tfc24	NA
k121_947496	2038	No terminal repeats	2	11	0.9949	0.0015	1	2.0818	T_virB9	NA
k121_79927	2848	No terminal repeats	3	11	0.9942	0.0016	1	2.3554	MOBH	NA
k121_1081322	1079	No terminal repeats	2	11	0.9942	0.0016	1	2.8615	F_trbC	NA
k121_1302901	1500	No terminal repeats	2	11	0.9922	0.0017	1	1.7183	T_virB6	NA
k121_1710863	1484	No terminal repeats	3	11	0.9918	0.0018	1	1.9808	T_virB10	NA
k121_80835	1165	No terminal repeats	2	11	0.9911	0.0019	1	1.6827	NA	NA
k121_277877	1468	No terminal repeats	2	11	0.9893	0.0020	2	2.6906	virb4;T_virB3	NA
k121_139932	1506	No terminal repeats	3	11	0.9888	0.0021	2	2.3538	T_virB6;T_virB5	NA
k121_1287502	3356	No terminal repeats	3	11	0.9886	0.0022	3	4.1315	F_traV;virb4	NA
k121_919227	1782	No terminal repeats	3	11	0.9862	0.0024	2	2.1659	T_virB6;T_virB8	NA
k121_1740490	1098	No terminal repeats	3	11	0.9846	0.0025	2	2.5626	T_virB8;T_virB9	NA
k121_1037036	1356	No terminal repeats	2	11	0.9829	0.0027	2	2.4284	F_traH;F_traF	NA
k121_1523602	1057	No terminal repeats	2	11	0.9822	0.0029	2	2.5240	F_traK;F_traE	NA
k121_203805	2257	No terminal repeats	4	11	0.9818	0.0031	2	2.2092	T_virB9;T_virB6	NA
k121_104820	1106	No terminal repeats	2	11	0.9763	0.0033	1	1.6038	G_tfc7	NA
k121_154186	1085	No terminal repeats	2	11	0.9761	0.0036	1	2.5591	G_tfc3	NA
k121_743671	1007	No terminal repeats	2	11	0.9758	0.0038	2	2.4653	F_traW;F_traU	NA
k121_1299271	1975	No terminal repeats	2	11	0.9755	0.0040	2	2.1659	T_virB6;T_virB8	NA
k121_568580	9499	No terminal repeats	10	11	0.9729	0.0043	2	3.2997	t4cp1	NA
k121_671281	1641	No terminal repeats	3	11	0.9724	0.0045	2	1.9957	T_virB8;T_virB9	NA
k121_72842	2810	No terminal repeats	3	11	0.9705	0.0048	2	2.9577	T_virB10;T_virB9	NA
k121_1187798	1219	No terminal repeats	2	11	0.9691	0.0051	2	2.1659	T_virB8;T_virB6	NA
k121_1613095	3683	No terminal repeats	4	11	0.9673	0.0054	3	3.2915	T_virB3;virb4	NA
k121_467593	1074	No terminal repeats	2	11	0.9654	0.0057	2	2.1023	G_tfc13;G_tfc12	NA
k121_780367	1025	No terminal repeats	2	11	0.9642	0.0060	2	2.4245	F_traV;virb4	NA
k121_529075	1009	No terminal repeats	2	11	0.9626	0.0063	2	2.3303	F_traW;F_traU	NA
k121_1589247	1217	No terminal repeats	3	11	0.9563	0.0067	1	2.2753	NA	NA
k121_528833	1415	No terminal repeats	3	11	0.9451	0.0072	1	1.9122	NA	NA
k121_588890	1425	No terminal repeats	3	11	0.9450	0.0077	2	2.7021	T_virB5;T_virB8	NA
k121_649798	2229	No terminal repeats	3	11	0.9361	0.0082	1	2.0119	NA	NA
k121_678599	1241	No terminal repeats	3	11	0.9351	0.0088	1	1.9820	T_virB10	NA
k121_872210	2093	No terminal repeats	3	11	0.9150	0.0095	1	2.6770	NA	NA
k121_1569625	2397	No terminal repeats	4	11	0.8948	0.0104	2	2.9909	F_traK;F_traL	NA
k121_812023	1042	No terminal repeats	3	11	0.8937	0.0114	1	1.5996	T_virB3	NA
k121_1524604	3522	No terminal repeats	6	11	0.8901	0.0123	1	2.1154	NA	NA
k121_1498842	1654	No terminal repeats	3	11	0.8878	0.0132	3	3.0226	t4cp1;G_tfc5;T_virB1	NA
k121_1024275	1219	No terminal repeats	3	11	0.8782	0.0142	2	2.5409	T_virB3	NA
k121_217002	4440	No terminal repeats	8	11	0.8577	0.0154	1	3.7973	NA	NA
