,ID,Length,Coverage,# ORFs,RDS,Circular,Inc Type(s),# Replication,# Mobilization,# OriT,# Conjugation,# AMRs,# rRNAs,# Plasmid Hits
10,k121_674432,31886,,33,0.0,no,0,0,1,0,1,0,0,0
11,k121_2126796,29601,,33,0.0,no,0,0,1,0,0,0,0,0
33,k121_677901,7847,,7,0.0,no,0,0,1,0,0,0,0,0
156,k121_2783220,4379,,8,0.1,yes,0,0,0,0,0,0,0,0
168,k121_1580704,4049,,2,0.9,no,0,0,0,0,0,0,0,1
273,k121_1918604,2599,,1,0.1,no,0,0,0,0,0,0,0,1
340,k121_92076,2213,,2,26.9,no,0,0,0,0,0,0,0,1
383,k121_452666,2035,,1,0.0,yes,0,0,0,0,0,1,0,0
522,k121_1486921,1612,,1,1.4,no,0,1,0,0,0,0,0,1
579,k121_2538101,1488,,3,1.4,no,0,0,0,0,0,0,0,1
592,k121_645834,1463,,1,0.1,no,0,0,0,0,0,0,0,1
616,k121_1583525,1406,,1,0.0,no,0,1,0,0,0,0,0,0
682,k121_569365,1286,,1,0.8,no,0,0,0,0,0,0,0,0
705,k121_879913,1236,,2,0.2,no,0,0,0,0,0,0,0,1
714,k121_1741189,1227,,1,0.1,no,0,0,0,0,0,0,0,1
