gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
k121_2262732_1	3	1379	1377	1	0.742	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2262732_2	1376	2461	1086	1	0.750	11	GGAG/GAGG	GENOMAD.160884.CP	7.794e-28	119	0	0	0	1	NA	NA	NA	PF05940;K07234;COG3213;TIGR02891	NnrS protein
k121_2262732_3	2420	2866	447	-1	0.718	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_870526_1	3	788	786	1	0.637	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_870526_2	1158	2690	1533	1	0.687	11	None	GENOMAD.219705.VP	5.05e-07	55	0	0	0	1	NA	NA	NA	PF01446;COG5655	Plasmid rolling circle replication initiator protein REP and truncated derivatives
k121_870526_3	3034	3183	150	1	0.587	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1827832_1	3	1523	1521	-1	0.440	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1827832_2	1656	2285	630	-1	0.433	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1827832_3	2423	2773	351	-1	0.353	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1827832_4	2826	2999	174	-1	0.310	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_435646_1	2	730	729	1	0.608	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_435646_2	783	953	171	-1	0.655	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_435646_3	1151	2425	1275	1	0.647	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_435646_4	2377	2502	126	-1	0.667	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_435827_1	1	195	195	1	0.564	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_435827_2	245	1363	1119	-1	0.540	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_435827_3	1360	3159	1800	-1	0.571	11	AGGAG	GENOMAD.005978.CC	2.315e-09	63	0	0	0	1	NA	T_virB11	NA	PF00437;PF05810;K07332;TIGR03819;COG4962	helicase/secretion neighborhood ATPase
k121_435827_4	3159	3614	456	-1	0.544	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_435827_5	3604	4836	1233	-1	0.517	11	GGA/GAG/AGG	GENOMAD.100081.PC	6.734e-11	67	0	0	0	1	NA	NA	NA	PF06864	Pilin accessory protein (PilO)
