seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k121_558602	4239	DTR	5	11	0.9991	0.0009	2	5.5885	NA	NA
k121_449410	1655	No terminal repeats	2	11	0.9990	0.0010	1	2.2156	NA	NA
k121_1064728	4597	No terminal repeats	4	11	0.9990	0.0010	2	2.6164	NA	NA
k121_891292	4192	No terminal repeats	6	11	0.9990	0.0010	1	2.4914	MOBP1	NA
k121_171815	2809	No terminal repeats	3	11	0.9990	0.0010	1	2.9339	NA	NA
k121_1221454	1401	No terminal repeats	3	11	0.9990	0.0010	1	2.7705	NA	NA
k121_52176	1757	DTR	1	11	0.9990	0.0010	1	1.6987	NA	NA
k121_1582714	5644	No terminal repeats	9	11	0.9990	0.0010	1	5.3173	G_tfc2	NA
k121_421086	2509	No terminal repeats	6	11	0.9990	0.0010	2	3.2618	MOBQ	NA
k121_342389	3893	No terminal repeats	5	11	0.9989	0.0010	3	4.4089	T_virB2;virb4	NA
k121_459520	2682	No terminal repeats	3	11	0.9989	0.0010	1	3.0041	NA	NA
k121_427068	7765	No terminal repeats	7	11	0.9989	0.0010	1	2.5812	MOBC	NA
k121_167106	4610	No terminal repeats	5	11	0.9989	0.0010	1	1.8494	NA	NA
k121_1386374	1402	No terminal repeats	2	11	0.9989	0.0010	1	2.5047	NA	NA
k121_151378	2913	No terminal repeats	2	11	0.9988	0.0010	1	1.7134	NA	NA
k121_1502976	3611	No terminal repeats	5	11	0.9988	0.0010	2	2.6906	virb4	NA
k121_1278724	1484	No terminal repeats	2	11	0.9988	0.0011	1	1.6987	NA	NA
k121_677733	1253	No terminal repeats	4	11	0.9987	0.0011	3	4.9288	F_traL;F_traE	NA
k121_1382879	30899	No terminal repeats	33	11	0.9987	0.0011	2	4.0439	NA	NA
k121_927933	1329	No terminal repeats	2	11	0.9986	0.0011	2	2.5200	virb4;T_virB5	NA
k121_355828	1489	No terminal repeats	2	11	0.9985	0.0011	1	2.2176	F_traV	NA
k121_340222	2032	No terminal repeats	3	11	0.9985	0.0011	3	4.0566	T_virB6;T_virB5;T_virB8	NA
k121_36559	1149	No terminal repeats	3	11	0.9985	0.0011	1	1.5996	T_virB3	NA
k121_32118	1770	No terminal repeats	4	11	0.9984	0.0012	3	4.7049	F_traK;F_traE;F_traL	NA
k121_1199287	1593	No terminal repeats	3	11	0.9983	0.0012	2	3.4366	T_virB2;T_virB2	NA
k121_610373	1106	No terminal repeats	3	11	0.9983	0.0012	1	1.7183	NA	NA
k121_112104	6659	No terminal repeats	10	11	0.9981	0.0012	1	1.7183	NA	NA
k121_12678	2373	No terminal repeats	3	11	0.9978	0.0013	1	2.7381	NA	NA
k121_570790	1437	No terminal repeats	1	11	0.9977	0.0013	1	1.6689	NA	NA
k121_745250	1527	No terminal repeats	2	11	0.9973	0.0014	1	2.8711	F_trbC	NA
k121_1245227	1439	No terminal repeats	4	11	0.9969	0.0014	3	5.3304	F_traW;F_traU	NA
k121_758245	1570	No terminal repeats	3	11	0.9947	0.0015	2	1.9939	T_virB8;T_virB9	NA
k121_1608038	1172	No terminal repeats	1	11	0.9939	0.0017	1	1.5023	NA	NA
k121_1161035	1396	No terminal repeats	2	11	0.9937	0.0018	2	2.2079	T_virB8;T_virB9	NA
k121_239884	1365	No terminal repeats	2	11	0.9898	0.0020	1	1.7183	MOBC	NA
k121_1233471	1363	No terminal repeats	3	11	0.9887	0.0023	2	2.9639	NA	NA
k121_975724	1717	No terminal repeats	2	11	0.9884	0.0026	1	1.9820	T_virB10	NA
k121_259209	15629	No terminal repeats	16	11	0.9872	0.0028	1	3.6102	NA	NA
k121_834076	1787	No terminal repeats	3	11	0.9841	0.0032	1	1.7183	NA	NA
k121_1072494	1301	No terminal repeats	2	11	0.9812	0.0035	2	2.3861	T_virB6;T_virB8	NA
k121_58630	1873	No terminal repeats	2	11	0.9776	0.0040	2	1.9813	T_virB8;T_virB9	NA
k121_562312	1486	No terminal repeats	4	11	0.9767	0.0045	1	2.1806	NA	NA
k121_846026	1411	No terminal repeats	4	11	0.9469	0.0056	1	2.0800	NA	NA
k121_1028405	1151	No terminal repeats	3	11	0.9424	0.0068	1	2.1825	NA	NA
k121_462132	2122	No terminal repeats	3	11	0.9322	0.0081	2	2.1795	T_virB9;T_virB8	NA
k121_179739	1097	No terminal repeats	4	11	0.9073	0.0100	1	2.4385	NA	NA
k121_1179443	1691	No terminal repeats	4	11	0.8329	0.0133	1	1.9820	T_virB10	NA
k121_1097059	1477	No terminal repeats	3	11	0.8224	0.0167	1	2.2753	NA	NA
