gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
k121_791528_1	2	421	420	-1	0.652	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_791528_2	579	881	303	1	0.627	11	AGGAG	GENOMAD.138269.PC	1.408e-16	76	0	0	0	1	NA	NA	NA	PF03693;COG3609;TIGR02384	Transcriptional regulator, contains Arc/MetJ-type RHH (ribbon-helix-helix) DNA-binding domain
k121_791528_3	878	1132	255	1	0.600	11	None	GENOMAD.142672.PC	4.992e-20	85	0	1	0	1	NA	NA	NA	PF05016;COG3668;TIGR02385	Plasmid stabilization system protein ParE
k121_1082359_1	3	467	465	1	0.600	11	None	GENOMAD.099854.PC	1.385e-12	67	0	1	0	1	NA	F_traV	NA	K12064	NA
k121_1082359_2	600	905	306	1	0.601	11	GGA/GAG/AGG	GENOMAD.104248.PC	8.168e-07	48	0	1	0	1	NA	NA	NA	PF04956;K12069;COG3838	NA
k121_1082359_3	987	1304	318	1	0.550	11	None	GENOMAD.100869.PC	4.25e-07	49	0	1	0	1	NA	virb4	NA	PF11130;K12063;TIGR02746;COG3451	TraC protein
k121_3569_1	1	1194	1194	-1	0.510	11	3Base/5BMM	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_3569_2	1191	1808	618	-1	0.561	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_3569_3	2026	2958	933	1	0.522	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_3569_4	3078	3368	291	-1	0.522	11	GGA/GAG/AGG	GENOMAD.195688.PC	7.342e-37	134	0	0	0	1	NA	NA	NA	NA	NA
k121_3569_5	3478	4113	636	-1	0.569	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_3569_6	4122	4736	615	-1	0.519	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_3569_7	4765	5706	942	-1	0.549	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_3569_8	5721	6119	399	-1	0.529	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_3569_9	6522	6836	315	1	0.581	11	GGAG/GAGG	GENOMAD.138269.PC	1.376e-10	59	0	0	0	1	NA	NA	NA	PF03693;COG3609;TIGR02384	Transcriptional regulator, contains Arc/MetJ-type RHH (ribbon-helix-helix) DNA-binding domain
k121_3569_10	6882	7142	261	1	0.590	11	GGA/GAG/AGG	GENOMAD.142672.PC	1.363e-18	81	0	1	0	1	NA	NA	NA	PF05016;COG3668;TIGR02385	Plasmid stabilization system protein ParE
k121_3569_11	7149	7364	216	-1	0.634	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_3569_12	7476	8357	882	-1	0.637	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_3569_13	8405	9265	861	-1	0.591	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_3569_14	9362	10138	777	-1	0.624	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_3569_15	10181	10834	654	-1	0.578	11	GGAG/GAGG	GENOMAD.160341.CP	6.378e-79	262	0	0	0	1	NA	NA	NA	PF00581;TIGR03865;COG2897;K01013	PQQ-dependent catabolism-associated CXXCW motif protein
k121_3569_16	11087	11758	672	1	0.624	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1227017_1	3	221	219	1	0.566	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
