ID	Length	Coverage	# ORFs	RDS	Circular	Inc Type(s)	# Replication	# Mobilization	# OriT	# Conjugation	# AMRs	# rRNAs	# Plasmid Hits
k121_1736483	344397	NA	407	0.0	yes	0	0	0	0	0	0	0	0
k121_1353487	96385	NA	124	0.0	yes	0	0	0	0	0	0	0	0
k121_1250579	70166	NA	71	0.0	yes	0	0	0	0	0	0	0	0
k121_837718	67483	NA	78	0.0	yes	0	0	0	0	0	0	0	0
k121_62313	61416	NA	73	0.0	yes	0	0	0	0	0	0	0	0
k121_2248546	57040	NA	69	0.0	yes	0	0	0	0	0	0	0	0
k121_640830	55429	NA	62	0.0	yes	0	0	0	0	0	0	0	0
k121_2248709	54432	NA	65	0.0	yes	0	0	0	0	0	0	0	0
k121_2248572	41070	NA	50	0.0	yes	0	0	0	0	0	0	0	0
k121_1827373	40428	NA	57	0.0	yes	0	0	0	0	0	0	0	0
k121_691440	39546	NA	45	0.0	yes	0	0	0	0	0	0	0	0
k121_1356765	38642	NA	53	0.0	yes	0	0	0	0	0	0	0	0
k121_18825	37150	NA	53	0.0	yes	0	0	0	0	0	0	0	0
k121_1209109	36403	NA	50	0.0	yes	0	0	0	0	0	0	0	0
k121_765665	35989	NA	54	0.0	yes	0	0	0	0	0	0	0	0
k121_678166	35907	NA	52	0.0	yes	0	0	0	0	0	0	0	0
k121_106278	34822	NA	57	0.0	yes	0	0	0	0	0	0	0	0
k121_327708	34435	NA	54	0.0	yes	0	0	0	0	0	0	0	0
k121_2248563	34286	NA	55	0.0	yes	0	0	0	0	0	0	0	0
k121_720915	33953	NA	51	0.0	yes	0	0	0	0	0	0	0	0
k121_918881	33907	NA	50	0.0	yes	0	0	0	0	0	0	0	0
k121_835995	33246	NA	41	0.0	yes	0	0	0	0	0	0	0	0
k121_1358951	32941	NA	50	0.0	yes	0	0	0	0	0	0	0	0
k121_1148061	32416	NA	26	0.0	yes	0	0	0	0	0	0	0	0
k121_2248926	27655	NA	36	0.0	yes	0	0	0	0	0	0	0	0
k121_243203	24470	NA	39	0.0	yes	0	0	0	0	0	0	0	0
