gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
k121_2381612_1	283	501	219	1	0.726	11	GGA/GAG/AGG	GENOMAD.113435.PC	1.239e-13	66	0	1	0	1	NA	F_traV	NA	K12064;TIGR02747	type IV conjugative transfer system lipoprotein TraV
k121_2381612_2	503	1573	1071	1	0.700	11	GGA/GAG/AGG	GENOMAD.100869.PC	7.155e-32	131	0	1	0	1	NA	virb4	NA	PF11130;K12063;TIGR02746;COG3451	TraC protein
k121_2256792_1	2	118	117	1	0.667	11	None	GENOMAD.109397.PC	2.207e-14	66	0	1	0	1	NA	NA	NA	COG3838;K20528	Type IV secretory pathway, VirB2 components (pilins)
k121_2256792_2	73	282	210	-1	0.667	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2256792_3	332	622	291	1	0.698	11	GGAG/GAGG	GENOMAD.078260.PC	2.544e-24	98	0	1	0	1	NA	F_traL	NA	PF07178;K12068;TIGR02762	type IV conjugative transfer system protein TraL
k121_2256792_4	633	1091	459	1	0.715	11	GGAG/GAGG	GENOMAD.092876.PC	1.313e-31	122	0	1	0	1	NA	F_traE	NA	PF05309;K12067;TIGR02761	type IV conjugative transfer system protein TraE
k121_316420_1	3	1076	1074	1	0.654	11	None	GENOMAD.086798.PP	0.000339	45	0	1	0	1	NA	NA	NA	PF11740	Plasmid replication region DNA-binding N-term
k121_1694442_1	3	674	672	1	0.638	11	None	GENOMAD.168147.PC	1.76e-14	75	0	0	0	1	NA	NA	NA	PF06779;TIGR00710;K08174;COG0738	drug resistance transporter, Bcr/CflA subfamily
k121_1694442_2	695	919	225	-1	0.551	11	GGAG/GAGG	GENOMAD.096155.PP	3.045e-13	65	0	1	0	1	NA	NA	NA	PF19807;COG4691;TIGR04563	Plasmid stability protein
k121_1694442_3	1038	2066	1029	-1	0.595	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1132020_1	3	533	531	-1	0.365	11	TAAAAA	GENOMAD.107125.PC	2.869e-10	61	0	1	0	1	NA	MOBP1	NA	PF03432;COG3843	Relaxase/Mobilisation nuclease domain
k121_1132020_2	530	931	402	-1	0.346	11	AAAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1132020_3	928	1242	315	-1	0.359	11	TATAA	GENOMAD.095838.PP	9.194e-15	71	0	1	0	1	NA	NA	NA	PF07328;COG4453	T-DNA border endonuclease VirD1
k121_2197794_1	3	221	219	1	0.283	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2197794_2	437	1426	990	1	0.285	11	AAAA	GENOMAD.060735.PP	8.213e-06	50	0	1	0	1	NA	NA	NA	PF01446	NA
k121_456842_1	1	309	309	-1	0.362	11	GGA/GAG/AGG	GENOMAD.112644.PC	4.553e-21	89	0	1	0	1	NA	T_virB9	NA	PF03524;K03204;TIGR02781;COG3504	P-type conjugative transfer protein VirB9
k121_456842_2	296	1030	735	-1	0.347	11	None	GENOMAD.109975.PC	5.677e-36	139	0	1	0	1	NA	T_virB8	NA	PF04335;COG3736;K12081;TIGR03781	Type IV secretory pathway, component VirB8
k121_460809_1	1	261	261	1	0.701	11	None	GENOMAD.113241.PC	1.464e-10	58	0	1	0	1	NA	NA	NA	PF19456	MobI protein
k121_460809_2	485	1075	591	1	0.731	11	None	GENOMAD.108229.PC	8.367e-66	223	0	1	0	1	NA	MOBH	NA	PF07514;K12070;TIGR03760	Putative helicase
k121_1711852_1	169	942	774	1	0.541	11	GGA/GAG/AGG	GENOMAD.046829.PP	2.031e-05	48	0	0	0	1	NA	NA	NA	PF10609;TIGR03371;COG2894;K12055	cellulose synthase operon protein YhjQ
k121_1711852_2	939	1559	621	1	0.601	11	None	GENOMAD.179226.PC	3.884e-22	97	0	0	0	1	NA	NA	NA	PF06821;K07002;COG3545;TIGR02240	Serine hydrolase
k121_1711852_3	1549	2499	951	1	0.560	11	None	GENOMAD.138275.PV	7.572e-06	50	0	1	0	1	NA	NA	NA	PF07506;PF02195;TIGR03454;COG1475;K03497	plasmid partitioning protein RepB
k121_1459955_1	2	277	276	1	0.721	11	None	GENOMAD.092693.PC	2.666e-29	112	0	1	0	1	NA	F_traW	NA	PF09673;K12061;TIGR02743	type-F conjugative transfer system protein TraW
k121_1459955_2	274	1293	1020	1	0.706	11	GGAGG	GENOMAD.093442.PC	5.354e-74	254	0	1	0	1	NA	F_traU	NA	PF06834;K12060;TIGR03756	TraU protein
k121_1459955_3	1271	1627	357	1	0.703	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
