,ID,Length,Coverage,# ORFs,RDS,Circular,Inc Type(s),# Replication,# Mobilization,# OriT,# Conjugation,# AMRs,# rRNAs,# Plasmid Hits
16,k121_511902,22416,,20,0.0,no,0,1,0,0,0,0,0,0
17,k121_1361585,18194,,12,0.0,no,0,0,1,0,0,0,0,0
19,k121_1066486,13307,,11,0.0,no,0,1,0,0,0,0,0,0
20,k121_369460,12402,,6,0.0,no,0,1,0,0,0,0,0,0
26,k121_958785,7517,,8,0.0,no,0,0,1,0,0,0,0,0
32,k121_1368906,3555,,5,0.0,yes,0,0,1,0,0,0,0,0
34,k121_438947,3288,,3,0.1,no,0,0,0,0,0,0,0,1
37,k121_931551,2701,,2,0.1,no,0,0,0,0,0,0,0,1
45,k121_921635,2184,,1,0.1,no,0,0,0,0,0,0,0,1
46,k121_439791,2168,,1,0.1,no,0,0,0,0,0,0,0,1
47,k121_482725,2158,,2,0.1,no,0,0,0,0,0,0,0,1
49,k121_1163396,1872,,1,0.1,no,0,0,0,0,0,0,0,1
59,k121_1085506,1605,,2,0.1,no,0,0,0,0,0,0,0,1
72,k121_1243954,1283,,1,0.1,no,0,0,0,0,0,0,0,1
79,k121_693773,1252,,1,0.6,no,0,0,0,0,0,0,0,1
89,k121_287437,1206,,1,0.0,no,0,0,1,0,0,0,0,0
90,k121_1306639,1201,,1,0.1,no,0,0,0,0,0,0,0,1
95,k121_468831,1163,,1,0.6,no,0,0,0,0,0,0,0,1
109,k121_785745,1070,,2,0.9,no,0,0,0,0,0,0,0,1
