gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
k121_38195_1	2	649	648	1	0.627	11	None	GENOMAD.126782.PC	1.287e-18	87	0	1	0	1	NA	NA	NA	PF14319;COG5655	Transposase zinc-binding domain
k121_38195_2	703	1470	768	1	0.607	11	None	GENOMAD.147014.PC	9.265e-34	133	0	0	0	1	NA	NA	NA	PF13546;COG5659	SRSO17 transposase
k121_1318114_1	2	250	249	-1	0.293	11	GGA/GAG/AGG	GENOMAD.182350.PV	7.867e-15	70	0	0	0	1	NA	NA	NA	PF19157	NA
k121_1318114_2	214	1170	957	-1	0.345	11	AGGAG	GENOMAD.121777.PV	4.582e-40	154	0	1	0	8016	Inoviridae	NA	NA	PF01446;COG5655	Replication protein
k121_1318114_3	1448	2485	1038	-1	0.319	11	None	GENOMAD.196722.PV	7.25e-16	82	0	0	0	2561	Caudoviricetes	MOBV	NA	PF01076	Plasmid recombination enzyme
k121_264865_1	1	1089	1089	1	0.498	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_264865_2	1108	2496	1389	1	0.503	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_264865_3	2641	3267	627	1	0.514	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_264865_4	3264	3557	294	1	0.408	11	GGAG/GAGG	GENOMAD.039412.PP	1.374e-15	73	0	0	0	1	NA	NA	NA	NA	NA
k121_264865_5	4474	5439	966	-1	0.480	11	AGGAG	GENOMAD.031536.PP	0.0001378	46	0	1	0	1	NA	NA	NA	PF06504;COG5534	Replication protein C (RepC)
k121_264865_6	5634	5921	288	1	0.514	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1432127_1	58	552	495	1	0.630	11	GGAGG	GENOMAD.181088.PC	1.146e-29	117	0	0	0	1	NA	NA	NA	PF00866;K16320;TIGR03232;COG5517	benzoate 1,2-dioxygenase, small subunit
k121_1432127_2	570	887	318	1	0.676	11	GGA/GAG/AGG	GENOMAD.143067.CP	2.291e-29	113	0	0	0	1	NA	NA	NA	PF13806;K14578;COG2146;TIGR02377	Ferredoxin subunit of nitrite reductase or a ring-hydroxylating dioxygenase
k121_1432127_3	963	1736	774	-1	0.655	11	AGGAG	GENOMAD.154777.CP	7.894e-78	261	0	0	0	1	NA	NA	NA	PF18029;PF19581;K06996;TIGR03213;COG2514	2,3-dihydroxybiphenyl 1,2-dioxygenase
k121_1432127_4	1850	2824	975	-1	0.672	11	GGAG/GAGG	GENOMAD.129311.CP	3.963e-12	70	0	0	0	1	NA	NA	NA	PF03401;K07795;COG3181;TIGR02122	Tripartite tricarboxylate transporter family receptor
k121_1432127_5	2852	3616	765	-1	0.695	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1432127_6	3669	4379	711	-1	0.675	11	None	GENOMAD.154265.CP	4.506e-09	59	0	0	0	1	NA	NA	NA	PF01557;K01557;COG0179;TIGR02303	2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase (catechol pathway)
k121_1432127_7	4393	5379	987	-1	0.687	11	GGA/GAG/AGG	GENOMAD.129311.CP	2.183e-13	74	0	0	0	1	NA	NA	NA	PF03401;K07795;COG3181;TIGR02122	Tripartite tricarboxylate transporter family receptor
k121_1432127_8	5450	6412	963	-1	0.712	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1432127_9	6510	7655	1146	1	0.705	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1432127_10	7660	8907	1248	1	0.700	11	None	GENOMAD.194173.PC	0.0002122	46	0	0	0	1	NA	NA	NA	PF00753;COG2248;TIGR04559;K20257	Metallo-beta-lactamase superfamily
k121_1432127_11	8904	10823	1920	1	0.701	11	None	GENOMAD.009563.PP	6.685e-14	78	0	0	0	1	NA	NA	NA	PF12482	Phage integrase protein
k121_1432127_12	10927	11220	294	-1	0.660	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1432127_13	12112	13455	1344	1	0.583	11	None	GENOMAD.152191.PV	5.079e-36	146	0	1	0	1	NA	NA	NA	PF01051;COG5527	Initiator Replication protein
k121_1432127_14	13530	14726	1197	1	0.615	11	None	GENOMAD.117308.PP	0.0004039	45	0	0	0	1	NA	NA	NA	COG2894;K03609	Septum formation inhibitor-activating ATPase MinD
k121_1432127_15	14729	15715	987	1	0.619	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1432127_16	15802	16896	1095	-1	0.655	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1432127_17	17627	18052	426	1	0.697	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1321852_1	134	442	309	1	0.566	11	None	GENOMAD.147419.PV	5.598e-19	83	0	1	0	1	NA	NA	NA	PF19514	MobC-like protein
k121_1321852_2	483	1778	1296	1	0.532	11	None	GENOMAD.074304.PP	3.686e-11	68	0	1	0	1	NA	MOBP1	NA	PF03432;PF18821	Relaxase/Mobilisation nuclease domain; Large polyvalent protein-associated domain 7
k121_1321852_3	2025	2618	594	-1	0.471	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1321852_4	2618	3082	465	-1	0.482	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1321852_5	3193	3330	138	-1	0.435	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_117503_1	2	412	411	1	0.630	11	None	GENOMAD.084811.PC	4.85e-27	108	0	1	0	1	NA	F_traF	NA	PF13728;K12057;TIGR02739;COG0386	type-F conjugative transfer system pilin assembly protein TraF
k121_117503_2	422	1234	813	1	0.631	11	AGGAG	GENOMAD.092909.PC	1.672e-55	197	0	1	0	1	NA	F_traH	NA	K12072	NA
k121_1435678_1	2	196	195	-1	0.605	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1435678_2	549	875	327	1	0.697	11	GGAG/GAGG	GENOMAD.034769.PP	1.92e-40	145	0	1	0	1	NA	NA	NA	K12069;COG3838	NA
k121_1435678_3	903	1043	141	1	0.617	11	GGAGG	GENOMAD.059201.PP	5.425e-24	94	0	1	0	1	NA	F_traL	NA	PF07178;K12068;TIGR02762	type IV conjugative transfer system protein TraL
