gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
k121_363772_1	1	1098	1098	1	0.608	11	None	GENOMAD.159055.PC	4.896e-06	51	0	1	0	1	NA	NA	NA	PF03432	Relaxase/Mobilisation nuclease domain
k121_980347_1	233	1486	1254	1	0.664	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_980347_2	1483	2430	948	1	0.648	11	GGAG/GAGG	GENOMAD.161875.PV	0.000558	44	0	0	0	1	NA	NA	NA	PF16795;PF02899;TIGR02224;COG4973;K03733	tyrosine recombinase XerC
k121_980347_3	2427	3446	1020	1	0.625	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_183282_1	2	850	849	1	0.601	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_183282_2	945	2132	1188	1	0.643	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_183282_3	2201	2701	501	1	0.565	11	AGxAGG/AGGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_183282_4	2867	4069	1203	1	0.628	11	GGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1342973_1	406	2451	2046	1	0.626	11	GGAG/GAGG	GENOMAD.183275.CP	2.003e-22	106	0	0	0	1	NA	NA	NA	PF14905;PF07715;TIGR01776;K16091;COG4206	TonB-dependent lactoferrin and transferrin receptors
k121_1342973_2	2451	3269	819	1	0.712	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1342973_3	3266	4264	999	1	0.704	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1342973_4	4257	5039	783	1	0.700	11	AGxAGG/AGGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1342973_5	5250	6164	915	-1	0.679	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1342973_6	6176	6625	450	-1	0.669	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1343275_1	189	407	219	-1	0.639	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1343275_2	480	728	249	-1	0.663	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1343275_3	744	1001	258	1	0.643	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1343275_4	1020	2120	1101	1	0.635	11	None	GENOMAD.178418.PC	1.382e-07	56	0	0	0	1	NA	NA	NA	PF14319;COG1996;TIGR02605	Transposase zinc-binding domain
k121_1343275_5	2495	2944	450	-1	0.396	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_184002_1	1	1011	1011	-1	0.634	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_184002_2	1119	2009	891	-1	0.622	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_184002_3	2014	2436	423	-1	0.664	11	GGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_184002_4	2433	2864	432	-1	0.704	11	AGGA	GENOMAD.179551.PC	1.321e-18	84	0	0	0	1	NA	NA	NA	PF04273;TIGR01244;COG3453	TIGR01244 family protein
k121_184002_5	2869	4647	1779	-1	0.671	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_184002_6	4681	5088	408	-1	0.623	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1343673_1	1	189	189	-1	0.540	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1343673_2	189	920	732	-1	0.560	11	AGGA/GGAG/GAGG	GENOMAD.153706.CP	1.208e-11	67	0	0	0	1	NA	NA	NA	PF13022;PF08359;TIGR03384;COG3226;K02167	transcriptional repressor BetI
k121_1343673_3	901	1782	882	-1	0.565	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1343673_4	1779	2975	1197	-1	0.576	11	GGAG/GAGG	GENOMAD.171602.PC	7.989e-08	57	0	0	0	1	NA	NA	NA	PF05834;COG0654;TIGR01989;K21401	2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases
k121_1343673_5	2991	3743	753	-1	0.560	11	None	GENOMAD.196152.PC	0.0001702	45	0	0	0	1	NA	NA	NA	PF06249;TIGR02272;COG4766	gentisate 1,2-dioxygenase
k121_1161783_1	863	2674	1812	-1	0.262	4	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
