gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
k121_1834373_1	3	194	192	1	0.667	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1834373_2	211	669	459	1	0.704	11	GGAG/GAGG	GENOMAD.060312.PP	1.922e-44	159	0	1	0	1	NA	NA	NA	PF09677;TIGR02744	type-F conjugative transfer system protein TrbI
k121_1834373_3	666	1208	543	1	0.685	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1834373_4	1218	1628	411	1	0.684	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1834373_5	1604	2011	408	1	0.676	11	GGA/GAG/AGG	GENOMAD.092544.PC	1.76e-11	63	0	1	0	1	NA	F_traW	NA	K12061;TIGR02743	type-F conjugative transfer system protein TraW
k121_1943517_1	2	424	423	-1	0.660	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1943517_2	429	704	276	-1	0.688	11	GGAG/GAGG	GENOMAD.127310.PC	1.289e-36	133	0	1	0	1	NA	T_virB3	NA	PF05101;COG5268;K03198	Type IV secretory pathway, TrbD component
k121_1943517_3	704	1036	333	-1	0.646	11	AGGAG	GENOMAD.116477.PC	4.238e-49	170	0	1	0	1	NA	T_virB2	NA	PF04956;K20528;COG3838	Type IV secretory pathway, VirB2 components (pilins)
k121_1943517_4	1033	1113	81	-1	0.617	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_3993829_1	3	1961	1959	-1	0.651	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_3993829_2	1966	2241	276	-1	0.663	11	None	GENOMAD.127310.PC	1.289e-36	133	0	1	0	1	NA	T_virB3	NA	PF05101;COG5268;K03198	Type IV secretory pathway, TrbD component
k121_3993829_3	2241	2378	138	-1	0.667	11	None	GENOMAD.116477.PC	1.286e-22	90	0	1	0	1	NA	T_virB2	NA	PF04956;K20528;COG3838	Type IV secretory pathway, VirB2 components (pilins)
k121_3131111_1	14	316	303	-1	0.607	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_3131111_2	377	1231	855	-1	0.637	11	None	GENOMAD.095034.PC	7.573e-08	56	0	0	0	1	NA	NA	NA	PF10671	Toxin co-regulated pilus biosynthesis protein Q
