,ID,Length,Coverage,# ORFs,RDS,Circular,Inc Type(s),# Replication,# Mobilization,# OriT,# Conjugation,# AMRs,# rRNAs,# Plasmid Hits
8,k121_1587350,16338,,22,0.0,no,0,0,1,0,0,0,0,0
11,k121_89629,9866,,10,0.0,no,0,0,1,0,0,0,0,0
12,k121_1513523,8740,,11,0.2,no,0,0,0,0,0,0,0,1
15,k121_1630785,6330,,7,0.0,no,0,1,0,0,0,0,0,0
17,k121_139993,5582,,5,0.3,no,0,0,0,0,0,0,0,1
19,k121_813872,4685,,6,0.1,no,0,0,0,0,0,0,0,1
21,k121_172937,4638,,3,0.8,no,0,0,0,0,0,0,0,1
23,k121_2126145,4511,,7,0.2,no,0,0,0,0,0,0,0,1
26,k121_1898129,4315,,3,0.2,no,0,0,0,0,0,0,0,1
27,k121_1935692,4156,,5,0.0,no,0,1,0,0,0,0,0,0
30,k121_2202464,4011,,4,0.0,yes,0,0,1,0,0,0,0,0
32,k121_298244,3939,,5,0.2,no,0,0,0,0,0,0,0,1
36,k121_875398,3625,,4,0.2,no,0,0,0,0,0,0,0,1
37,k121_583929,3620,,4,0.4,no,0,0,0,0,0,0,0,1
40,k121_901523,3521,,7,7.8,no,0,0,0,0,0,0,0,1
42,k121_826280,3388,,2,1.5,no,0,0,0,0,0,0,0,1
44,k121_779108,3205,,1,1.7,no,0,0,0,0,0,0,0,1
47,k121_1123184,3104,,5,0.0,no,0,0,1,0,0,0,0,0
49,k121_1224757,2944,,4,0.2,no,0,0,0,0,0,0,0,1
51,k121_534364,2902,,4,0.0,no,0,0,1,0,0,0,0,0
52,k121_17247,2849,,4,0.1,no,0,0,0,0,0,1,0,1
54,k121_1949466,2829,,4,14.8,no,0,0,0,0,0,3,0,1
58,k121_70120,2519,,2,0.0,no,0,1,0,0,0,0,0,0
63,k121_1560627,2341,,2,0.0,no,0,1,0,0,0,0,0,0
69,k121_2168091,2150,,3,1.1,no,0,0,0,0,0,0,0,0
72,k121_2178898,2065,,3,0.1,no,0,0,0,0,0,0,0,1
75,k121_1644446,2052,,4,0.0,no,0,0,1,0,0,0,0,0
76,k121_2129086,2043,,3,0.2,no,0,0,0,0,0,0,0,1
81,k121_1416918,1919,,2,0.2,no,0,0,0,0,0,0,0,1
83,k121_698322,1898,,2,0.2,no,0,2,0,0,0,0,0,1
86,k121_1659825,1828,,2,0.7,no,0,1,0,0,0,0,0,1
87,k121_1206866,1823,,3,0.1,no,0,0,0,0,0,0,0,1
88,k121_291149,1804,,1,0.1,no,1,0,0,0,0,0,0,1
89,k121_342934,1798,,3,1.0,no,0,0,1,0,0,0,0,1
92,k121_478140,1747,,3,1.8,no,0,0,0,0,1,0,0,0
95,k121_1619530,1712,,2,0.0,no,0,1,0,0,0,0,0,1
97,k121_1806810,1708,,3,0.1,no,0,0,0,0,0,0,0,1
100,k121_1520441,1637,,1,13.8,no,0,0,0,0,0,0,0,1
104,k121_1047103,1597,,2,0.4,no,0,0,0,0,0,0,0,1
107,k121_1990146,1592,,2,0.0,no,0,1,0,0,0,0,0,0
108,k121_1035404,1590,,4,1.3,no,0,0,0,0,0,0,0,1
109,k121_35855,1576,,2,0.0,no,0,0,1,0,0,0,0,0
113,k121_280156,1482,,2,0.1,no,0,0,0,0,0,0,0,1
115,k121_523777,1456,,1,0.1,no,0,0,0,1,0,0,0,1
122,k121_2136551,1376,,1,0.1,no,0,0,0,0,0,0,0,1
123,k121_1424828,1371,,1,0.2,no,0,0,0,0,0,0,0,1
126,k121_256279,1343,,1,0.1,no,0,0,0,0,0,0,0,1
127,k121_1771103,1339,,1,0.9,no,0,0,0,0,0,0,0,0
130,k121_691371,1332,,1,0.0,no,0,0,1,0,0,0,0,0
131,k121_60219,1329,,2,0.2,no,0,0,0,0,0,0,0,1
132,k121_590396,1322,,2,0.6,no,0,0,0,0,0,0,0,1
134,k121_1016512,1302,,1,1.1,no,0,0,0,0,0,0,0,1
135,k121_580595,1301,,1,0.1,no,0,0,0,0,0,0,0,1
