,ID,Length,Coverage,# ORFs,RDS,Circular,Inc Type(s),# Replication,# Mobilization,# OriT,# Conjugation,# AMRs,# rRNAs,# Plasmid Hits
1,k121_1681842,104021,,110,0.0,no,0,0,1,0,2,2,0,0
2,k121_278461,102539,,93,0.0,no,0,0,1,0,0,0,0,0
3,k121_985543,91043,,87,-0.0,no,0,0,1,0,0,0,0,0
4,k121_561200,50958,,49,0.0,no,0,0,1,0,0,0,0,0
6,k121_1311298,47371,,42,0.0,no,0,0,1,0,1,0,0,0
7,k121_1051971,32275,,30,0.0,no,0,1,0,0,0,0,0,0
8,k121_1905972,29099,,29,-0.0,no,0,1,0,0,0,0,0,0
9,k121_201660,23415,,27,0.5,yes,0,3,1,0,0,3,0,0
11,k121_529429,18288,,14,1.8,no,0,0,0,0,1,0,0,1
12,k121_901573,17684,,10,2.1,no,0,0,0,0,0,0,0,1
13,k121_1536432,17570,,22,2.1,no,0,0,0,0,0,0,0,0
15,k121_1446313,17415,,10,0.0,no,0,1,0,0,0,0,0,0
16,k121_170845,16229,,17,0.0,no,0,1,1,0,0,0,0,0
17,k121_1442831,15478,,13,2.0,no,0,0,0,0,1,0,0,0
18,k121_911402,14432,,15,3.0,no,1,0,0,0,8,0,0,1
21,k121_669561,14143,,11,0.0,no,0,0,1,0,1,0,0,0
22,k121_1089913,13880,,9,2.1,no,0,0,0,0,0,0,0,1
23,k121_1049346,13527,,14,0.3,no,0,0,0,0,0,0,0,1
24,k121_1114639,12841,,16,-0.4,no,0,1,0,0,0,0,0,0
26,k121_100636,12523,,14,-0.6,no,0,1,0,0,0,0,0,0
27,k121_443125,12446,,12,0.0,no,0,0,1,0,0,0,0,0
28,k121_711324,11985,,13,2.6,no,0,0,1,1,3,0,0,1
29,k121_2491114,11718,,12,0.8,no,0,0,0,0,7,0,0,1
30,k121_2553004,11656,,14,1.4,no,0,1,0,0,0,6,0,0
31,k121_111736,11641,,4,0.0,no,0,0,1,0,1,0,0,0
33,k121_800964,10481,,12,2.0,no,0,0,0,0,0,0,0,1
34,k121_2018351,10455,,13,0.0,no,0,0,1,0,0,0,0,0
35,k121_2055388,10406,,11,0.0,no,0,1,0,0,0,0,0,0
36,k121_1452576,10294,,7,0.0,no,0,1,0,0,0,0,0,0
37,k121_261515,10230,,12,0.0,no,0,1,0,0,0,0,0,0
39,k121_462487,9970,,11,-0.9,no,0,0,1,0,0,0,0,0
41,k121_919694,9804,,5,0.3,no,0,0,0,0,0,0,0,1
42,k121_100566,9795,,14,0.7,no,0,0,0,0,0,0,0,1
43,k121_526126,9677,,10,1.2,no,0,0,0,0,0,0,0,1
44,k121_359557,9364,,8,0.0,no,0,1,0,0,0,0,0,0
45,k121_1541674,9344,,9,0.1,no,0,0,1,0,0,0,0,1
47,k121_2315557,9169,,7,0.3,no,1,0,1,0,0,0,0,0
48,k121_2390562,9088,,7,0.0,no,0,0,1,0,1,0,0,0
49,k121_826958,8892,,10,-0.0,no,0,1,0,0,0,0,0,0
52,k121_2587175,8150,,15,0.0,no,0,0,2,0,0,0,0,0
53,k121_2483221,8084,,10,0.1,no,0,0,1,0,0,0,0,0
