gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
k121_506841_1	3	479	477	1	0.604	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_506841_2	775	1080	306	1	0.542	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_506841_3	1068	1364	297	1	0.593	11	None	GENOMAD.147643.PC	5.603e-25	100	0	1	0	1	NA	NA	NA	PF05016;COG3668;TIGR02385	Plasmid stabilization system protein ParE
k121_63381_1	223	912	690	1	0.610	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_63381_2	1248	3551	2304	-1	0.667	11	GGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_63381_3	3548	4039	492	-1	0.632	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_63381_4	4036	4893	858	-1	0.683	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_63381_5	5079	6173	1095	1	0.612	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_63381_6	6562	8892	2331	1	0.630	11	None	GENOMAD.142574.CP	1.223e-18	94	0	0	0	1	NA	NA	NA	PF17674	HHH domain
k121_63381_7	9254	10315	1062	1	0.612	11	GGAGG	GENOMAD.133616.CP	1.086e-43	166	0	0	0	1	NA	NA	NA	PF13343;K02012;TIGR03261;COG4143	putative 2-aminoethylphosphonate ABC transporter, periplasmic 2-aminoethylphosphonate-binding protein
k121_63381_8	10384	12135	1752	1	0.619	11	GGAGG	GENOMAD.116612.CP	1.132e-21	103	0	0	0	1	NA	NA	NA	PF00528;K02063;TIGR01253;COG1178	thiamine ABC transporter, permease protein
k121_63381_9	12168	13052	885	1	0.638	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_63381_10	13082	13975	894	1	0.583	11	AGGAG	GENOMAD.154416.PC	3.97e-27	115	0	0	0	1	NA	NA	NA	PF00903;PF12681;K00446;TIGR03211;COG2514	catechol 2,3 dioxygenase
k121_63381_11	14103	15086	984	1	0.630	11	GGAG/GAGG	GENOMAD.214465.PC	7.117e-20	94	0	0	0	1	NA	NA	NA	PF13379;TIGR03427;K15553;COG2107	ABC transporter periplasmic binding protein, urea carboxylase region
k121_63381_12	15206	16381	1176	1	0.600	11	GGAG/GAGG	GENOMAD.119006.CP	7.18e-39	153	0	0	0	1	NA	NA	NA	PF13433;K01999;TIGR03407;COG0683	urea ABC transporter, urea binding protein
