ID	Length	Coverage	# ORFs	RDS	Circular	Inc Type(s)	# Replication	# Mobilization	# OriT	# Conjugation	# AMRs	# rRNAs	# Plasmid Hits
k121_154552	43827	NA	42	-0.0	no	0	0	1	0	1	0	0	0
k121_602214	36605	NA	29	0.0	no	0	1	0	0	0	0	0	0
k121_388955	30398	NA	24	-0.0	no	0	1	0	0	0	0	0	0
k121_2317741	23474	NA	32	0.0	yes	0	0	0	0	0	0	0	0
k121_843201	21418	NA	11	0.0	yes	0	0	0	0	0	0	0	0
k121_2317835	14896	NA	24	0.0	yes	0	0	0	0	0	0	0	0
k121_1120838	12062	NA	10	0.0	no	0	0	1	0	0	0	0	0
k121_159198	12013	NA	7	0.0	no	0	0	1	0	0	0	0	0
k121_1862912	11524	NA	10	0.0	no	0	0	1	0	1	0	0	0
k121_1069401	9763	NA	5	0.0	yes	0	0	0	0	0	0	2	0
k121_238733	9449	NA	9	0.0	no	0	0	1	0	0	0	0	0
k121_2216709	8016	NA	10	0.0	yes	0	0	1	0	0	0	0	0
k121_777177	7543	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_729200	6838	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_770899	6574	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_644897	6428	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_243002	6168	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_771812	5891	NA	8	0.0	yes	0	0	0	0	0	0	0	0
k121_148783	5870	NA	7	0.0	yes	0	0	0	0	0	0	0	0
k121_2317934	5707	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_932973	5372	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_292462	5371	NA	10	0.0	yes	0	0	0	0	0	0	0	0
k121_1590474	5277	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_2318531	5249	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_664987	5195	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_2318197	5188	NA	10	0.0	yes	0	0	0	0	0	0	0	0
k121_1629900	5066	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_2318162	5019	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_2319133	5017	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_2317831	4898	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_2223069	4815	NA	3	0.0	no	0	1	0	0	0	0	0	0
k121_2318578	4705	NA	7	0.0	yes	0	0	1	0	0	0	0	0
k121_2233055	4523	NA	5	-0.4	no	0	1	0	0	0	0	0	0
k121_2099788	4462	NA	5	0.0	no	0	0	1	0	0	0	0	0
k121_2003218	4389	NA	3	0.0	no	0	0	1	0	1	0	0	0
k121_1471778	4282	NA	7	0.0	yes	0	0	0	0	0	0	0	0
k121_1848538	4111	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1528436	4084	NA	0	0.0	yes	0	0	0	0	0	0	0	0
k121_1085246	4056	NA	3	0.0	no	0	0	1	0	1	0	0	0
k121_2317896	3972	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1119067	3951	NA	5	0.0	no	0	0	1	0	1	0	0	0
