ID	Length	Coverage	# ORFs	RDS	Circular	Inc Type(s)	# Replication	# Mobilization	# OriT	# Conjugation	# AMRs	# rRNAs	# Plasmid Hits
k121_630528	178203	NA	239	0.0	yes	0	0	0	0	0	0	0	0
k121_543178	109062	NA	156	0.0	yes	0	0	0	0	0	0	0	0
k121_323596	98482	NA	118	0.0	yes	0	0	0	0	0	0	0	0
k121_1666039	93875	NA	134	0.0	yes	0	0	0	0	0	0	0	0
k121_1666062	90083	NA	119	0.0	yes	0	0	0	0	0	0	0	0
k121_1666076	78746	NA	115	0.0	yes	0	0	0	0	0	0	0	0
k121_1666139	77888	NA	113	0.0	yes	0	0	0	0	0	0	0	0
k121_782927	64219	NA	87	0.0	yes	0	0	0	0	0	0	0	0
k121_1666060	56649	NA	69	0.0	yes	0	0	0	0	0	0	0	0
k121_1666027	51681	NA	66	0.0	yes	0	0	0	0	0	0	0	0
k121_1666041	49772	NA	64	0.0	yes	0	0	0	0	0	0	0	0
k121_1666046	49394	NA	73	0.0	yes	0	0	0	0	0	0	0	0
k121_1666054	48323	NA	64	0.0	yes	0	0	0	0	0	0	0	0
k121_1666048	45871	NA	57	0.0	yes	0	0	0	0	0	0	0	0
k121_34510	43629	NA	59	0.0	yes	0	0	0	0	0	0	0	0
k121_1666033	43232	NA	57	0.0	yes	0	0	0	0	0	0	0	0
k121_1666065	42983	NA	53	0.0	yes	0	0	0	0	0	0	0	0
k121_1361630	41468	NA	66	0.0	yes	0	0	0	0	0	0	0	0
k121_1666425	41337	NA	47	0.0	yes	0	0	0	0	0	0	0	0
k121_501396	40952	NA	49	0.0	yes	0	0	0	0	0	0	0	0
k121_1666034	40326	NA	47	0.0	yes	0	0	0	0	0	0	0	0
k121_626570	40181	NA	79	0.0	yes	0	0	0	0	0	0	0	0
k121_1438320	38823	NA	51	0.0	yes	0	0	0	0	0	0	0	0
k121_1666031	38758	NA	50	0.0	yes	0	0	0	0	0	0	0	0
k121_751801	38489	NA	57	0.0	yes	0	0	0	0	0	0	0	0
k121_1666052	37916	NA	49	0.0	yes	0	0	0	0	0	0	0	0
k121_404189	36521	NA	54	0.0	yes	0	0	0	0	0	0	0	0
k121_1666024	36192	NA	51	0.0	yes	0	0	0	0	0	0	0	0
k121_851464	35472	NA	56	0.0	yes	0	0	0	0	0	0	0	0
k121_114407	35172	NA	38	0.0	no	0	0	1	0	0	0	0	0
k121_1570966	35103	NA	38	0.0	yes	0	0	0	0	0	0	0	0
k121_655539	35029	NA	61	0.0	yes	0	0	0	0	0	0	0	0
k121_1666022	34378	NA	38	0.0	yes	0	0	0	0	0	0	0	0
k121_1666026	33668	NA	55	0.0	yes	0	0	0	0	0	0	0	0
k121_1178950	33344	NA	61	0.0	yes	0	0	0	0	0	0	0	0
k121_1219054	29978	NA	38	0.0	yes	0	0	0	0	0	0	0	0
k121_841411	24970	NA	29	0.0	no	0	0	1	0	0	0	0	0
k121_1666023	19537	NA	20	0.0	yes	0	0	0	0	0	0	0	0
k121_983321	18766	NA	17	0.0	no	0	0	1	0	0	0	0	0
k121_1180413	17262	NA	18	-0.6	no	0	1	0	0	0	0	0	0
k121_856374	17172	NA	16	0.0	no	0	1	0	0	0	0	0	0
k121_502890	15595	NA	17	0.0	no	0	0	1	0	0	0	0	0
k121_1666275	14133	NA	20	0.0	yes	0	0	0	0	0	0	0	0
k121_854690	12873	NA	14	0.0	no	0	1	0	0	0	0	0	0
k121_1666147	12220	NA	13	0.0	yes	0	0	0	0	0	0	0	0
k121_1297803	12159	NA	14	0.0	no	0	0	1	0	0	0	0	0
k121_433320	12088	NA	17	-0.0	no	0	1	0	0	2	0	0	0
k121_1666069	9618	NA	20	0.0	yes	0	0	0	0	0	0	0	0
k121_487764	8778	NA	7	0.0	no	0	1	0	0	0	0	0	0
k121_194154	8112	NA	10	0.0	no	0	1	0	0	0	0	0	0
k121_227554	7976	NA	7	0.0	no	0	0	1	0	0	0	0	0
k121_1626065	7637	NA	9	0.0	no	0	0	1	0	0	0	0	0
k121_1348939	7574	NA	5	0.0	no	0	1	0	0	0	0	0	0
k121_725722	7389	NA	6	0.0	no	0	1	0	0	0	0	0	0
k121_102337	7338	NA	8	0.0	no	0	0	1	0	0	0	0	0
k121_420530	7174	NA	7	0.0	no	0	1	0	0	0	0	0	0
k121_342891	6645	NA	5	0.0	no	0	0	1	0	0	0	0	0
k121_518506	6480	NA	7	-0.1	no	0	1	0	0	0	0	0	0
k121_1466502	6457	NA	7	0.0	no	0	0	1	0	0	0	0	0
k121_1666462	6404	NA	10	0.0	yes	0	0	0	0	0	0	0	0
k121_268093	6104	NA	6	0.0	no	0	0	1	0	0	0	0	0
k121_122176	5913	NA	8	0.0	no	0	0	1	0	0	0	0	0
k121_1666266	5331	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_886577	5301	NA	7	0.0	no	0	0	1	0	0	0	0	0
k121_1631190	5224	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_1666360	5202	NA	7	0.0	yes	0	0	0	0	0	0	0	0
k121_1666095	5108	NA	6	0.0	yes	0	0	1	0	0	0	0	0
k121_1318803	4979	NA	8	0.0	no	0	0	1	0	0	0	0	0
k121_567292	4879	NA	5	-0.1	no	0	1	0	0	0	0	0	0
k121_1036389	4615	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_1666284	4604	NA	7	0.0	yes	0	0	0	0	0	0	0	0
k121_1666169	4587	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_1666119	4585	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_628132	4286	NA	5	0.0	no	0	1	0	0	0	0	0	0
k121_1607032	4087	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_459552	4061	NA	6	0.0	no	0	0	1	0	0	0	0	0
k121_1666251	3790	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_1666395	3789	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_879769	3777	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1666082	3667	NA	7	0.0	yes	0	0	0	0	0	0	0	0
k121_1327688	3535	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_647878	3331	NA	3	0.0	no	0	0	1	0	0	0	0	1
k121_1034731	3283	NA	9	0.0	yes	0	0	0	0	0	0	0	0
k121_1452929	3242	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_662308	3237	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_628275	3117	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_1666051	3040	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1666137	3016	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_1037958	2978	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_1647885	2788	NA	7	0.0	yes	0	0	0	0	0	0	0	0
k121_1415466	2732	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_224807	2683	NA	3	0.0	no	0	0	1	0	0	0	0	0
k121_1252980	2680	NA	8	0.0	yes	0	0	0	0	0	0	0	0
k121_1504103	2605	NA	5	0.1	no	0	1	0	0	0	0	0	0
k121_649007	2570	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1668268	2536	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_1266000	2444	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1666066	2434	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_130579	2396	NA	2	0.0	no	0	1	0	0	0	0	0	0
k121_1073201	2393	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_638844	2362	NA	4	0.0	no	0	0	1	0	0	0	0	0
k121_1666030	2293	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_1666387	2292	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_220759	2235	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1667429	2215	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1669204	2200	NA	2	0.0	yes	0	0	0	0	0	0	1	0
k121_1068927	2122	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_695036	2079	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_552538	2038	NA	4	0.0	no	0	0	1	0	0	0	0	0
k121_151200	2026	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1666148	2022	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1667138	1996	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_363740	1863	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1666140	1853	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_924730	1819	NA	2	0.0	no	0	0	1	0	0	0	0	0
k121_1666994	1801	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1591508	1783	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1220446	1781	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_40003	1758	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1095914	1755	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_783816	1744	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_1666831	1684	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1286037	1675	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_560496	1653	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_1470436	1621	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_520931	1584	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_779450	1573	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_117083	1570	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1666230	1567	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1340699	1534	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_325	1510	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_576379	1504	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_192471	1499	NA	0	0.0	yes	0	0	0	0	0	0	0	0
k121_430754	1498	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1596062	1472	NA	1	0.0	no	0	0	1	0	0	0	0	0
k121_672029	1447	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_403716	1431	NA	1	0.0	no	0	1	0	0	0	0	0	0
k121_1164204	1429	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1666070	1403	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_12490	1402	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_57321	1393	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_654861	1375	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1666772	1366	NA	0	0.0	yes	0	0	0	0	0	0	0	0
k121_873879	1363	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1666727	1359	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_798335	1357	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1666902	1357	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1667336	1354	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_672164	1345	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_428208	1308	NA	0	0.0	yes	0	0	0	0	0	0	0	0
k121_1642170	1304	NA	1	0.0	no	0	0	1	0	0	0	0	0
k121_1666444	1297	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1595130	1288	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_432655	1288	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1666661	1288	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1309236	1285	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1666333	1285	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1666793	1267	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_1666098	1261	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1666463	1261	NA	0	0.0	yes	0	0	0	0	0	0	0	0
k121_1668141	1260	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_8813	1255	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1668062	1252	NA	1	0.0	yes	0	0	0	0	0	0	0	0
k121_896285	1249	NA	0	0.0	yes	0	0	0	0	0	0	2	0
k121_1667839	1239	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_680828	1216	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_800467	1214	NA	1	0.0	yes	0	0	0	0	0	0	0	0
