gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
k121_870613_1	110	574	465	1	0.746	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_870613_2	580	942	363	1	0.719	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_870613_3	952	1272	321	1	0.685	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_870613_4	1297	1845	549	1	0.687	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_870613_5	1891	4143	2253	1	0.684	11	GGAG/GAGG	GENOMAD.138275.PV	0.0001177	48	0	1	0	1	NA	NA	NA	PF07506;PF02195;TIGR03454;COG1475;K03497	plasmid partitioning protein RepB
k121_870613_6	4140	4592	453	1	0.770	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_870613_7	4604	4945	342	1	0.675	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_275299_1	3	131	129	-1	0.721	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_275299_2	261	983	723	1	0.757	11	None	GENOMAD.124202.CP	4.632e-111	356	0	0	0	1	NA	NA	NA	PF01614;PF01475;K19333;COG1414;TIGR02431	DNA-binding transcriptional regulator, IclR family
k121_275299_3	1050	2585	1536	-1	0.691	11	GGA/GAG/AGG	GENOMAD.191180.CP	6.649e-91	311	0	0	0	1	NA	NA	NA	COG0833	Amino acid permease
k121_275299_4	2680	3498	819	-1	0.720	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_275299_5	3652	4908	1257	1	0.757	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_275299_6	5074	7410	2337	1	0.755	11	None	GENOMAD.219998.CP	0.000248	47	0	0	0	1	NA	NA	NA	PF00884;TIGR03417;COG3119;K01133	Sulfatase
k121_275299_7	7428	8009	582	1	0.758	11	None	GENOMAD.162399.CP	1.161e-22	98	0	0	0	1	NA	NA	NA	PF05185;K00570;COG3963;TIGR02021	Phospholipid N-methyltransferase
k121_275299_8	8041	9036	996	-1	0.738	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
