ID	Length	Coverage	# ORFs	RDS	Circular	Inc Type(s)	# Replication	# Mobilization	# OriT	# Conjugation	# AMRs	# rRNAs	# Plasmid Hits
k121_1521523	48248	NA	73	0.0	yes	0	0	0	0	0	0	0	0
k121_2567836	46107	NA	65	0.0	yes	0	0	0	0	0	0	0	0
k121_1118838	43696	NA	58	0.0	yes	0	0	0	0	0	0	0	0
k121_1792720	41847	NA	60	0.0	yes	0	0	0	0	0	0	0	0
k121_1948741	39125	NA	63	0.0	yes	0	0	0	0	0	0	0	0
k121_2567920	38011	NA	45	0.0	yes	0	0	0	0	0	0	0	0
k121_2567840	37730	NA	56	0.0	yes	0	0	0	0	0	0	0	0
k121_400152	28039	NA	46	0.0	yes	0	0	0	0	0	0	0	0
k121_78627	21127	NA	22	0.0	no	0	0	1	0	1	0	0	0
k121_1365386	19678	NA	18	0.0	yes	0	0	0	0	0	0	0	0
k121_616581	15695	NA	18	0.0	no	0	0	1	0	0	0	0	0
k121_2568495	15106	NA	24	0.0	yes	0	0	0	0	0	0	0	0
k121_46309	12246	NA	10	0.0	yes	0	0	0	0	0	0	0	0
k121_1329371	11771	NA	10	0.0	no	0	1	0	0	0	0	0	0
k121_1969776	10860	NA	12	0.0	yes	0	0	0	0	0	0	0	0
k121_2567846	10080	NA	17	0.0	yes	0	0	0	0	0	0	0	0
k121_1942677	9996	NA	12	0.0	no	0	0	1	0	0	0	0	0
k121_1826367	9761	NA	7	0.0	yes	0	0	0	0	0	0	0	0
k121_2567904	9720	NA	11	0.0	yes	0	0	0	0	0	0	0	0
k121_1616581	9510	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_2569142	9200	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_1395046	9183	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_1582772	9151	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_98614	9107	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1708132	9044	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_584485	8991	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_200535	8565	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_2568321	8363	NA	7	0.0	yes	0	0	0	0	0	0	0	0
k121_1798656	8055	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1163988	7677	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_131022	7629	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_1773972	7545	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1850128	7501	NA	4	0.0	yes	0	0	0	0	0	0	0	0
