,ID,Length,Coverage,# ORFs,RDS,Circular,Inc Type(s),# Replication,# Mobilization,# OriT,# Conjugation,# AMRs,# rRNAs,# Plasmid Hits
2,k121_914627,11580,,6,0.0,no,0,0,1,0,0,0,0,0
3,k121_905476,7995,,9,0.0,no,0,0,1,0,0,0,0,0
7,k121_431218,6123,,12,0.0,no,0,0,1,0,0,0,0,0
11,k121_1168845,4175,,4,0.0,yes,0,0,1,0,0,0,0,0
12,k121_461515,4152,,3,6.8,no,1,0,0,0,0,0,0,0
16,k121_797621,3820,,4,0.0,no,0,0,1,0,0,0,0,0
17,k121_361309,3671,,4,0.0,no,0,0,1,0,0,0,0,0
23,k121_1055108,3017,,3,0.0,yes,0,0,1,0,0,0,0,0
34,k121_225062,2346,,3,0.0,no,0,0,1,0,0,0,0,0
36,k121_970365,2209,,2,26.6,no,0,0,0,0,0,0,0,0
46,k121_1169899,2045,,2,0.0,yes,0,0,1,0,0,0,0,0
66,k121_202450,1619,,1,-0.8,no,1,0,0,0,0,0,0,0
69,k121_324154,1601,,1,0.0,no,0,0,1,0,0,0,0,0
81,k121_1124156,1437,,1,0.1,no,0,0,0,0,0,0,0,1
84,k121_283725,1404,,2,9.8,no,0,0,0,0,0,0,0,0
90,k121_257977,1332,,1,0.0,no,0,0,1,0,0,0,0,0
94,k121_1168821,1306,,1,0.0,yes,0,0,0,1,0,0,0,0
96,k121_94511,1269,,1,4.5,no,0,0,0,0,0,0,0,0
103,k121_908959,1228,,1,0.0,no,0,0,1,0,0,0,0,0
115,k121_305731,1183,,2,-0.1,no,0,0,1,0,0,0,0,0
136,k121_554044,1059,,1,0.0,no,0,0,1,0,0,0,0,0
