seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k121_255793	1878	No terminal repeats	3	11	0.9990	0.0010	2	2.9888	MOBQ	NA
k121_663599	2437	DTR	2	11	0.9990	0.0010	1	1.5228	MOBV	NA
k121_659045	5803	No terminal repeats	8	11	0.9990	0.0010	2	3.8336	NA	NA
k121_516838	3464	No terminal repeats	3	11	0.9989	0.0010	1	3.7655	C_alr7208;C_alr7207;virb4	NA
k121_323271	5649	No terminal repeats	7	11	0.9989	0.0011	1	5.7344	MOBP1	NA
k121_694907	20542	No terminal repeats	15	11	0.9989	0.0011	2	5.2009	NA	NA
k121_821619	36364	No terminal repeats	30	11	0.9988	0.0011	3	6.0868	t4cp1;C_alr7212;C_alr7211;C_alr7210;C_alr7209;C_alr7208;C_alr7207;virb4;C_alr7205;C_alr7204	NA
k121_98900	17705	No terminal repeats	14	11	0.9988	0.0011	1	6.5684	NA	NA
k121_735589	12077	No terminal repeats	14	11	0.9982	0.0012	7	12.6346	T_virB2;T_virB3;virb4;T_virB6;T_virB5;T_virB8;T_virB9	NA
k121_310033	1183	No terminal repeats	2	11	0.9976	0.0013	2	2.3930	C_alr7209;C_alr7210	NA
k121_220177	1996	No terminal repeats	3	11	0.9971	0.0014	1	2.2640	C_alr7209;C_alr7209	NA
k121_91526	2811	No terminal repeats	4	11	0.9964	0.0016	2	4.1333	MOBP1	NA
k121_793685	5376	No terminal repeats	5	11	0.9964	0.0018	1	3.7896	C_alr7209;C_alr7210;C_alr7211	NA
k121_708998	1176	No terminal repeats	3	11	0.9948	0.0020	2	3.4366	T_virB2;T_virB3	NA
k121_49059	1809	No terminal repeats	3	11	0.9937	0.0023	3	4.4089	virb4;T_virB3;T_virB2	NA
k121_695398	1735	No terminal repeats	3	11	0.9891	0.0028	2	3.4366	NA	NA
k121_484148	6326	No terminal repeats	6	11	0.9846	0.0036	1	2.0618	NA	NA
k121_403311	1060	No terminal repeats	1	11	0.9579	0.0057	1	1.5931	NA	NA
k121_179745	1034	No terminal repeats	2	11	0.9575	0.0077	1	2.1501	virb4;C_alr7205	NA
k121_512560	2106	No terminal repeats	2	11	0.9530	0.0096	1	1.5023	NA	NA
k121_54650	9490	No terminal repeats	6	11	0.8706	0.0153	1	2.1330	NA	NA
k121_360201	4890	No terminal repeats	4	11	0.8029	0.0236	1	1.5314	NA	NA
