,ID,Length,Coverage,# ORFs,RDS,Circular,Inc Type(s),# Replication,# Mobilization,# OriT,# Conjugation,# AMRs,# rRNAs,# Plasmid Hits
29,k121_1460800,36515,,35,-0.0,no,0,0,1,0,0,0,0,0
40,k121_1742896,29697,,27,-0.0,no,0,1,0,0,0,0,0,0
47,k121_1825292,14533,,15,0.2,no,0,1,0,0,0,0,0,0
48,k121_131181,14339,,19,0.0,no,0,0,1,0,0,0,0,0
53,k121_1418062,10470,,13,0.2,no,0,0,0,0,0,0,0,1
57,k121_568580,9499,,9,0.0,no,0,0,1,0,0,0,0,0
64,k121_109457,8539,,10,-0.3,no,0,0,1,0,0,0,0,0
65,k121_1839539,8449,,11,1.3,yes,0,0,1,0,0,0,0,0
67,k121_26854,8032,,5,1.0,no,0,0,0,0,0,0,0,0
86,k121_231045,5496,,4,0.1,no,0,0,1,0,0,0,0,1
87,k121_921604,5457,,5,0.0,no,0,1,0,0,0,0,0,0
88,k121_349369,5430,,6,0.2,no,0,0,0,0,0,0,0,1
89,k121_1832964,5386,,5,0.0,yes,0,0,1,0,0,0,0,0
93,k121_157432,4891,,6,0.9,no,1,0,0,0,0,0,0,0
94,k121_796250,4867,,4,-0.6,no,0,0,1,0,0,0,0,0
95,k121_407575,4841,,8,0.0,yes,0,0,0,0,0,1,0,0
96,k121_511284,4786,,3,0.0,no,0,0,1,0,0,0,0,0
104,k121_779041,4214,,1,2.0,no,0,0,0,0,0,0,0,1
105,k121_1222006,4180,,8,11.4,no,0,0,0,0,0,1,0,1
106,k121_397243,4168,,8,0.9,no,0,0,0,0,0,0,0,0
108,k121_1001043,4038,,7,1.1,no,0,0,0,0,0,0,0,0
112,k121_1556958,3841,,7,1.6,no,0,0,0,0,1,0,0,1
113,k121_423941,3833,,3,0.0,yes,0,0,1,0,0,0,0,0
114,k121_1422762,3794,,7,0.7,no,0,0,0,0,0,5,0,1
115,k121_135045,3634,,3,0.3,no,0,0,0,0,0,0,0,1
116,k121_1839559,3628,,4,0.0,yes,0,0,1,0,0,0,0,0
117,k121_328573,3583,,5,10.4,no,0,0,0,0,0,1,0,0
118,k121_691649,3549,,4,0.4,no,0,0,0,0,0,0,0,1
119,k121_1840336,3470,,4,0.0,yes,0,0,1,0,0,0,0,0
120,k121_1101505,3456,,6,0.0,no,0,0,1,0,0,0,0,0
122,k121_1729562,3446,,4,5.3,no,0,0,0,0,0,0,0,1
123,k121_8667,3401,,4,0.0,no,0,1,0,0,0,0,0,0
126,k121_307863,3241,,5,0.3,no,0,0,0,0,0,0,0,1
128,k121_1674221,3222,,3,0.0,no,0,1,0,0,0,0,0,0
129,k121_473942,3125,,4,2.1,no,0,0,0,0,2,0,0,1
130,k121_1840625,3109,,5,0.0,yes,0,0,1,0,0,0,0,0
131,k121_280491,3079,,4,0.1,no,0,0,0,0,0,0,0,1
134,k121_208287,2877,,4,1.7,no,0,0,0,0,0,0,0,1
136,k121_1840003,2871,,2,0.9,yes,1,0,0,0,0,0,0,0
137,k121_1840341,2830,,3,0.0,yes,0,0,1,0,0,0,0,0
138,k121_1320997,2819,,4,0.7,no,0,0,0,0,0,0,0,1
142,k121_1737691,2713,,3,0.1,no,0,0,0,0,0,0,0,1
144,k121_1506959,2672,,2,0.4,no,0,0,0,0,0,0,0,1
147,k121_1495424,2623,,4,0.0,no,0,0,1,0,0,0,0,0
148,k121_1049462,2613,,3,2.4,no,0,0,0,0,0,0,0,1
149,k121_353503,2591,,4,1.2,no,0,0,0,0,0,0,0,1
152,k121_1839918,2543,,2,0.0,yes,0,0,1,0,0,0,0,0
154,k121_1718501,2539,,2,0.6,no,0,0,0,0,0,0,0,1
157,k121_812906,2499,,2,1.0,no,0,0,0,0,1,0,0,1
158,k121_1146073,2490,,5,0.2,no,0,0,0,0,0,0,0,1
162,k121_458824,2425,,3,0.0,no,0,0,1,0,0,0,0,0
164,k121_517669,2366,,1,0.1,no,0,0,0,0,0,0,0,1
165,k121_1724483,2353,,4,0.1,no,0,0,0,0,0,0,0,1
170,k121_859301,2316,,3,3.2,no,0,0,0,0,1,0,0,1
172,k121_1406376,2287,,3,0.4,no,0,0,0,0,0,0,0,1
173,k121_1446099,2284,,3,1.2,no,0,0,0,0,0,0,0,1
175,k121_151693,2246,,3,0.2,no,0,0,0,0,0,0,0,1
177,k121_461679,2237,,3,0.0,no,0,0,1,0,0,0,0,0
180,k121_323166,2187,,3,21.5,no,0,0,0,0,0,2,0,0
182,k121_1696514,2148,,3,-0.1,no,0,1,0,0,0,0,0,0
183,k121_511902,2145,,2,0.0,no,0,1,0,0,0,0,0,0
185,k121_552458,2135,,1,0.1,no,0,0,0,0,0,0,0,1
186,k121_421882,2120,,2,0.0,no,0,1,0,0,0,0,0,0
187,k121_682154,2114,,2,0.1,no,0,0,0,0,0,0,0,1
191,k121_1237337,2080,,4,4.1,no,0,0,0,0,0,2,0,1
193,k121_939621,2018,,2,0.2,no,0,0,0,0,0,0,0,1
197,k121_1294971,1991,,3,0.2,no,0,0,0,0,0,0,0,1
199,k121_1225511,1971,,2,0.9,no,0,0,0,0,0,0,0,0
201,k121_974993,1948,,4,0.7,no,0,0,0,0,0,0,0,1
202,k121_256707,1942,,2,1.0,no,0,0,0,0,0,0,0,1
204,k121_1509889,1895,,2,0.0,no,0,1,0,0,0,0,0,0
205,k121_1723413,1885,,2,17.6,no,0,0,0,0,0,0,0,0
208,k121_1834717,1858,,1,0.6,no,0,0,0,0,0,1,0,1
209,k121_1097956,1852,,1,0.1,no,0,0,0,0,0,0,0,1
210,k121_180842,1845,,2,0.3,no,0,0,0,0,0,0,0,1
211,k121_911288,1818,,2,0.1,no,0,0,0,0,0,0,0,1
213,k121_716811,1797,,2,0.0,no,0,0,1,0,0,0,0,0
215,k121_317160,1783,,3,0.2,no,0,0,0,0,0,0,0,1
219,k121_75809,1726,,2,0.9,no,0,0,0,0,0,0,0,1
225,k121_1197698,1705,,2,4.3,no,0,0,0,0,0,0,0,1
226,k121_1313763,1681,,2,0.0,no,0,1,0,0,0,0,0,0
228,k121_1393309,1662,,1,0.1,no,0,0,0,0,0,0,0,1
232,k121_1388362,1640,,3,0.1,no,0,0,0,0,0,0,0,1
234,k121_1763724,1607,,2,0.3,no,0,0,0,0,0,0,0,1
236,k121_1566951,1594,,1,2.8,no,0,0,0,0,1,0,0,1
237,k121_508554,1589,,2,0.6,no,0,0,0,0,0,0,0,1
239,k121_353082,1567,,1,0.1,no,0,0,0,0,0,0,0,1
241,k121_1810862,1555,,1,0.1,no,0,0,0,0,0,0,0,1
244,k121_1739698,1546,,1,1.3,no,0,0,0,0,0,0,0,1
246,k121_89685,1541,,1,0.4,no,0,0,0,0,0,0,0,1
248,k121_571478,1539,,1,0.1,no,0,0,0,0,0,0,0,1
252,k121_896539,1493,,2,3.2,no,0,0,0,0,0,0,0,1
255,k121_1131324,1469,,1,0.0,no,0,1,0,0,0,0,0,0
257,k121_410025,1457,,1,0.2,no,0,0,0,0,0,0,0,1
260,k121_464527,1450,,1,0.1,no,0,0,0,0,0,0,0,1
262,k121_1313775,1439,,1,0.1,no,0,0,0,0,0,0,0,1
264,k121_1193156,1421,,1,0.1,no,0,0,0,0,0,0,0,1
265,k121_1356687,1415,,2,0.6,no,0,0,0,0,0,0,0,1
266,k121_595790,1413,,1,0.1,no,0,0,0,0,0,0,0,1
268,k121_943962,1406,,1,0.1,no,0,0,0,0,0,0,0,1
270,k121_1162917,1369,,1,39.1,no,0,0,0,0,0,1,0,1
274,k121_125520,1342,,3,22.4,no,0,0,0,0,0,1,0,1
275,k121_47299,1332,,1,0.1,no,0,0,0,0,0,0,0,1
279,k121_146030,1305,,2,0.4,no,0,0,0,0,0,0,0,1
280,k121_168411,1304,,1,5.7,no,0,0,0,0,0,0,0,1
282,k121_90924,1300,,1,0.1,no,0,0,0,0,0,0,0,1
283,k121_1336943,1286,,2,0.2,no,0,0,0,0,0,0,0,1
284,k121_1181820,1279,,2,0.2,no,0,0,0,0,0,0,0,1
286,k121_1005219,1265,,1,0.4,no,0,0,0,0,0,0,0,1
287,k121_339878,1263,,1,0.0,no,0,1,0,0,0,0,0,0
289,k121_1719356,1248,,1,0.0,no,0,1,0,0,0,0,0,0
291,k121_1170352,1239,,1,0.1,no,0,0,0,0,0,0,0,1
294,k121_1165880,1233,,1,0.4,no,0,1,0,0,0,0,0,1
295,k121_1270195,1227,,1,0.1,no,0,0,0,0,0,0,0,1
296,k121_202134,1225,,2,0.6,no,0,0,0,0,0,0,0,1
301,k121_230119,1214,,2,0.1,no,0,0,0,0,0,0,0,1
302,k121_1648624,1212,,3,1.2,no,0,0,0,0,0,0,0,1
309,k121_940549,1180,,1,0.1,no,0,0,0,0,0,0,0,1
312,k121_480310,1171,,2,0.1,no,0,0,0,0,0,0,0,1
313,k121_1661352,1168,,2,22.3,no,0,0,0,0,0,1,0,0
314,k121_744037,1160,,1,0.1,no,0,0,0,0,0,0,0,1
316,k121_653794,1147,,1,0.1,no,0,0,0,0,0,0,0,1
319,k121_1557136,1139,,2,0.1,no,0,0,0,0,0,0,0,1
322,k121_1451840,1132,,1,0.1,no,0,0,0,0,0,0,0,1
323,k121_1728061,1131,,1,0.1,no,0,0,0,0,0,0,0,1
326,k121_1509635,1098,,1,0.1,no,0,0,0,0,0,0,0,1
327,k121_1740490,1098,,1,0.1,no,0,0,0,0,0,0,0,1
328,k121_1120296,1095,,1,0.2,no,0,0,0,0,0,0,0,1
329,k121_613466,1093,,1,0.1,no,0,0,0,0,0,0,0,1
330,k121_539120,1093,,2,0.3,no,0,0,0,0,0,0,0,1
331,k121_619634,1091,,2,0.2,no,0,0,0,0,0,0,0,1
332,k121_1683421,1086,,2,0.4,no,0,0,0,0,0,0,0,1
335,k121_1771663,1070,,1,0.4,no,0,0,0,0,0,0,0,1
338,k121_1830251,1056,,2,0.9,no,0,0,0,0,0,0,0,0
339,k121_1222840,1050,,1,3.0,no,0,0,0,0,1,0,0,1
347,k121_1511650,1013,,1,1.1,no,0,0,0,0,0,0,0,1
