,ID,Length,Coverage,# ORFs,RDS,Circular,Inc Type(s),# Replication,# Mobilization,# OriT,# Conjugation,# AMRs,# rRNAs,# Plasmid Hits
4,k121_257310,74303,,66,-0.6,no,0,0,1,0,0,0,0,0
44,k121_930417,6081,,8,0.0,no,0,0,1,0,0,0,0,0
51,k121_962857,5541,,8,0.0,no,0,0,1,0,0,0,0,0
76,k121_597081,3173,,5,0.0,no,0,0,1,0,0,0,0,0
85,k121_30409,2635,,4,0.0,no,0,0,1,0,0,0,0,0
93,k121_774868,2518,,3,0.0,no,0,0,1,0,0,0,0,0
102,k121_325357,2245,,3,0.1,no,0,0,0,0,0,0,0,1
125,k121_1156946,1818,,2,-0.1,no,0,1,0,0,0,0,0,0
139,k121_119196,1628,,1,0.0,no,0,1,0,0,0,0,0,0
189,k121_611116,1244,,2,0.0,no,0,0,1,0,1,0,0,0
195,k121_81761,1231,,0,0.0,no,1,0,0,0,0,0,0,1
