gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
k121_788086_1	3	257	255	-1	0.475	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_788086_2	254	2332	2079	-1	0.465	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_788086_3	2657	2956	300	-1	0.517	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_788086_4	3059	3208	150	1	0.440	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_501715_1	36	878	843	1	0.580	11	GGAGG	GENOMAD.172148.PC	1.784e-97	319	0	0	0	1	NA	NA	NA	PF02900;K04101;TIGR02298;COG3384	Catalytic LigB subunit of aromatic ring-opening dioxygenase
k121_501715_2	875	1810	936	1	0.587	11	GGAG/GAGG	GENOMAD.198092.PC	4.195e-93	308	0	0	0	1	NA	NA	NA	PF19858	Bacterial oxidoreductases, C-terminal
k121_501715_3	1943	2893	951	1	0.624	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_501715_4	2893	3060	168	1	0.589	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1719661_1	92	439	348	-1	0.534	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1719661_2	755	1141	387	1	0.643	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1719661_3	1379	1837	459	-1	0.558	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1719661_4	2361	2624	264	-1	0.534	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1218242_1	1	417	417	-1	0.626	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1218242_2	673	1023	351	1	0.638	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1218242_3	1121	1573	453	1	0.623	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
