seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k121_326971	9756	No terminal repeats	10	11	0.9990	0.0010	7	12.0646	F_traH;F_traF;F_trbC;F_traU;F_traW	NA
k121_1814300	2893	DTR	5	11	0.9990	0.0010	1	4.2258	NA	NA
k121_139698	24625	No terminal repeats	30	11	0.9990	0.0010	6	12.2082	F_traV;F_traK;F_traE;F_traL	NF000496;NF000496
k121_1609901	12734	No terminal repeats	13	11	0.9989	0.0010	9	14.8847	F_traW;F_traU;F_trbC;F_traN;F_traF;F_traH;F_traG	NA
k121_1546252	1004	No terminal repeats	2	11	0.9989	0.0010	1	3.4366	NA	NA
k121_182416	8093	No terminal repeats	8	11	0.9989	0.0010	4	6.4074	F_trbC;F_traF;F_traH;F_traG	NA
k121_1178757	3960	No terminal repeats	6	11	0.9989	0.0011	1	2.9810	NA	NA
k121_1119881	11008	No terminal repeats	12	11	0.9989	0.0011	5	11.1352	T_virB8;T_virB6;T_virB5;virb4;T_virB2	NA
k121_88275	1021	No terminal repeats	3	11	0.9989	0.0011	2	3.2077	MOBQ	NA
k121_1387464	7833	No terminal repeats	5	11	0.9989	0.0011	1	3.7669	F_traG	NA
k121_1813923	3992	DTR	7	11	0.9988	0.0011	1	1.7183	NA	NA
k121_532723	3933	No terminal repeats	3	11	0.9988	0.0011	3	3.7548	F_traG;F_traH;F_traF	NA
k121_515858	4915	No terminal repeats	8	11	0.9988	0.0011	1	3.2554	NA	NA
k121_306781	1629	No terminal repeats	4	11	0.9988	0.0011	1	3.5157	NA	NA
k121_185834	20635	No terminal repeats	22	11	0.9987	0.0011	2	9.5313	NA	NF012174
k121_1520761	2431	No terminal repeats	3	11	0.9987	0.0011	1	1.7183	NA	NA
k121_1337511	4101	No terminal repeats	5	11	0.9987	0.0011	3	6.9611	F_traW	NA
k121_1648560	1493	No terminal repeats	2	11	0.9987	0.0012	2	2.7021	T_virB5;T_virB8	NA
k121_1725973	6391	No terminal repeats	8	11	0.9987	0.0012	2	2.0541	NA	NA
k121_249784	1152	No terminal repeats	2	11	0.9986	0.0012	1	1.7056	MOBC	NA
k121_1787024	4261	No terminal repeats	6	11	0.9986	0.0012	1	3.7344	NA	NA
k121_1369650	3273	No terminal repeats	3	11	0.9986	0.0012	1	3.5239	NA	NA
k121_1813628	5261	DTR	7	11	0.9986	0.0012	1	2.1474	NA	NA
k121_781475	2145	No terminal repeats	3	11	0.9985	0.0012	2	4.0882	F_traF;F_trbC	NA
k121_221085	15191	No terminal repeats	16	11	0.9985	0.0012	3	6.0496	T_virB11;T_virB9;T_virB8	NA
k121_1191371	1001	No terminal repeats	2	11	0.9985	0.0012	2	2.6841	F_traK	NA
k121_932776	2978	No terminal repeats	3	11	0.9985	0.0012	2	2.9941	F_traV;virb4	NA
k121_962401	3782	No terminal repeats	7	11	0.9985	0.0013	1	2.5286	MOBQ	NA
k121_721000	1014	No terminal repeats	2	11	0.9985	0.0013	1	2.9626	T_virB6	NA
k121_303691	1241	No terminal repeats	2	11	0.9985	0.0013	2	2.6906	T_virB3;virb4	NA
k121_613160	2415	No terminal repeats	3	11	0.9984	0.0013	1	1.7134	NA	NA
k121_625737	1177	No terminal repeats	2	11	0.9984	0.0013	2	2.6197	T_virB5	NA
k121_295513	1197	No terminal repeats	4	11	0.9984	0.0013	2	5.1352	T_virB2;T_virB3	NA
k121_514171	2881	No terminal repeats	5	11	0.9983	0.0013	3	3.8052	F_traW;F_traU;F_trbC	NA
k121_100664	2708	No terminal repeats	4	11	0.9983	0.0013	1	1.9820	T_virB10	NA
k121_979755	1356	No terminal repeats	3	11	0.9983	0.0013	1	2.1806	NA	NA
k121_372621	1198	No terminal repeats	2	11	0.9983	0.0013	1	1.5622	NA	NA
k121_1264981	2639	No terminal repeats	3	11	0.9981	0.0014	2	3.2117	F_traK	NA
k121_214290	1051	No terminal repeats	2	11	0.9980	0.0014	1	1.7183	NA	NA
k121_1298478	1456	No terminal repeats	3	11	0.9978	0.0014	1	1.7183	T_virB3	NA
k121_1712808	3370	No terminal repeats	5	11	0.9977	0.0014	4	4.7856	T_virB8;T_virB6;T_virB5	NA
k121_1707958	1924	No terminal repeats	2	11	0.9977	0.0014	2	2.4974	F_traN;F_traF	NA
k121_775942	4690	No terminal repeats	6	11	0.9974	0.0015	1	4.5939	T_virB3	NA
k121_1555634	1639	No terminal repeats	2	11	0.9973	0.0015	1	1.6894	NA	NA
k121_825889	3233	No terminal repeats	5	11	0.9972	0.0015	1	1.8164	NA	NA
k121_1625251	2454	No terminal repeats	3	11	0.9972	0.0016	2	2.4862	F_traB;F_traK	NA
k121_1697329	1686	No terminal repeats	3	11	0.9970	0.0016	2	3.1992	F_traE;F_traK	NA
k121_946795	7126	No terminal repeats	9	11	0.9963	0.0016	1	3.4366	I_traW	NA
k121_890783	1184	No terminal repeats	3	11	0.9963	0.0017	1	3.2390	NA	NA
k121_578475	2035	No terminal repeats	3	11	0.9961	0.0017	2	2.7853	t4cp1	NA
k121_1495406	4601	No terminal repeats	7	11	0.9961	0.0018	1	2.9283	MOBV	NA
k121_1546996	3041	No terminal repeats	2	11	0.9961	0.0018	2	2.3779	MOBH;t4cp1	NA
k121_1091041	1749	No terminal repeats	3	11	0.9956	0.0018	2	2.3083	T_virB9;T_virB8	NA
k121_1262228	1543	No terminal repeats	3	11	0.9951	0.0019	3	4.0566	T_virB6;T_virB5;T_virB8	NA
k121_536522	2276	No terminal repeats	5	11	0.9950	0.0020	2	2.4497	MOBH;G_tfc2	NA
k121_321078	1405	No terminal repeats	2	11	0.9950	0.0020	2	2.6841	F_traK	NA
k121_1490985	1135	No terminal repeats	1	11	0.9946	0.0021	1	1.7025	MOBC	NA
k121_1117358	1395	No terminal repeats	3	11	0.9929	0.0022	1	1.7044	F_traL	NA
k121_1810140	1036	No terminal repeats	2	11	0.9912	0.0023	2	2.5626	T_virB9;T_virB8	NA
k121_374633	20811	No terminal repeats	23	11	0.9901	0.0024	1	2.4579	NA	NA
k121_1685798	2047	No terminal repeats	4	11	0.9895	0.0025	1	1.5023	NA	NA
k121_1367882	2327	No terminal repeats	4	11	0.9891	0.0027	2	4.0882	F_traF;F_trbC	NA
k121_1540690	1152	No terminal repeats	3	11	0.9880	0.0028	2	3.3178	T_virB2;T_virB3	NA
k121_149022	1598	No terminal repeats	2	11	0.9868	0.0030	1	1.5207	NA	NA
k121_1471682	2088	No terminal repeats	4	11	0.9863	0.0031	2	2.1807	G_tfc24;virb4	NA
k121_654001	1212	No terminal repeats	2	11	0.9861	0.0033	1	1.7183	NA	NA
k121_1790027	1796	No terminal repeats	3	11	0.9835	0.0035	1	1.7183	NA	NA
k121_878789	1223	No terminal repeats	1	11	0.9817	0.0037	1	1.5023	NA	NA
k121_1236568	35514	No terminal repeats	28	11	0.9815	0.0039	2	2.5687	NA	NA
k121_1242508	1238	No terminal repeats	2	11	0.9808	0.0042	2	2.2413	G_tfc15;virb4	NA
k121_1362042	1201	No terminal repeats	2	11	0.9799	0.0044	2	2.4245	F_traV;virb4	NA
k121_1783773	3813	No terminal repeats	4	11	0.9765	0.0046	1	1.5453	NA	NA
k121_1030295	1001	No terminal repeats	2	11	0.9761	0.0049	2	2.4653	F_traU;F_traW	NA
k121_69241	1345	No terminal repeats	4	11	0.9759	0.0052	2	2.4758	T_virB2;T_virB3	NA
k121_550031	1152	No terminal repeats	2	11	0.9735	0.0054	1	2.2883	G_tfc22;G_tfc23	NA
k121_435840	2372	No terminal repeats	3	11	0.9735	0.0057	1	2.1107	G_tfc13;G_tfc14	NA
k121_1325721	1881	No terminal repeats	3	11	0.9732	0.0060	2	2.5463	F_trbC;F_traU	NA
k121_446367	17893	No terminal repeats	14	11	0.9728	0.0063	2	2.6924	NA	NA
