ID	Length	Coverage	# ORFs	RDS	Circular	Inc Type(s)	# Replication	# Mobilization	# OriT	# Conjugation	# AMRs	# rRNAs	# Plasmid Hits
k121_2498204	173334	NA	202	0.0	yes	0	0	0	0	0	0	0	0
k121_812758	90475	NA	101	0.0	yes	0	0	0	0	0	0	0	0
k121_2498477	75395	NA	89	0.0	yes	0	0	0	0	0	0	0	0
k121_2498249	69000	NA	68	0.0	yes	0	0	0	0	0	0	0	0
k121_2453597	61651	NA	83	0.0	yes	0	0	0	0	0	0	0	0
k121_1970482	57276	NA	70	0.0	yes	0	0	0	0	0	0	0	0
k121_2498275	56229	NA	73	0.0	yes	0	0	0	0	0	0	0	0
k121_1568533	56002	NA	74	0.0	yes	0	0	0	0	0	0	0	0
k121_547040	51433	NA	73	0.0	yes	0	0	0	0	0	0	0	0
k121_2498327	46666	NA	59	0.0	yes	0	0	0	0	0	0	0	0
k121_1664110	45554	NA	54	0.0	yes	0	0	0	0	0	0	0	0
k121_2049828	44035	NA	55	0.0	yes	0	0	0	0	0	0	0	0
k121_1483795	43720	NA	58	0.0	yes	0	0	0	0	0	0	0	0
k121_1572394	43398	NA	64	0.0	yes	0	0	0	0	0	0	0	0
k121_2498230	43291	NA	66	0.0	yes	0	0	0	0	0	0	0	0
k121_5016	39796	NA	45	0.0	yes	0	0	0	0	0	0	0	0
k121_1778102	39624	NA	73	0.0	yes	0	0	0	0	0	0	0	0
k121_1294063	39333	NA	55	0.0	yes	0	0	0	0	0	0	0	0
k121_2498846	39191	NA	49	0.0	yes	0	0	0	0	0	0	0	0
k121_441747	38487	NA	56	0.0	yes	0	0	0	0	0	0	0	0
k121_2498468	38076	NA	54	0.0	yes	0	0	0	0	0	0	0	0
k121_2498185	37410	NA	58	0.0	yes	0	0	0	0	0	0	0	0
k121_313154	37175	NA	54	0.0	yes	0	0	0	0	0	0	0	0
k121_1280546	36574	NA	47	0.0	yes	0	0	0	0	0	0	0	0
k121_2498397	36551	NA	53	0.0	yes	0	0	0	0	0	0	0	0
k121_264454	35596	NA	38	0.0	yes	0	0	0	0	0	0	0	0
k121_2498305	35468	NA	57	0.0	yes	0	0	0	0	0	0	0	0
k121_622121	35084	NA	56	0.0	yes	0	0	0	0	0	0	0	0
k121_2498389	34651	NA	58	0.0	yes	0	0	0	0	0	0	0	0
k121_2066754	34347	NA	54	0.0	yes	0	0	0	0	0	0	0	0
k121_2498452	33855	NA	52	0.0	yes	0	0	0	0	0	0	0	0
k121_1470495	33833	NA	49	0.0	yes	0	0	0	0	0	0	0	0
k121_251241	33472	NA	40	0.0	yes	0	0	0	0	0	0	0	0
k121_228015	33416	NA	41	0.0	yes	0	0	0	0	0	0	0	0
k121_1594471	32869	NA	46	0.0	yes	0	0	0	0	0	0	0	0
k121_2498267	31732	NA	54	0.0	yes	0	0	0	0	0	0	0	0
k121_1006428	25039	NA	24	0.0	yes	0	0	0	0	0	0	0	0
k121_2498176	23951	NA	44	0.0	yes	0	0	0	0	0	0	0	0
k121_2498348	20428	NA	30	0.0	yes	0	0	0	0	0	0	0	0
k121_2498231	17413	NA	16	0.0	yes	0	0	0	0	0	0	0	0
k121_1346193	16492	NA	28	0.0	yes	0	0	0	0	0	0	0	0
k121_2498499	16383	NA	28	0.0	yes	0	0	0	0	0	0	0	0
k121_2498505	16027	NA	25	0.0	yes	0	0	0	0	0	0	0	0
k121_192594	15672	NA	24	0.0	yes	0	0	0	0	0	0	0	0
k121_2498302	15249	NA	22	0.0	yes	0	0	0	0	0	0	0	0
k121_1620806	15025	NA	26	0.0	yes	0	0	0	0	0	0	0	0
k121_453559	14626	NA	25	0.0	yes	0	0	0	0	0	0	0	0
k121_2498255	13710	NA	21	0.0	yes	0	0	0	0	0	0	0	0
k121_2498191	11788	NA	24	0.0	yes	0	0	0	0	0	0	0	0
k121_2498129	10059	NA	13	0.0	yes	0	0	0	0	0	0	0	0
k121_2498368	9456	NA	13	0.0	yes	0	0	0	0	0	0	0	0
k121_2498300	9096	NA	16	0.0	yes	0	0	0	0	0	0	0	0
k121_2349364	8102	NA	6	0.0	no	0	0	1	0	2	0	0	0
k121_2498228	6955	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_2498317	6725	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_1319734	6389	NA	8	0.0	yes	0	0	0	0	0	0	0	0
k121_333249	6216	NA	8	0.0	yes	0	0	0	0	0	0	0	0
k121_1676662	6089	NA	8	0.0	no	0	0	1	0	0	0	0	0
k121_1277935	5990	NA	7	0.0	yes	0	0	0	0	0	0	0	0
k121_2498572	5867	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1970647	5284	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_1460947	5168	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_720292	5041	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_2498862	4927	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_1747441	4712	NA	4	0.0	no	0	0	1	0	0	0	0	0
k121_1228274	4701	NA	6	0.0	no	0	0	1	0	0	0	0	0
k121_2498151	4632	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_1824857	4543	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_485370	4520	NA	4	0.0	no	0	0	1	0	0	0	0	0
k121_2499351	4514	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_2498676	4437	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_2498591	4426	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_2498582	4377	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_493350	4256	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_1048310	4186	NA	4	0.0	yes	0	0	0	0	0	0	0	0
k121_2498548	4167	NA	6	0.0	yes	0	0	0	0	0	0	0	0
