gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
k121_1987178_1	3	1595	1593	1	0.637	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1987178_2	1674	3479	1806	1	0.659	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1987178_3	3517	3927	411	-1	0.635	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1987178_4	4054	4524	471	1	0.654	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1987178_5	4521	4661	141	-1	0.624	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_166171_1	1	738	738	-1	0.618	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_166171_2	779	1801	1023	1	0.676	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_166171_3	1865	2542	678	-1	0.667	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_166171_4	2539	4092	1554	-1	0.629	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_166171_5	4247	4948	702	-1	0.608	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_166171_6	5063	5410	348	1	0.546	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_166171_7	5429	5863	435	1	0.639	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1436207_1	1	534	534	-1	0.695	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1436207_2	562	1107	546	-1	0.683	11	AGGAG	GENOMAD.095274.PC	8.9e-21	92	0	1	0	1	NA	NA	NA	PF10671;PF07283;K20267;COG3417	Toxin co-regulated pilus biosynthesis protein Q; Conjugal transfer protein TrbH
k121_1436207_3	1110	1274	165	-1	0.624	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_166545_1	2	208	207	-1	0.440	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_166545_2	748	1101	354	1	0.455	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_166545_3	1204	1413	210	-1	0.424	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_166545_4	1546	2073	528	1	0.456	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_166545_5	2070	3707	1638	1	0.429	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1491460_1	3	617	615	-1	0.644	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1491460_2	621	1136	516	-1	0.610	11	AGGA/GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1491460_3	1480	3093	1614	1	0.662	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1491460_4	3099	4031	933	1	0.636	11	GGAG/GAGG	GENOMAD.161113.PV	3.07e-05	48	0	0	0	1	NA	NA	NA	PF00589;PF12834;K03733;COG4973;TIGR02224	Site-specific recombinase XerC
k121_1491460_5	4036	4137	102	1	0.667	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2098795_1	2	403	402	1	0.684	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2098795_2	400	732	333	1	0.667	11	AGGAG	GENOMAD.116477.PC	8.542e-50	172	0	1	0	1	NA	T_virB2	NA	PF04956;K20528;COG3838	Type IV secretory pathway, VirB2 components (pilins)
k121_2098795_3	732	1007	276	1	0.696	11	GGAG/GAGG	GENOMAD.127310.PC	2.873e-36	132	0	1	0	1	NA	T_virB3	NA	PF05101;COG5268;K03198	Type IV secretory pathway, TrbD component
k121_2098795_4	1012	1365	354	1	0.672	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_553796_1	1	594	594	1	0.544	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_553796_2	714	1385	672	-1	0.496	11	GGAG/GAGG	GENOMAD.198077.CP	1.733e-15	78	0	0	0	1	NA	NA	NA	K21310;COG4094	Protein-S-isoprenylcysteine O-methyltransferase Ste14
k121_553796_3	1411	2673	1263	-1	0.508	11	AGGA/GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_553796_4	2667	3878	1212	-1	0.518	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_553796_5	3850	4614	765	-1	0.574	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_553796_6	4607	5374	768	-1	0.503	11	GGA/GAG/AGG	GENOMAD.127267.PP	1.321e-26	112	0	0	0	1	NA	NA	NA	PF10637;K23669;TIGR02408;COG5285	ectoine hydroxylase
k121_553796_7	5364	6014	651	-1	0.527	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1823383_1	45	1187	1143	1	0.678	11	AGGA	GENOMAD.107250.PP	5.627e-72	250	0	1	0	1	NA	NA	NA	PF14516;TIGR02928;COG1474;K06921	orc1/cdc6 family replication initiation protein
k121_1823383_2	1395	1955	561	-1	0.683	11	None	GENOMAD.146086.CP	1.335e-16	80	0	0	0	1	NA	NA	NA	PF00440;K18939;TIGR03613;COG5590	pyrimidine utilization regulatory protein R
k121_1823383_3	2053	2262	210	1	0.710	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1050672_1	1	840	840	1	0.640	11	None	GENOMAD.137439.CP	0.0009138	43	0	0	0	1	NA	NA	NA	PF13581;K17752;TIGR01924;COG2172	serine-protein kinase RsbW
k121_1050672_2	952	1431	480	1	0.640	11	AGGAG	GENOMAD.209955.PC	7.359e-13	68	0	0	0	1	NA	NA	NA	COG4575	Membrane-anchored ribosome-binding protein, inhibits growth in stationary phase, ElaB/YqjD/DUF883 family
k121_1050672_3	1428	1844	417	1	0.650	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1050672_4	1834	2715	882	1	0.637	11	AGxAGG/AGGxGG	GENOMAD.194832.PC	8.051e-25	108	0	0	0	1	NA	NA	NA	PF12277;PF19029;COG4575	Membrane-anchored ribosome-binding protein, inhibits growth in stationary phase, ElaB/YqjD/DUF883 family
k121_1050672_5	2935	3423	489	-1	0.554	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1050672_6	3514	4365	852	-1	0.606	11	GGAG/GAGG	GENOMAD.196225.CP	3.048e-20	94	0	0	0	1	NA	NA	NA	NA	NA
k121_1050672_7	4466	4648	183	1	0.557	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1050672_8	4645	5259	615	1	0.610	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1050672_9	5256	7010	1755	1	0.613	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1050672_10	7610	7759	150	1	0.573	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_995777_1	602	1948	1347	1	0.586	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_995777_2	1938	3161	1224	1	0.609	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_995777_3	3158	3850	693	1	0.595	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_995777_4	3847	4869	1023	1	0.572	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_941145_1	72	869	798	1	0.531	11	None	GENOMAD.046829.PP	0.0004001	44	0	0	0	1	NA	NA	NA	PF10609;TIGR03371;COG2894;K12055	cellulose synthase operon protein YhjQ
k121_941145_2	873	1427	555	1	0.560	11	None	GENOMAD.179226.PC	1.162e-38	144	0	0	0	1	NA	NA	NA	PF06821;K07002;COG3545;TIGR02240	Serine hydrolase
k121_941145_3	1417	2334	918	1	0.524	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_941145_4	2391	3305	915	1	0.531	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_941145_5	3302	3826	525	1	0.535	11	AGxAGG/AGGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1051037_1	2	1303	1302	1	0.651	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1051037_2	1409	1726	318	1	0.660	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1051037_3	1727	2593	867	-1	0.654	11	None	GENOMAD.089796.PC	3.264e-94	310	0	1	0	1	NA	F_traG	NA	TIGR03782	Bacteroides conjugative transposon TraJ protein
k121_1051069_1	281	1162	882	1	0.675	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1051069_2	1159	2847	1689	-1	0.674	11	None	GENOMAD.214708.PC	2.074e-207	652	0	0	0	1	NA	NA	NA	NA	NA
k121_1051069_3	2855	3382	528	-1	0.661	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1990146_1	3	404	402	-1	0.614	11	GGAG/GAGG	GENOMAD.138275.PV	2.326e-06	48	0	1	0	1	NA	NA	NA	PF07506;PF02195;TIGR03454;COG1475;K03497	plasmid partitioning protein RepB
k121_1990146_2	406	1581	1176	-1	0.588	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_665832_1	2	142	141	-1	0.574	11	AGxAGG/AGGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_665832_2	323	2311	1989	-1	0.633	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_665832_3	2513	3544	1032	-1	0.624	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_665832_4	3609	3860	252	1	0.563	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_665832_5	4171	4674	504	1	0.591	11	3Base/5BMM	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1383133_1	1	366	366	1	0.525	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1383133_2	369	1856	1488	1	0.526	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1383133_3	1853	2266	414	1	0.502	11	AGGAG	GENOMAD.193978.PC	7.885e-13	67	0	0	0	1	NA	NA	NA	PF19906	NA
k121_1383133_4	2266	3315	1050	1	0.519	11	AGxAGG/AGGxGG	GENOMAD.205599.PC	7.138e-124	399	0	0	0	1	NA	NA	NA	PF01261;COG3623;TIGR03234;K03079	L-ribulose-5-phosphate 3-epimerase UlaE
k121_1383133_5	3315	3716	402	1	0.485	11	AGGA	GENOMAD.167011.PP	2.648e-32	123	0	0	0	1	NA	NA	NA	PF19906	NA
k121_1383133_6	3719	4723	1005	1	0.516	11	GGA/GAG/AGG	GENOMAD.206996.PC	2.201e-121	391	0	0	0	1	NA	NA	NA	PF03786;COG3623;TIGR00542;K03079	L-ribulose-5-phosphate 3-epimerase UlaE
k121_1383133_7	4755	5774	1020	1	0.540	11	GGA/GAG/AGG	GENOMAD.145295.CP	1.033e-123	398	0	0	0	1	NA	NA	NA	PF03786;TIGR00542;COG3623;K03079	hexulose-6-phosphate isomerase, putative
