gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
k121_1499296_1	1	213	213	-1	0.352	11	AATAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1499296_2	350	1519	1170	-1	0.333	11	TAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1499296_3	1503	1886	384	-1	0.370	11	AATAA	GENOMAD.073215.PP	0.0004795	41	0	1	0	1	NA	NA	NA	PF19514	MobC-like protein
k121_1499296_4	2218	2634	417	1	0.357	11	TAAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1499296_5	2656	3366	711	1	0.329	11	TAAA	GENOMAD.126298.PC	1.617e-49	178	0	0	0	1	NA	NA	NA	PF10609;K07321;TIGR03371;COG1348	NUBPL iron-transfer P-loop NTPase
k121_1499296_6	3448	3546	99	1	0.313	11	AAAAAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1459838_1	638	766	129	-1	0.457	11	AGxAGG/AGGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1459838_2	870	1058	189	-1	0.460	11	AGxAGG/AGGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1459926_1	138	536	399	1	0.684	11	GGAG/GAGG	GENOMAD.116259.PC	4.087e-09	56	0	0	0	1	NA	NA	NA	COG5569	Periplasmic Cu and Ag efflux protein CusF
k121_1459926_2	533	868	336	1	0.708	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1459926_3	897	2504	1608	1	0.691	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1459926_4	2805	2909	105	1	0.714	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_473808_1	2	367	366	-1	0.669	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_473808_2	596	964	369	1	0.667	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_473808_3	1381	2619	1239	1	0.631	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_473808_4	2616	3236	621	1	0.591	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_473808_5	3540	3737	198	1	0.667	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_473808_6	3745	4005	261	1	0.617	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1499886_1	3	266	264	-1	0.530	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1499886_2	375	920	546	-1	0.531	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1499886_3	953	2983	2031	1	0.679	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_79684_1	292	1761	1470	1	0.588	11	GGAG/GAGG	GENOMAD.014419.PP	9.71e-11	67	0	0	0	1	NA	NA	NA	NA	NA
k121_79684_2	1758	2627	870	1	0.590	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_79684_3	2952	3323	372	-1	0.591	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_79684_4	3320	3610	291	-1	0.584	11	GGAG/GAGG	GENOMAD.178620.PC	6.114e-08	51	0	0	0	1	NA	NA	NA	PF03693;TIGR02606;COG3609	putative addiction module antidote protein, CC2985 family
k121_79684_5	3672	4094	423	1	0.624	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1105610_1	302	694	393	1	0.570	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1105610_2	625	813	189	-1	0.566	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1105610_3	855	1106	252	-1	0.437	11	GGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1105610_4	2103	2540	438	1	0.459	11	GGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
