ID	Length	Coverage	# ORFs	RDS	Circular	Inc Type(s)	# Replication	# Mobilization	# OriT	# Conjugation	# AMRs	# rRNAs	# Plasmid Hits
k121_334724	91331	NA	107	0.0	yes	0	0	0	0	0	0	0	0
k121_95860	86521	NA	66	0.0	no	0	0	1	0	3	0	0	0
k121_264320	67933	NA	101	0.0	yes	0	0	0	0	0	0	0	0
k121_1895276	65467	NA	93	0.0	yes	0	0	0	0	0	0	0	0
k121_1895424	63398	NA	88	0.0	yes	0	0	0	0	0	0	0	0
k121_1895321	61101	NA	84	0.0	yes	0	0	0	0	0	0	0	0
k121_1895280	59335	NA	93	0.0	yes	0	0	0	0	0	0	0	0
k121_1895252	58561	NA	77	0.0	yes	0	0	0	0	0	0	0	0
k121_1895339	56932	NA	75	0.0	yes	0	0	0	0	0	0	0	0
k121_1895279	54857	NA	84	0.0	yes	0	0	0	0	0	0	0	0
k121_29841	54591	NA	71	0.0	yes	0	0	0	0	0	0	0	0
k121_266652	48086	NA	60	0.0	no	0	0	1	0	7	0	0	0
k121_1895266	45007	NA	54	0.0	yes	0	0	0	0	0	0	0	0
k121_1195242	44996	NA	67	0.0	yes	0	0	0	0	0	0	0	0
k121_159237	44221	NA	54	0.0	yes	0	0	0	0	0	0	0	0
k121_1895344	44042	NA	65	0.0	yes	0	0	0	0	0	0	0	0
k121_1895530	43095	NA	66	0.0	yes	0	0	0	0	0	0	0	0
k121_1895368	42597	NA	54	0.0	yes	0	0	0	0	0	0	0	0
k121_1809670	40930	NA	62	0.0	yes	0	0	0	0	0	0	0	0
k121_1895253	40919	NA	55	0.0	yes	0	0	0	0	0	0	0	0
k121_1895298	39813	NA	49	0.0	yes	0	0	0	0	0	0	0	0
k121_727336	39427	NA	61	0.0	yes	0	0	0	0	0	0	0	0
k121_1895259	39333	NA	50	0.0	yes	0	0	0	0	0	0	0	0
k121_826064	38995	NA	61	0.0	yes	0	0	0	0	0	0	0	0
k121_298138	38961	NA	73	0.0	yes	0	0	0	0	0	0	0	0
k121_1079345	38910	NA	63	0.0	yes	0	0	0	0	0	0	0	0
k121_1895256	38657	NA	59	0.0	yes	0	0	0	0	0	0	0	0
k121_47560	38373	NA	58	0.0	yes	0	0	0	0	0	0	0	0
k121_643268	38101	NA	46	0.0	yes	0	0	0	0	0	0	0	0
k121_245077	35504	NA	60	0.0	yes	0	0	0	0	0	0	0	0
k121_893198	33431	NA	48	0.0	yes	0	0	0	0	0	0	0	0
k121_1601228	33125	NA	54	0.0	yes	0	0	0	0	0	0	0	0
k121_1308941	32929	NA	56	0.0	yes	0	0	0	0	0	0	0	0
k121_618159	32305	NA	55	0.0	yes	0	0	0	0	0	0	0	0
k121_1895310	30848	NA	48	0.0	yes	0	0	0	0	0	0	0	0
k121_1485227	21631	NA	27	-0.1	no	0	1	0	0	0	0	0	0
k121_1651733	17108	NA	33	0.0	yes	0	0	0	0	0	0	0	0
k121_1326366	17095	NA	17	0.2	no	0	0	0	0	0	0	0	1
k121_1895431	16563	NA	22	0.0	yes	0	0	0	0	0	0	0	0
k121_93726	15530	NA	20	0.0	yes	0	0	0	0	0	0	0	0
k121_1680020	15424	NA	21	0.0	yes	0	0	0	0	0	0	0	0
k121_1895294	15383	NA	23	0.0	yes	0	0	0	0	0	0	0	0
