gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
k121_807914_1	3	254	252	1	0.437	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_807914_2	314	1333	1020	1	0.356	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_807914_3	2896	3108	213	1	0.437	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_807914_4	3092	3352	261	1	0.452	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_807914_5	3375	3575	201	1	0.418	11	GGAG/GAGG	GENOMAD.063981.PP	2.967e-10	56	0	0	0	1	NA	NA	NA	PF18495	Antitoxin VbhA
k121_807914_6	4013	4276	264	1	0.424	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1010017_1	1	957	957	1	0.607	11	None	GENOMAD.092909.PC	3.058e-24	107	0	1	0	1	NA	F_traH	NA	K12072	NA
k121_1010017_2	982	1245	264	1	0.644	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1481338_1	3	473	471	1	0.650	11	None	GENOMAD.093442.PC	2.083e-45	162	0	1	0	1	NA	F_traU	NA	PF06834;K12060;TIGR03756	TraU protein
k121_1481338_2	470	1039	570	1	0.663	11	3Base/5BMM	GENOMAD.080907.PC	1.432e-47	170	0	1	0	1	NA	F_trbC	NA	PF09673;K12059;TIGR02742	Type-F conjugative transfer system pilin assembly protein
k121_1346786_1	3	944	942	-1	0.489	11	AGGA	GENOMAD.116928.PC	3.827e-13	73	0	1	0	1	NA	T_virB6	NA	COG3846;K07344	Type IV secretory pathway, TrbL components
k121_1346786_2	952	1671	720	-1	0.490	11	GGAG/GAGG	GENOMAD.109739.PC	1.138e-17	85	0	1	0	1	NA	T_virB5	NA	COG5314;K20266	Conjugal transfer/entry exclusion protein
k121_1346786_3	1688	2458	771	-1	0.488	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_673803_1	1780	2010	231	1	0.398	4	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_673803_2	2129	2755	627	-1	0.400	4	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2088580_1	3	149	147	-1	0.293	11	TAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2088580_2	151	1500	1350	-1	0.344	11	AATAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2088580_3	3070	3480	411	-1	0.465	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_204060_1	1	759	759	1	0.462	11	None	GENOMAD.034566.PP	5.699e-09	59	0	1	0	1	NA	NA	NA	PF07042;COG5534	TrfA protein
k121_204060_2	829	1281	453	1	0.534	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_271751_1	3	2012	2010	1	0.503	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_271751_2	2031	2231	201	-1	0.478	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_271751_3	2490	3716	1227	-1	0.410	11	AGGA/GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1416232_1	1	759	759	-1	0.530	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1416232_2	878	1282	405	-1	0.521	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1416232_3	2014	3969	1956	1	0.452	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1753034_1	2	136	135	-1	0.689	11	AGGAG/GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1753034_2	230	1081	852	-1	0.610	11	AGxAGG/AGGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1753034_3	1078	2262	1185	-1	0.630	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1753034_4	2352	2678	327	1	0.627	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_137741_1	1	1626	1626	-1	0.526	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_137741_2	1632	2036	405	-1	0.437	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_137741_3	2207	3769	1563	1	0.502	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_137741_4	3778	4020	243	1	0.333	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_137741_5	4076	5248	1173	-1	0.516	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_541690_1	3	962	960	-1	0.633	11	3Base/5BMM	GENOMAD.009563.PP	1.312e-09	62	0	0	0	1	NA	NA	NA	PF12482	Phage integrase protein
k121_541690_2	987	1331	345	-1	0.643	11	AGGAG	GENOMAD.213321.VP	2.813e-31	119	0	0	0	11124	Peduoviridae	NA	NA	NA	NA
k121_541690_3	1741	2895	1155	1	0.626	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2562179_1	1	729	729	1	0.575	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2562179_2	824	1306	483	1	0.555	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2562179_3	1328	2629	1302	-1	0.581	11	AGxAGG/AGGxGG	GENOMAD.138315.CP	2.71e-05	49	0	0	0	1	NA	NA	NA	PF00529;K20345;TIGR01843;COG1566	type I secretion membrane fusion protein, HlyD family
k121_2562179_4	2632	3180	549	-1	0.599	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1956391_1	160	1611	1452	1	0.481	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1956391_2	1611	2663	1053	1	0.496	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1956391_3	2626	3963	1338	1	0.493	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1956391_4	4027	4302	276	1	0.471	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1687130_1	1	1092	1092	-1	0.559	11	AGxAGG/AGGxGG	GENOMAD.070148.PP	2.018e-05	49	0	1	0	1	NA	NA	NA	PF01051;COG5527	Protein involved in initiation of plasmid replication
k121_1956730_1	3	101	99	-1	0.667	11	GGxGG	GENOMAD.127310.PC	9.625e-06	41	0	1	0	1	NA	T_virB3	NA	PF05101;COG5268;K03198	Type IV secretory pathway, TrbD component
k121_1956730_2	98	430	333	-1	0.601	11	GGAG/GAGG	GENOMAD.116477.PC	2.325e-47	165	0	1	0	1	NA	T_virB2	NA	PF04956;K20528;COG3838	Type IV secretory pathway, VirB2 components (pilins)
k121_1956730_3	427	1101	675	-1	0.633	11	None	GENOMAD.005978.CC	1.645e-18	87	0	0	0	1	NA	T_virB11	NA	PF00437;PF05810;K07332;TIGR03819;COG4962	helicase/secretion neighborhood ATPase
k121_1754898_1	3	1187	1185	-1	0.604	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1754898_2	1177	1602	426	-1	0.620	11	None	GENOMAD.093413.PP	1.428e-75	248	0	1	0	1	NA	NA	NA	PF19514	MobC-like protein
k121_207576_1	1	945	945	-1	0.603	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_207576_2	976	2337	1362	-1	0.595	11	AGGAG	GENOMAD.178409.CP	6.434e-71	250	0	0	0	1	NA	NA	NA	PF07044	NA
k121_207576_3	2356	4098	1743	-1	0.573	11	GGAG/GAGG	GENOMAD.181744.CP	1.589e-84	295	0	0	0	1	NA	NA	NA	PF06980	NA
k121_207576_4	4500	4859	360	-1	0.658	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1688639_1	393	1037	645	-1	0.482	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1688639_2	1041	1244	204	-1	0.471	11	GGAG/GAGG	GENOMAD.116375.PP	3.111e-10	56	0	0	0	1	NA	NA	NA	NA	NA
k121_1688639_3	1361	1582	222	-1	0.559	11	AGGA/GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1688639_4	1660	1869	210	1	0.481	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1688639_5	1884	2513	630	-1	0.538	11	GGA/GAG/AGG	GENOMAD.221592.VP	0.000228	44	0	0	0	1	NA	NA	NA	PF18010;PF01541;TIGR02417;COG1609	Cry35Ab1 HTH C-terminal domain; GIY-YIG catalytic domain
k121_1688639_6	2939	3175	237	1	0.502	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
