,ID,Length,Coverage,# ORFs,RDS,Circular,Inc Type(s),# Replication,# Mobilization,# OriT,# Conjugation,# AMRs,# rRNAs,# Plasmid Hits
1,k121_1626805,10718,,10,0.0,no,0,0,1,0,0,0,0,0
11,k121_915177,4086,,3,0.0,no,0,0,1,0,0,0,0,0
13,k121_1510292,3184,,1,1.7,no,0,0,0,0,0,0,0,1
22,k121_1064704,2471,,3,0.0,no,0,0,1,0,0,0,0,0
28,k121_37209,2197,,3,0.0,no,0,0,1,0,0,0,0,0
30,k121_1035492,2078,,3,0.0,no,0,0,1,0,0,0,0,0
33,k121_627200,2029,,3,0.0,no,0,0,1,0,0,0,0,0
44,k121_1675487,1728,,3,0.0,no,0,0,1,0,0,0,0,0
52,k121_1176434,1560,,1,0.0,no,0,0,1,0,0,0,0,0
55,k121_704581,1498,,2,0.0,no,0,0,1,0,0,0,0,0
104,k121_264970,1060,,1,0.6,no,0,0,0,0,0,0,0,1
106,k121_284199,1058,,2,0.6,no,0,0,0,0,0,0,0,1
