,ID,Length,Coverage,# ORFs,RDS,Circular,Inc Type(s),# Replication,# Mobilization,# OriT,# Conjugation,# AMRs,# rRNAs,# Plasmid Hits
2,k121_671183,57075,,52,0.0,no,0,0,1,0,3,0,0,0
7,k121_1236568,35514,,28,0.0,no,0,1,0,0,0,0,0,0
8,k121_1280452,31818,,27,0.0,no,0,1,0,0,0,0,0,0
9,k121_569937,30791,,31,0.0,no,0,0,1,0,0,0,0,0
12,k121_1240520,22023,,21,0.1,no,0,0,0,0,0,0,0,1
13,k121_446367,17893,,14,0.0,no,0,1,0,0,0,0,0,0
15,k121_978605,14083,,12,0.0,no,0,1,0,0,0,0,0,0
16,k121_1523596,13862,,14,0.0,no,0,1,0,0,0,0,0,0
17,k121_1609901,12734,,14,0.1,no,0,0,0,0,5,0,0,1
20,k121_1222176,9554,,8,0.0,no,0,1,0,0,0,0,0,0
23,k121_1192471,7945,,5,0.0,no,0,0,1,0,1,0,0,0
27,k121_1437625,6591,,7,0.0,no,0,1,0,0,0,0,0,0
29,k121_1725973,6391,,8,0.0,no,0,1,0,0,0,0,0,0
30,k121_464638,5969,,7,0.0,no,0,0,1,0,0,0,0,0
31,k121_567229,5487,,3,0.1,no,0,0,0,0,0,0,0,1
34,k121_145334,5265,,7,0.0,no,0,0,1,0,0,0,0,0
38,k121_1248766,4928,,6,0.1,no,0,0,0,0,0,0,0,1
44,k121_1012742,4283,,6,0.1,no,0,0,0,0,0,0,0,1
47,k121_1348875,4072,,2,0.0,no,0,0,1,0,0,0,0,0
50,k121_532723,3933,,2,0.2,no,0,0,0,0,2,0,0,1
52,k121_610763,3787,,2,0.2,no,0,0,0,0,0,0,0,1
54,k121_1351083,3477,,3,0.0,no,0,1,0,0,0,0,0,0
55,k121_669395,3464,,4,0.0,no,0,0,1,0,0,0,0,0
57,k121_1049883,3406,,5,0.0,yes,0,0,1,0,0,0,0,0
60,k121_1235588,3308,,2,0.1,no,0,0,0,0,0,0,0,1
74,k121_38236,2853,,4,0.2,no,0,0,0,0,0,0,0,1
82,k121_938168,2760,,1,0.1,no,0,0,0,0,0,0,0,1
85,k121_1360814,2706,,3,0.3,no,0,0,0,0,0,0,0,1
89,k121_1493109,2624,,3,0.0,no,0,0,1,0,0,0,0,0
91,k121_631347,2594,,2,0.0,no,0,1,0,0,0,0,0,0
93,k121_582661,2553,,3,0.0,no,0,1,0,0,0,0,0,0
97,k121_322807,2489,,3,0.1,no,0,0,0,0,0,0,0,1
98,k121_1361740,2479,,3,0.0,no,0,1,0,0,0,0,0,0
100,k121_541155,2471,,2,7.8,no,0,0,0,0,0,0,0,0
104,k121_1326593,2436,,3,0.0,no,0,1,0,0,0,0,0,0
106,k121_1788680,2376,,4,0.5,no,0,0,0,0,0,0,0,1
108,k121_1458262,2369,,1,0.0,no,0,0,1,0,0,0,0,0
114,k121_129332,2260,,2,0.4,no,0,0,0,0,0,0,0,1
116,k121_1689965,2235,,1,0.1,no,0,0,0,0,0,0,0,1
122,k121_462623,2160,,2,0.1,no,0,0,0,0,0,0,0,1
124,k121_800830,2126,,1,0.0,no,0,1,0,0,0,0,0,0
126,k121_284407,2103,,3,0.0,no,0,1,0,0,0,0,0,0
129,k121_845791,2062,,1,0.0,no,0,0,1,0,0,0,0,0
136,k121_983095,1975,,2,0.3,no,0,0,0,0,0,0,0,1
143,k121_199507,1898,,1,0.1,no,0,0,0,0,0,0,0,1
144,k121_1313077,1892,,1,0.1,no,0,0,0,0,0,0,0,1
146,k121_1325721,1881,,2,0.2,no,0,0,0,0,1,0,0,1
148,k121_597154,1848,,3,0.3,no,0,0,0,0,0,0,0,1
151,k121_4695,1838,,2,0.2,no,0,0,0,0,0,0,0,1
161,k121_456917,1757,,2,0.2,no,0,0,0,0,0,0,0,1
162,k121_45776,1747,,2,1.8,no,0,0,0,0,0,0,0,1
163,k121_672593,1737,,2,7.8,no,0,0,0,0,0,0,0,0
164,k121_351254,1737,,2,0.1,no,0,0,0,0,0,0,0,1
167,k121_1481923,1720,,2,7.4,no,0,0,0,0,0,0,0,0
170,k121_772932,1708,,1,0.1,no,0,0,0,0,0,0,0,1
173,k121_1714202,1696,,1,0.1,no,0,0,0,0,0,0,0,1
175,k121_1697329,1686,,2,0.2,no,0,0,0,0,1,0,0,1
178,k121_25629,1678,,1,0.4,no,0,0,0,0,0,0,0,1
184,k121_80058,1656,,1,0.1,no,0,0,0,0,0,0,0,1
188,k121_1536350,1641,,1,0.1,no,0,0,0,0,0,0,0,1
197,k121_349102,1610,,2,0.2,no,0,0,0,0,0,0,0,1
201,k121_360455,1602,,1,0.0,no,0,1,0,0,0,0,0,0
205,k121_1029542,1591,,2,0.0,no,0,1,0,0,0,0,0,0
208,k121_794149,1586,,2,0.1,no,0,0,0,0,0,0,0,1
210,k121_1467170,1568,,2,0.7,no,0,0,0,0,0,0,0,1
213,k121_607435,1536,,3,0.0,no,0,1,0,0,0,0,0,0
218,k121_613303,1460,,1,0.1,no,0,1,0,0,0,0,0,1
228,k121_649251,1402,,3,0.2,no,0,0,0,0,0,0,0,1
234,k121_1201266,1392,,1,5.2,no,0,0,0,0,0,0,0,1
235,k121_784029,1384,,2,0.2,no,0,0,0,0,0,0,0,1
236,k121_409213,1383,,1,0.0,no,0,1,0,0,0,0,0,0
237,k121_157232,1380,,2,0.2,no,0,0,0,0,0,0,0,1
239,k121_417562,1367,,1,0.0,no,0,0,1,0,0,0,0,0
241,k121_322028,1364,,2,1.1,no,0,0,0,0,0,0,0,0
243,k121_1200077,1358,,1,0.9,no,0,0,0,0,0,0,0,1
247,k121_1236013,1331,,1,0.4,no,0,0,0,0,0,0,0,1
253,k121_1355293,1305,,1,0.1,no,0,0,0,0,0,0,0,1
255,k121_855322,1301,,2,0.3,no,0,0,0,0,0,0,0,1
257,k121_247074,1298,,1,0.6,no,0,0,0,0,0,0,0,1
259,k121_29777,1285,,1,0.0,no,0,0,1,0,0,0,0,0
262,k121_1255278,1258,,1,0.4,no,0,0,0,0,0,0,0,1
263,k121_182227,1256,,2,0.9,no,0,0,0,0,0,0,0,1
267,k121_1655373,1239,,1,0.1,no,0,0,0,0,0,0,0,1
268,k121_1405147,1238,,1,0.1,no,0,0,0,0,0,0,0,1
270,k121_511865,1228,,1,0.1,no,0,0,0,0,0,0,0,1
278,k121_180599,1186,,2,0.4,no,0,0,0,0,0,0,0,1
279,k121_890783,1184,,1,0.1,no,0,0,0,0,0,0,0,1
281,k121_337527,1177,,1,4.0,no,0,0,0,0,0,0,0,0
282,k121_927474,1174,,1,0.0,no,0,1,0,0,0,0,0,0
285,k121_135637,1163,,1,0.4,no,0,0,0,0,0,0,0,1
288,k121_777004,1153,,1,0.1,no,0,0,0,0,0,0,0,1
299,k121_218458,1107,,1,0.0,no,1,0,0,0,0,0,0,0
305,k121_84379,1085,,1,0.9,no,0,0,0,0,0,0,0,1
316,k121_1505343,1046,,1,0.0,no,0,1,0,0,0,0,0,0
321,k121_404835,1038,,3,0.1,no,0,0,0,0,0,0,0,1
325,k121_328427,1028,,1,0.0,no,0,1,0,0,0,0,0,0
328,k121_764614,1020,,2,1.1,no,0,0,0,0,0,0,0,1
329,k121_1548424,1017,,1,0.6,no,0,0,0,0,0,0,0,1
335,k121_730763,1008,,1,0.1,no,0,0,0,0,0,0,0,1
341,k121_1353083,1000,,1,0.1,no,0,0,0,0,0,0,0,1
