gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
k121_278507_1	172	1176	1005	1	0.315	11	None	GENOMAD.015439.PP	3.544e-05	48	0	1	0	1	NA	NA	NA	PF01051;COG5527	Protein involved in initiation of plasmid replication
k121_278507_2	1722	1970	249	1	0.297	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_278507_3	1973	2380	408	1	0.289	11	None	GENOMAD.191476.PC	2.463e-06	48	0	0	0	1	NA	NA	NA	PF14367;K18828;COG1487;TIGR00028	Predicted nucleic acid-binding protein, contains PIN domain
k121_1491964_1	117	338	222	1	0.559	11	3Base/5BMM	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1491964_2	419	691	273	1	0.615	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1491964_3	728	949	222	1	0.595	11	GGAG/GAGG	GENOMAD.096155.PP	3.697e-18	79	0	1	0	1	NA	NA	NA	PF19807;COG4691;TIGR04563	Plasmid stability protein
k121_1491964_4	940	1107	168	1	0.583	11	None	GENOMAD.206999.PC	4.328e-23	92	0	0	0	1	NA	NA	NA	PF14367;K18828;COG4113;TIGR00028	Predicted nucleic acid-binding protein, contains PIN domain
k121_224883_1	1	597	597	1	0.606	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_224883_2	603	929	327	1	0.639	11	AGGA	GENOMAD.078663.PP	1.959e-24	99	0	1	0	1	NA	NA	NA	PF06412	Conjugal transfer protein TraD
k121_224883_3	946	1176	231	1	0.615	11	GGA/GAG/AGG	GENOMAD.092984.PC	1.603e-27	106	0	1	0	1	NA	NA	NA	PF06412	Conjugal transfer protein TraD
k121_832925_1	2	523	522	-1	0.720	11	None	GENOMAD.101048.PP	1.496e-20	91	0	1	0	1	NA	NA	NA	PF11740	Plasmid replication region DNA-binding N-term
k121_832925_2	743	1066	324	1	0.651	11	None	GENOMAD.189628.CP	5.531e-37	135	0	0	0	1	NA	NA	NA	PF07045;COG5470	Uncharacterized conserved protein, DUF1330 family
k121_832925_3	1295	2047	753	1	0.672	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2047031_1	1	306	306	-1	0.670	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2047031_2	303	770	468	-1	0.707	11	GGxGG	GENOMAD.060312.PP	5.665e-15	74	0	1	0	1	NA	NA	NA	PF09677;TIGR02744	type-F conjugative transfer system protein TrbI
k121_2047031_3	767	2371	1605	-1	0.696	11	None	GENOMAD.088850.PC	1.369e-15	83	0	0	0	1	NA	NA	NA	PF19357	NA
k121_667489_1	3	689	687	-1	0.747	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_667489_2	697	1533	837	-1	0.691	11	None	GENOMAD.142566.PC	7.171e-50	181	0	1	0	1	NA	F_traK	NA	PF06586;K12066;TIGR02756	type-F conjugative transfer system secretin TraK
k121_667489_3	1552	2271	720	-1	0.708	11	GGAG/GAGG	GENOMAD.092876.PC	2.025e-37	143	0	1	0	1	NA	F_traE	NA	PF05309;K12067;TIGR02761	type IV conjugative transfer system protein TraE
k121_667489_4	2282	2410	129	-1	0.698	11	None	GENOMAD.085868.PC	1.551e-12	61	0	1	0	1	NA	F_traL	NA	PF07178;K12068;TIGR02762	TraL protein
k121_1110535_1	3	317	315	1	0.597	11	None	GENOMAD.177338.PC	9.111e-07	48	0	0	0	1	NA	NA	NA	PF13683	Integrase core domain
k121_1110535_2	331	804	474	-1	0.487	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1110535_3	980	1267	288	-1	0.601	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1110535_4	1494	1964	471	1	0.652	11	GGA/GAG/AGG	GENOMAD.126782.PC	8.171e-21	91	0	1	0	1	NA	NA	NA	PF14319;COG5655	Transposase zinc-binding domain
k121_1110535_5	2059	2688	630	1	0.640	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1110535_6	2833	3153	321	-1	0.629	11	None	GENOMAD.190617.PC	4.824e-06	46	0	0	0	1	NA	NA	NA	PF04966;COG3659;K07267	Carbohydrate-selective porin OprB
k121_176366_1	1	120	120	1	0.558	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_176366_2	283	489	207	-1	0.541	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_176366_3	631	897	267	-1	0.554	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_176366_4	1011	1238	228	1	0.588	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_176366_5	1235	1729	495	1	0.624	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_176366_6	1790	2023	234	1	0.530	11	GGA/GAG/AGG	GENOMAD.178620.PC	2.203e-10	57	0	0	0	1	NA	NA	NA	PF03693;TIGR02606;COG3609	putative addiction module antidote protein, CC2985 family
k121_176366_7	2137	2427	291	1	0.560	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_176366_8	2428	2718	291	1	0.550	11	None	GENOMAD.147643.PC	3.483e-21	89	0	1	0	1	NA	NA	NA	PF05016;COG3668;TIGR02385	Plasmid stabilization system protein ParE
k121_176366_9	3125	3334	210	1	0.571	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_176366_10	3334	3612	279	1	0.577	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1115896_1	198	920	723	1	0.705	11	AGGAGG	GENOMAD.082443.PC	2.481e-18	87	0	1	0	1	NA	T_virB5	NA	PF07996;K03200;TIGR02791;COG5314	Type IV secretion system proteins
k121_1115896_2	936	1283	348	1	0.672	11	None	GENOMAD.099181.PC	2.498e-08	53	0	1	0	1	NA	T_virB6	NA	COG3704;K03201	Type IV secretory pathway, VirB6 components
k121_1284693_1	1	498	498	1	0.426	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1284693_2	483	998	516	1	0.421	11	GGAG/GAGG	GENOMAD.117317.PC	1.196e-09	59	0	1	0	1	NA	NA	NA	PF10502;COG4959;TIGR02771;K12062	Type IV secretory pathway, protease TraF
k121_1284693_3	983	2080	1098	1	0.404	11	None	GENOMAD.097073.PC	1.896e-15	81	0	0	0	1	NA	NA	NA	PF00795;TIGR04048;COG0388;K18540	Carbon-nitrogen hydrolase
k121_629662_1	1	1593	1593	1	0.403	11	None	GENOMAD.082259.PC	1.277e-19	96	0	1	0	1	NA	F_traN	NA	PF06986;PF09673;TIGR02750;K12058	type-F conjugative transfer system mating-pair stabilization protein TraN
k121_629662_2	1643	1924	282	1	0.390	11	TAAAAA	GENOMAD.084811.PC	2.434e-08	52	0	1	0	1	NA	F_traF	NA	PF13728;K12057;TIGR02739;COG0386	type-F conjugative transfer system pilin assembly protein TraF
k121_902883_1	1	363	363	-1	0.713	11	GGAG/GAGG	GENOMAD.092876.PC	9.85e-21	89	0	1	0	1	NA	F_traE	NA	PF05309;K12067;TIGR02761	type IV conjugative transfer system protein TraE
k121_902883_2	374	664	291	-1	0.694	11	GGAG/GAGG	GENOMAD.078260.PC	2.544e-24	98	0	1	0	1	NA	F_traL	NA	PF07178;K12068;TIGR02762	type IV conjugative transfer system protein TraL
k121_902883_3	848	1279	432	-1	0.676	11	GGA/GAG/AGG	GENOMAD.109397.PC	3.057e-35	132	0	1	0	1	NA	NA	NA	COG3838;K20528	Type IV secretory pathway, VirB2 components (pilins)
