,ID,Length,Coverage,# ORFs,RDS,Circular,Inc Type(s),# Replication,# Mobilization,# OriT,# Conjugation,# AMRs,# rRNAs,# Plasmid Hits
2,k121_83421,25479,,26,0.0,no,0,0,1,0,0,0,0,0
3,k121_820926,18137,,22,0.0,no,0,0,1,0,0,0,0,0
4,k121_2121572,17576,,13,0.0,no,0,1,0,0,0,0,0,0
9,k121_738195,13939,,15,0.0,no,0,0,1,0,0,0,0,0
12,k121_215996,13071,,19,0.0,no,0,0,1,0,0,0,0,0
13,k121_2010082,12640,,14,0.0,no,0,0,1,0,0,0,0,0
14,k121_727661,10698,,8,0.0,no,0,1,0,0,0,0,0,0
16,k121_1302694,10112,,4,0.0,no,0,0,1,0,0,0,0,0
17,k121_1657190,8788,,8,-0.2,no,0,0,1,0,1,0,0,0
18,k121_1545835,8595,,12,0.0,no,0,0,1,0,0,0,0,0
21,k121_1452950,7340,,10,0.0,no,0,0,1,0,0,0,0,0
42,k121_1614367,5481,,6,0.0,yes,0,0,1,0,0,0,0,0
45,k121_125263,5242,,6,0.0,no,0,0,1,0,0,0,0,0
59,k121_1103179,4374,,7,0.0,no,0,0,1,0,0,0,0,0
62,k121_1549555,4251,,6,0.0,yes,0,0,1,0,0,0,0,0
66,k121_576566,3948,,7,0.0,no,0,0,1,0,0,0,0,0
68,k121_2139564,3736,,4,0.0,yes,0,1,0,0,0,0,0,0
78,k121_723931,3438,,3,0.0,no,0,1,0,0,0,0,0,0
80,k121_716942,3305,,2,0.0,no,0,0,1,0,0,0,0,0
82,k121_310352,2936,,3,0.0,yes,0,0,1,0,0,0,0,0
85,k121_1744219,2914,,2,0.0,no,0,0,1,0,0,0,0,0
88,k121_1266597,2838,,2,0.0,no,0,0,1,0,0,0,0,0
89,k121_1138378,2833,,4,0.0,no,0,0,1,0,0,0,0,0
90,k121_1636927,2822,,4,0.0,yes,0,0,1,0,0,0,0,0
93,k121_269182,2735,,4,0.0,no,0,0,1,0,0,0,0,0
94,k121_1804181,2720,,2,0.0,no,0,0,1,0,0,0,0,0
96,k121_269041,2625,,4,0.0,no,0,0,1,0,0,0,0,0
97,k121_63931,2598,,4,0.0,no,0,0,1,0,0,0,0,0
101,k121_1194926,2588,,4,0.0,no,0,1,0,0,0,0,0,0
102,k121_178524,2576,,2,2.6,no,0,0,0,0,0,0,0,0
109,k121_1106284,2154,,3,0.0,no,0,0,1,0,0,0,0,0
111,k121_1827617,2131,,2,0.0,no,0,0,1,0,0,0,0,0
115,k121_360653,2111,,3,0.0,no,0,0,1,0,0,0,0,0
119,k121_1936567,2073,,2,0.0,no,0,0,1,0,0,0,0,0
120,k121_310058,2073,,1,0.0,no,0,0,1,0,0,0,0,0
123,k121_1070291,2039,,1,0.0,no,0,0,1,0,0,0,0,0
126,k121_1640931,2001,,1,0.0,yes,0,0,0,0,0,0,0,1
152,k121_1369984,1750,,1,0.1,no,0,0,0,0,0,0,0,1
163,k121_456434,1616,,2,0.0,no,0,1,0,0,0,0,0,0
172,k121_1493014,1563,,3,0.0,no,0,0,1,0,0,0,0,0
181,k121_282315,1470,,2,0.0,no,0,0,1,0,0,0,0,0
185,k121_1497405,1443,,1,0.0,no,0,1,0,0,0,0,0,0
189,k121_2094305,1427,,1,0.0,no,0,0,1,0,0,0,0,0
190,k121_1602820,1409,,1,0.1,no,0,0,0,0,0,0,0,1
197,k121_363120,1387,,1,0.1,no,0,0,0,0,0,0,0,1
205,k121_811754,1349,,1,0.1,no,0,0,0,0,0,0,0,1
208,k121_996957,1323,,1,2.1,no,0,0,0,0,0,0,0,1
212,k121_1276375,1309,,1,0.0,no,0,0,1,0,0,0,0,0
222,k121_1798076,1271,,1,0.0,no,0,0,1,0,0,0,0,0
228,k121_231232,1239,,1,0.1,no,0,0,0,0,0,0,0,1
230,k121_1650622,1221,,1,0.6,no,0,0,0,0,0,0,0,1
235,k121_816068,1203,,1,0.0,no,0,0,1,0,0,0,0,0
238,k121_623592,1188,,1,0.0,no,0,0,1,0,0,0,0,0
242,k121_139013,1176,,2,6.6,no,0,0,0,0,0,0,0,0
243,k121_542056,1171,,2,0.9,no,0,0,0,0,0,0,0,0
256,k121_884725,1128,,1,0.0,no,0,0,1,0,0,0,0,0
257,k121_336767,1124,,1,0.0,no,0,1,0,0,0,0,0,0
268,k121_1575241,1102,,1,0.1,no,0,0,0,0,0,0,0,1
285,k121_156701,1049,,1,0.0,no,0,0,1,0,0,0,0,0
298,k121_423971,1033,,1,0.1,no,0,0,0,0,0,0,0,1
309,k121_1366231,1015,,1,0.1,no,0,0,0,0,0,0,0,1
316,k121_1059533,1000,,1,0.0,no,0,0,1,0,0,0,0,0
