,ID,Length,Coverage,# ORFs,RDS,Circular,Inc Type(s),# Replication,# Mobilization,# OriT,# Conjugation,# AMRs,# rRNAs,# Plasmid Hits
0,k121_500914,121270,,113,-0.1,no,0,0,1,0,0,0,0,0
2,k121_1643448,71420,,68,0.0,no,0,0,1,0,0,0,0,0
3,k121_929077,45555,,40,0.0,no,0,0,1,0,0,0,0,0
19,k121_1132154,6934,,8,0.1,no,0,0,1,0,0,0,0,0
79,k121_499263,3400,,4,0.0,no,0,0,1,0,0,0,0,0
84,k121_319887,3157,,5,0.2,yes,0,0,1,0,0,0,0,0
94,k121_1810973,2830,,6,0.0,no,0,0,1,0,0,0,0,0
108,k121_461841,2468,,1,0.1,no,0,0,0,0,0,0,0,1
126,k121_250813,2208,,3,0.0,no,0,0,1,0,0,0,0,0
134,k121_465590,2142,,2,0.0,no,0,0,1,0,0,0,0,0
159,k121_1134649,1852,,2,0.0,no,0,0,1,0,0,0,0,0
189,k121_1583170,1657,,2,0.0,no,0,0,1,0,0,0,0,0
236,k121_361277,1399,,2,0.3,no,0,0,0,0,0,0,0,1
245,k121_616453,1378,,1,1.6,no,0,0,0,0,0,0,0,0
259,k121_1554931,1328,,1,0.4,no,0,0,0,0,0,0,0,1
270,k121_147071,1299,,2,0.3,no,0,0,0,0,0,0,0,1
278,k121_120727,1267,,2,0.2,no,0,0,0,0,0,0,0,1
284,k121_246292,1246,,1,0.2,no,0,0,0,0,0,0,0,1
316,k121_1662410,1145,,3,0.4,no,0,0,0,0,0,0,0,1
