seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k121_921657	4107	No terminal repeats	3	11	0.9988	0.0012	2	4.1615	NA	NA
k121_282742	1027	No terminal repeats	3	11	0.9988	0.0012	3	4.2361	MOBQ	NA
k121_972793	1431	No terminal repeats	3	11	0.9988	0.0012	2	3.2636	NA	NA
k121_2691263	1268	No terminal repeats	3	11	0.9988	0.0012	3	4.9288	F_traV;F_traL	NA
k121_2730283	19782	No terminal repeats	27	11	0.9987	0.0012	6	12.8710	T_virB5;virb4;T_virB3;MOBP1	NA
k121_1090912	1021	No terminal repeats	2	11	0.9986	0.0012	1	2.8362	F_traU	NA
k121_1175377	1390	No terminal repeats	3	11	0.9986	0.0013	3	4.7049	F_traL;F_traE;F_traK	NA
k121_2873893	1280	No terminal repeats	4	11	0.9986	0.0013	4	6.4097	F_traK;F_traE;F_traL	NA
k121_1967704	2741	No terminal repeats	4	11	0.9985	0.0013	1	2.4019	F_traE	NA
k121_2116613	7564	No terminal repeats	11	11	0.9985	0.0013	5	7.8605	virb4;T_virB3;T_virB2;MOBP1	NA
k121_2136384	1194	No terminal repeats	3	11	0.9985	0.0013	3	3.7668	T_virB6;T_virB5	NA
k121_2297249	2326	No terminal repeats	3	11	0.9985	0.0013	1	2.8723	NA	NA
k121_2506411	1073	No terminal repeats	2	11	0.9985	0.0014	2	2.8317	virb4	NA
k121_1013518	1730	No terminal repeats	2	11	0.9985	0.0014	2	3.3585	NA	NA
k121_1112369	3187	No terminal repeats	3	11	0.9985	0.0014	3	3.3107	T_virB5;virb4;T_virB3	NA
k121_2185040	1296	No terminal repeats	2	11	0.9985	0.0014	2	2.6841	F_traK	NA
k121_34770	3367	No terminal repeats	5	11	0.9984	0.0014	4	5.5461	F_traK;F_traB;F_traV	NA
k121_261613	3757	No terminal repeats	5	11	0.9984	0.0014	2	2.3581	G_tfc23;F_traF	NA
k121_2729190	3890	No terminal repeats	4	11	0.9983	0.0014	2	4.7271	F_traV	NA
k121_1762399	3375	No terminal repeats	4	11	0.9982	0.0014	4	5.6533	F_traE;F_traK;F_traB;F_traV	NA
k121_2024003	1427	No terminal repeats	3	11	0.9982	0.0015	2	2.3794	F_trbC;F_traF	NA
k121_1797002	1826	No terminal repeats	3	11	0.9981	0.0015	1	2.7146	NA	NA
k121_1496791	3395	No terminal repeats	4	11	0.9979	0.0015	4	5.5664	t4cp1;F_traL;F_traE	NA
k121_1462599	1047	No terminal repeats	2	11	0.9978	0.0015	2	2.6329	F_traB;F_traV	NA
k121_2653704	4224	No terminal repeats	4	11	0.9977	0.0016	3	3.6991	F_traN;F_traF;F_traH	NA
k121_675609	10276	No terminal repeats	14	11	0.9977	0.0016	1	6.4946	NA	NA
k121_1916242	19495	No terminal repeats	19	11	0.9975	0.0016	5	4.6187	F_traB;F_traV;F_traF;F_traH;T_virB11;F_trbC	NA
k121_1407798	15081	No terminal repeats	12	11	0.9973	0.0017	6	3.9780	T_virB11;T_virB9;T_virB6;virb4;T_virB3	NA
k121_432713	3610	No terminal repeats	4	11	0.9973	0.0017	3	3.2072	T_virB10;T_virB9;T_virB6	NA
k121_241658	2389	No terminal repeats	2	11	0.9972	0.0017	2	2.7175	MOBH	NA
k121_664944	1646	No terminal repeats	2	11	0.9964	0.0018	2	2.0261	T_virB8;T_virB9	NA
k121_267111	1510	No terminal repeats	3	11	0.9959	0.0019	1	2.3994	NA	NA
k121_2462882	2380	No terminal repeats	2	11	0.9959	0.0019	2	2.1742	virb4;T_virB6	NA
k121_2410770	12891	No terminal repeats	18	11	0.9956	0.0020	3	5.1902	MOBH;T_virB1	NA
k121_1976988	15328	No terminal repeats	22	11	0.9951	0.0021	3	6.9834	F_traU;F_trbC;F_traK	NA
k121_1737033	1618	No terminal repeats	2	11	0.9945	0.0022	1	1.6987	NA	NA
k121_2104952	1503	No terminal repeats	3	11	0.9942	0.0023	2	2.1659	T_virB8;T_virB6	NA
k121_100425	8147	No terminal repeats	9	11	0.9939	0.0024	1	1.5314	NA	NA
k121_2213377	2211	No terminal repeats	4	11	0.9922	0.0025	2	3.3981	T_virB5;T_virB6	NA
