gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
k121_752276_1	3	5495	5493	1	0.708	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_752276_2	5624	5983	360	1	0.706	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_752276_3	6025	6183	159	1	0.673	11	GGA/GAG/AGG	GENOMAD.194853.PC	1.684e-09	53	0	0	0	1	NA	NA	NA	PF19502;COG4914	Nucleotidyltransferase of unknown function (DUF6036)
k121_602228_1	1	555	555	1	0.546	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_602228_2	659	1156	498	1	0.520	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_602228_3	1225	1584	360	1	0.478	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_602228_4	2053	3201	1149	1	0.527	11	AGGA/GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_677432_1	2	664	663	-1	0.588	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_677432_2	795	1235	441	-1	0.633	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_677432_3	1567	2457	891	1	0.622	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_527014_1	3	119	117	-1	0.538	11	GGA/GAG/AGG	GENOMAD.178620.PC	2.659e-06	43	0	0	0	1	NA	NA	NA	PF03693;TIGR02606;COG3609	putative addiction module antidote protein, CC2985 family
k121_527014_2	180	674	495	-1	0.600	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_527014_3	1075	1674	600	-1	0.502	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_527014_4	1716	2051	336	-1	0.536	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_527014_5	2107	2328	222	1	0.523	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_527014_6	2488	2718	231	1	0.606	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_752718_1	3	755	753	-1	0.608	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_752718_2	1108	1302	195	-1	0.641	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_752718_3	1302	1427	126	-1	0.595	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_752718_4	1678	1926	249	1	0.659	11	GGAG/GAGG	GENOMAD.183097.PC	3.451e-08	51	0	0	0	1	NA	NA	NA	PF15937;COG4456;TIGR02609	Virulence-associated protein VagC (function unknown)
k121_752718_5	1926	2243	318	1	0.626	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_752718_6	2345	2578	234	-1	0.551	11	AGGAG	GENOMAD.209044.CP	6.998e-07	47	0	0	0	1	NA	NA	NA	PF08681;COG4453	Uncharacterized conserved protein, DUF1778 family
k121_602457_1	2	145	144	1	0.833	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_602457_2	433	1374	942	-1	0.693	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2031770_1	2	559	558	1	0.634	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_2031770_2	585	1349	765	1	0.731	11	GGA/GAG/AGG	GENOMAD.206106.PC	2.784e-40	152	0	0	0	1	NA	NA	NA	NA	NA
k121_2031770_3	1346	2323	978	1	0.694	11	GGAG/GAGG	GENOMAD.209537.PC	1.21e-54	197	0	0	0	1	NA	NA	NA	PF00487;COG3239;K02294	Fatty acid desaturase
k121_2031770_4	2408	2707	300	1	0.657	11	None	GENOMAD.125861.CP	6.866e-08	51	0	0	0	1	NA	NA	NA	PF13022;PF16925;K18939;TIGR03384;COG3226	transcriptional repressor BetI
k121_1054206_1	1	1386	1386	1	0.709	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1054206_2	2071	2562	492	1	0.545	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1054206_3	2642	2848	207	1	0.754	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1129464_1	2	547	546	1	0.658	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1129464_2	664	1749	1086	-1	0.655	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1129464_3	1828	2913	1086	-1	0.669	11	AGxAGG/AGGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1129464_4	2906	3775	870	-1	0.674	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1129543_1	563	1009	447	-1	0.579	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1129543_2	1006	1260	255	-1	0.624	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1129543_3	1750	2319	570	-1	0.572	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1129543_4	2321	2794	474	-1	0.559	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1129543_5	3019	3252	234	1	0.513	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1129543_6	3417	5396	1980	-1	0.553	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_753665_1	1	1068	1068	1	0.355	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_753665_2	1438	1920	483	1	0.346	11	ATA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_753665_3	2157	2408	252	1	0.313	11	ATA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_753665_4	2409	2666	258	1	0.260	11	ATA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_753665_5	2750	2992	243	1	0.379	11	TAAAT	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_753665_6	3037	3546	510	1	0.327	11	TATA	GENOMAD.161402.PC	4.044e-15	75	0	0	0	1	NA	NA	NF012147	PF19583;K18782;TIGR04558;COG0491	quinoprotein relay system zinc metallohydrolase 1
k121_1505375_1	1	288	288	-1	0.556	11	GGA/GAG/AGG	GENOMAD.189640.PC	1.924e-11	61	0	0	0	1	NA	NA	NA	PF12551	Poly-beta-hydroxybutyrate polymerase N terminal
k121_1505375_2	416	1234	819	-1	0.386	11	GGAG/GAGG	GENOMAD.137959.CP	6.054e-07	53	0	0	0	1	NA	NA	NA	PF15977;K15861;TIGR03697;COG0664	global nitrogen regulator NtcA, cyanobacterial
k121_1505375_3	1590	1769	180	1	0.439	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1505375_4	1882	2127	246	-1	0.480	11	GGAG/GAGG	GENOMAD.196302.VP	3.707e-07	48	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
k121_1505375_5	2313	2627	315	-1	0.476	11	None	GENOMAD.208338.PC	1.376e-10	59	0	0	0	1	NA	NA	NA	PF08895	NA
k121_1505375_6	2909	3460	552	1	0.569	11	GGA/GAG/AGG	GENOMAD.142853.CP	3.532e-07	52	0	0	0	1	NA	NA	NA	PF09086;PF16339;TIGR04494;COG3245;K12263	cytochrome c-550 PedF
k121_1505375_7	3501	5243	1743	-1	0.529	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1505375_8	5240	5665	426	-1	0.556	11	None	GENOMAD.124300.CP	2.492e-19	86	0	0	0	2561	Caudoviricetes	NA	NA	PF00871;PF06130;K00925;TIGR00016;COG0282	acetate kinase
k121_1656210_1	220	429	210	-1	0.586	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1656210_2	567	1025	459	1	0.514	11	GGA/GAG/AGG	GENOMAD.168615.CP	1.637e-08	55	0	0	0	1	NA	NA	NA	PF14696;K08234;TIGR03645;COG3324	Hydroxyphenylpyruvate dioxygenase, HPPD, N-terminal
k121_1656210_3	1022	1174	153	-1	0.608	11	AGGAG/GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1656210_4	1179	1313	135	-1	0.578	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1656210_5	1437	1838	402	1	0.545	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1656210_6	1835	2242	408	1	0.623	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
k121_1656210_7	2239	2808	570	1	0.625	11	GGA/GAG/AGG	GENOMAD.183012.PC	8.161e-97	312	0	0	0	1	NA	NA	NA	PF04733;COG4715	Uncharacterized conserved protein, contains Zn finger domain
k121_754051_1	2	247	246	-1	0.756	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
