ID	Length	Coverage	# ORFs	RDS	Circular	Inc Type(s)	# Replication	# Mobilization	# OriT	# Conjugation	# AMRs	# rRNAs	# Plasmid Hits
k121_1494985	99394	NA	114	0.0	yes	0	0	0	0	0	0	0	0
k121_1495021	67862	NA	99	0.0	yes	0	0	0	0	0	0	0	0
k121_1494971	55322	NA	74	0.0	yes	0	0	0	0	0	0	0	0
k121_1495128	51630	NA	81	0.0	yes	0	0	0	0	0	0	0	0
k121_71925	49105	NA	66	0.0	yes	0	0	0	0	0	0	0	0
k121_1452238	45755	NA	71	0.0	yes	0	0	0	0	0	0	0	0
k121_1495102	44698	NA	76	0.0	yes	0	0	0	0	0	0	0	0
k121_865793	44263	NA	54	0.0	yes	0	0	0	0	0	0	0	0
k121_1494976	43979	NA	56	0.0	yes	0	0	0	0	0	0	0	0
k121_1495044	43620	NA	66	0.0	yes	0	0	0	0	0	0	0	0
k121_1414187	42630	NA	69	0.0	yes	0	0	0	0	0	0	0	0
k121_1494978	41977	NA	53	0.0	yes	0	0	0	0	0	0	0	0
k121_1495543	40923	NA	66	0.0	yes	0	0	0	0	0	0	0	0
k121_1495365	24690	NA	48	0.0	yes	0	0	0	0	0	0	0	0
k121_1226081	19375	NA	16	0.0	no	0	0	1	0	0	0	0	0
k121_1432127	18053	NA	17	0.0	no	0	1	0	0	0	0	0	0
k121_813153	17538	NA	19	0.0	no	0	0	1	0	0	0	0	0
k121_1494980	16105	NA	37	0.0	yes	0	0	0	0	0	0	0	0
k121_1496787	14736	NA	17	0.0	yes	0	0	0	0	0	0	0	0
k121_991758	12132	NA	13	0.0	no	0	0	1	0	0	0	0	0
k121_607784	11073	NA	12	1.0	no	0	0	0	0	0	1	0	0
k121_82726	10185	NA	10	0.0	yes	0	0	0	0	0	0	0	0
k121_1494968	10035	NA	15	0.0	yes	0	0	0	0	0	0	0	0
k121_364298	8674	NA	8	0.0	no	0	1	0	0	0	0	0	0
k121_464715	7611	NA	7	0.0	no	0	0	1	0	0	0	0	0
k121_507976	6606	NA	7	0.0	no	0	0	1	0	0	0	0	0
k121_1495269	6468	NA	10	0.0	yes	0	0	0	0	0	0	0	0
k121_674701	6421	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_1495126	6300	NA	8	0.0	yes	0	0	0	0	0	0	0	0
k121_575743	6046	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_347380	5926	NA	4	0.0	no	0	1	0	0	0	0	0	0
k121_768173	5829	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_940120	5785	NA	3	0.0	yes	0	0	0	0	0	0	0	0
k121_1391988	5318	NA	5	0.0	no	0	0	1	0	0	0	0	0
k121_1495176	5187	NA	9	0.0	yes	0	0	0	0	0	0	0	0
k121_1258849	4991	NA	8	0.0	no	0	0	1	0	0	0	0	0
k121_1497484	4837	NA	5	0.0	yes	0	0	0	0	0	0	0	0
k121_245008	4829	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_718459	4706	NA	8	0.0	no	0	0	1	0	0	0	0	0
k121_1495078	4492	NA	2	0.0	yes	0	0	0	0	0	0	0	0
k121_1495192	4492	NA	6	0.0	yes	0	0	0	0	0	0	0	0
k121_1496130	4354	NA	7	0.0	yes	0	0	0	0	0	0	0	0
k121_1212705	4288	NA	6	0.0	no	0	0	1	0	0	0	0	0
k121_1496871	4248	NA	5	0.0	yes	0	0	0	0	0	0	0	0
