,ID,Length,Coverage,# ORFs,RDS,Circular,Inc Type(s),# Replication,# Mobilization,# OriT,# Conjugation,# AMRs,# rRNAs,# Plasmid Hits
55,k121_2164813,7018,,5,0.0,no,0,0,1,0,2,0,0,0
70,k121_955065,5941,,5,0.0,no,0,0,1,0,0,0,0,0
78,k121_267482,5745,,7,0.2,no,0,0,0,0,0,0,0,1
81,k121_1551342,5381,,6,0.0,no,0,0,1,0,0,0,0,0
190,k121_1750880,1830,,1,0.0,yes,0,0,0,0,0,0,0,1
207,k121_1878048,1611,,2,0.2,no,0,0,0,0,0,0,0,1
222,k121_591244,1484,,1,3.2,no,0,0,0,0,0,0,0,0
258,k121_2216935,1306,,2,0.0,no,0,0,1,0,0,0,0,0
274,k121_1587180,1228,,1,0.0,no,0,1,0,0,0,0,0,0
303,k121_1980463,1142,,1,0.1,no,0,0,0,0,0,0,0,1
326,k121_312242,1060,,2,0.0,no,0,0,1,0,0,0,0,0
