seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k121_1508884	2027	No terminal repeats	5	11	0.9984	0.0016	1	2.1120	NA	NA
k121_1431690	2781	No terminal repeats	5	11	0.9981	0.0018	1	1.7134	NA	NA
k121_45785	5230	No terminal repeats	11	11	0.9979	0.0019	1	3.1144	NA	NA
k121_72658	6124	No terminal repeats	7	11	0.9979	0.0020	6	6.5823	T_virB2;T_virB3;virb4;T_virB5;T_virB6;T_virB8	NA
k121_1291009	1251	No terminal repeats	2	11	0.9971	0.0022	1	1.6987	NA	NA
k121_208247	1656	No terminal repeats	2	11	0.9955	0.0025	2	2.4806	F_traU	NA
k121_1324810	1592	No terminal repeats	3	11	0.9836	0.0045	2	2.8035	F_traV;virb4	NA
k121_1470205	2245	No terminal repeats	3	11	0.9807	0.0064	1	1.5426	NA	NA
k121_1259754	1689	No terminal repeats	2	11	0.9684	0.0092	2	2.0059	T_virB9;T_virB10	NA
k121_946849	2751	No terminal repeats	5	11	0.9619	0.0121	1	1.7370	NA	NA
k121_935193	1718	No terminal repeats	4	11	0.9609	0.0145	2	2.3192	T_virB3	NA
k121_1221700	1428	No terminal repeats	2	11	0.9583	0.0168	1	2.3994	NA	NA
k121_421351	1629	No terminal repeats	2	11	0.9523	0.0192	2	2.5687	F_traB;F_traK	NA
k121_233327	1411	No terminal repeats	2	11	0.9517	0.0212	2	2.2057	T_virB9;T_virB6	NA
k121_554332	3008	No terminal repeats	3	11	0.9480	0.0233	1	3.4326	NA	NA
k121_1457303	1320	No terminal repeats	3	11	0.9434	0.0254	1	2.9353	NA	NA
k121_589635	1270	No terminal repeats	2	11	0.9434	0.0272	2	2.4653	F_traU;F_traW	NA
k121_1547526	3278	No terminal repeats	3	11	0.9423	0.0289	3	3.6991	F_traN;F_traF;F_traH	NA
k121_923110	1792	No terminal repeats	3	11	0.9372	0.0307	2	2.3591	F_trbC;F_traU	NA
k121_209772	2550	No terminal repeats	4	11	0.9351	0.0324	2	2.1365	T_virB9;T_virB8	NA
k121_1347768	2817	No terminal repeats	3	11	0.9299	0.0342	1	1.5426	NA	NA
k121_1270802	6895	No terminal repeats	8	11	0.9169	0.0364	2	2.0184	T_virB2;T_virB11	NA
k121_131971	1297	No terminal repeats	3	11	0.9127	0.0386	1	2.1825	NA	NA
k121_186797	1043	No terminal repeats	2	11	0.9103	0.0408	1	1.7143	NA	NA
k121_1264035	1126	No terminal repeats	2	11	0.9087	0.0428	1	1.7183	NA	NA
k121_597778	1469	No terminal repeats	4	11	0.8792	0.0458	1	2.2753	NA	NA
